name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.22,115.99",2022-11-28T00:00:00,39.3,33.9,35.1,84.97,0.008,100,rain,0,0,12.1,7.6,21,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.22,115.99",2022-11-28T01:00:00,39.6,34.9,35.5,84.99,0.02,100,rain,0,0,10.1,6.7,346.7,1013,100,8.9,0,,0,10,"Rain, Overcast",rain,remote
"37.22,115.99",2022-11-28T02:00:00,40,35.9,36,85.62,0.02,100,rain,0,0,8.9,5.8,345,1014,100,12.1,0,,0,10,"Rain, Overcast",rain,remote
"37.22,115.99",2022-11-28T03:00:00,40.4,35.2,36.2,85.04,0.012,100,rain,0,0,10.7,7.6,335,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.22,115.99",2022-11-28T04:00:00,40.5,35,35.5,82.07,0.004,100,rain,0,0,12.5,8.5,357.1,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.22,115.99",2022-11-28T05:00:00,40.5,35.5,34.4,78.62,0,0,,0,0,12.1,7.6,0.4,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.22,115.99",2022-11-28T06:00:00,40.7,36.1,34.2,77.52,0.004,100,rain,0,0,11.4,6.9,5.6,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.22,115.99",2022-11-28T07:00:00,40.9,36.8,34.4,77.53,0,0,,0,0,10.1,6,9.1,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.22,115.99",2022-11-28T08:00:00,41.4,36.3,34.4,75.93,0,0,,0,0,13.4,8.1,350.2,1015,100,15,4,0,0,10,Overcast,cloudy,remote
"37.22,115.99",2022-11-28T09:00:00,42.5,37.6,33,68.77,0,0,,0,0,13.2,8.1,6.6,1016,100,15,47,0.2,0,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T10:00:00,45.4,40.5,32.1,59.42,0,0,,0,0,13.4,9.6,1,1016,95,15,223,0.8,2,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T11:00:00,48.5,44.6,31.4,51.43,0,0,,0,0,11.9,8.7,358.5,1017,100,15,387,1.4,4,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T12:00:00,50.1,50.1,31.2,48.07,0,0,,0,0,13.2,10.3,343.7,1017,100,15,336,1.2,3,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T13:00:00,50.1,50.1,30.1,46.01,0,0,,0,0,17,12.1,354.4,1016,100,15,207,0.7,2,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T14:00:00,52.8,52.8,29.9,41.34,0,0,,0,0,17.4,12.5,343.5,1017,100,15,399,1.4,4,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T15:00:00,53.1,53.1,31,42.62,0,0,,0,0,16.3,12.3,353.6,1018,100,15,265,1,3,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T16:00:00,52.4,52.4,33.3,48.09,0,0,,0,0,16.6,10.5,343.6,1019,66.5,15,129,0.5,1,10,Partially cloudy,partly-cloudy-day,
"37.22,115.99",2022-11-28T17:00:00,48.8,45.7,33.3,54.95,0,0,,0,0,12.5,7.2,0.1,1019,100,15,37,0.1,0,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T18:00:00,49,47,33.9,55.78,0,0,,0,0,9.2,5.1,11.9,1020,100,15,0,,0,10,Overcast,cloudy,
"37.22,115.99",2022-11-28T19:00:00,48.1,45.9,33.2,56.05,0,0,,0,0,6.5,5.1,337,1020,95,15,0,,0,10,Overcast,cloudy,
