name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.95,115.83",2022-11-28T00:00:00,38.9,33.8,35,85.56,0.004,100,rain,0,0,11.2,7.2,3.2,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.95,115.83",2022-11-28T01:00:00,39.3,34.3,35.3,85.58,0.024,100,rain,0,0,10.3,6.9,342.6,1014,100,11.1,0,,0,10,"Rain, Overcast",rain,remote
"36.95,115.83",2022-11-28T02:00:00,39.5,35.6,35.7,86.2,0.031,100,rain,0,0,8.5,5.4,349.3,1014,100,9.4,0,,0,10,"Rain, Overcast",rain,remote
"36.95,115.83",2022-11-28T03:00:00,40.2,35.2,35.5,83.23,0.004,100,rain,0,0,11.2,7.4,339.3,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.95,115.83",2022-11-28T04:00:00,40.4,35.2,35.3,82.06,0.008,100,rain,0,0,12.1,7.6,358.2,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.95,115.83",2022-11-28T05:00:00,40.7,35.7,34.2,77.52,0,0,,0,0,13.2,7.6,345.9,1014,100,15,0,,0,10,Overcast,cloudy,remote
"36.95,115.83",2022-11-28T06:00:00,40.9,36.4,34.1,76.43,0,0,,0,0,12.3,6.7,9.9,1014,100,15,0,,0,10,Overcast,cloudy,remote
"36.95,115.83",2022-11-28T07:00:00,40.9,36.5,34.4,77.53,0,0,,0,0,12.5,6.5,5.4,1014,100,15,0,,0,10,Overcast,cloudy,remote
"36.95,115.83",2022-11-28T08:00:00,41.6,36.4,34.4,75.41,0,0,,0,0,14.8,8.3,353.6,1015,100,15,10,0,0,10,Overcast,cloudy,remote
"36.95,115.83",2022-11-28T09:00:00,43.1,38,33,67.36,0,0,,0,0,14.5,8.7,10.6,1016,100,15,73,0.3,1,10,Overcast,cloudy,
"36.95,115.83",2022-11-28T10:00:00,45.9,41,31.4,56.55,0,0,,0,0,14.5,10.1,2.2,1016,98.3,15,242,0.9,2,10,Overcast,cloudy,
