name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.360623,116.97024",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,4,2.2,151.7,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"37.360623,116.97024",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.5,0,187.7,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"37.360623,116.97024",2022-07-01T02:00:00,71.1,71.1,70.4,97.53,0.001,100,rain,0,0,19.8,1.3,249,1006.7,0,1.4,0,,0,3,Rain,rain,"57993199999,54715099999,54725099999,54823099999"
"37.360623,116.97024",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.4,2.2,245.5,1006,0,1.2,0,,0,3,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.1,0,261.1,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-01T05:00:00,70.7,70.7,70.2,98.34,0.003,100,rain,0,0,17.1,1.7,330,1007,0,1.1,0,,0,10,Rain,rain,"57993199999,54715099999,54725099999"
"37.360623,116.97024",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.6,4.5,10,1007,0,1.2,43,0.2,0,10,Clear,clear-day,57993199999
"37.360623,116.97024",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.1,2.2,260,1007,0,1.2,200,0.7,2,10,Clear,clear-day,57993199999
"37.360623,116.97024",2022-07-01T08:00:00,76.1,76.1,72.6,88.94,0,0,,0,0,6.6,2.2,216,1008.3,50,2.5,390,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.360623,116.97024",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,1.3,2.2,238.3,1008,50,1.9,574,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,1.3,2.2,321.2,1008,30,2.5,733,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T11:00:00,83.5,88.5,71.4,67.08,0,0,,0,0,9.7,2.2,31,1008.4,50,8.6,854,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.360623,116.97024",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,2.2,4.5,344.7,1007,30,6.2,925,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,3.8,2.2,22.2,1006,30,6.2,938,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T14:00:00,89,95.7,71.6,56.48,0,0,,0,0,8.9,3.7,224,1007.2,30,14.4,868,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999"
"37.360623,116.97024",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,6.5,4.5,286,1006,50,6.2,650,2.3,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,6,2.2,296.2,1005,50,6.2,469,1.7,5,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T17:00:00,90.9,95.4,68.6,48.13,0,0,,0,0,9.2,2.4,249,1005.7,30,14.6,464,1.7,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54823099999"
"37.360623,116.97024",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,4,2.2,345.4,1005,30,6.2,303,1.1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,5.4,2.2,60,1005,30,6.2,123,0.4,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-01T20:00:00,83.4,89.6,73.3,71.68,0,0,,0,0,9.2,2,63,1006.6,4.3,9.6,10,0,0,10,Clear,clear-night,"57993199999,54715099999,54725099999,54823099999"
"37.360623,116.97024",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,9.2,4.5,110,1007,2.2,6.2,0,,0,10,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,8.3,4.5,100,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-01T23:00:00,79.5,79.5,72.7,79.89,0,0,,0,0,11.2,4.5,102,1008.3,0,8.9,0,,0,10,Clear,clear-night,"57993199999,54823099999"
"37.360623,116.97024",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,9.4,2.2,90,1008,0.1,6.2,0,,0,10,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,8.3,2.2,106.5,1007,0,5,0,,0,3,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-02T02:00:00,74.9,74.9,73.3,94.85,0,0,,0,0,10.4,1.2,40,1007.5,0,2.8,0,,0,3,Clear,clear-night,"57993199999,54715099999,54725099999"
"37.360623,116.97024",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,3.6,2.2,114.1,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.3,2.2,110,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.360623,116.97024",2022-07-02T05:00:00,74.3,74.3,73.3,96.75,0,0,,0,0,8.9,2.2,134,1008,0,1.5,0,,0,3,Clear,clear-day,"57993199999,54715099999,54725099999"
"37.360623,116.97024",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,6.5,4.5,80,1008,0,2.5,44,0.2,0,3,Clear,clear-day,57993199999
"37.360623,116.97024",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,6.3,2.2,71.2,1008,0,2.5,205,0.7,2,10,Clear,clear-day,57993199999
"37.360623,116.97024",2022-07-02T08:00:00,83.3,90.6,74.7,75.5,0,0,,0,0,11.5,3.7,139,1008.3,0,3.8,396,1.4,4,30,Clear,clear-day,"57993199999,54715099999,54725099999,54823099999"
"37.360623,116.97024",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,4.3,2.2,93.4,1008,0,6.2,580,2.1,6,30,Clear,clear-day,57993199999
"37.360623,116.97024",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,3.1,4.5,160,1008,30,6.2,739,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-02T11:00:00,91.8,98.9,71.3,51.43,0,0,,0,0,10.6,3.8,176,1008,50,10.7,857,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54823099999"
"37.360623,116.97024",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,3.4,2.2,74.8,1007,50,6.2,929,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4,4.5,74.2,1006,50,6.2,942,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-02T14:00:00,94.5,102.7,71.8,48.1,0,0,,0,0,10.6,2.4,83,1005.9,50,9.9,899,3.2,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54823099999"
"37.360623,116.97024",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,4,6.7,90,1005,90,6.2,779,2.8,8,10,Partially cloudy,partly-cloudy-day,57993199999
"37.360623,116.97024",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,5.6,4.5,70,1005,90,6.2,635,2.3,6,10,Partially cloudy,partly-cloudy-day,57993199999
