name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.360623,116.97024",2022-11-28T00:00:00,44.3,39.2,42.5,93.34,0.02,100,rain,0,0,14.1,9.6,338.2,1013,100,10.8,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T01:00:00,44,39.5,41.8,92.05,0.008,100,rain,0,0,11.6,7.8,356.3,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T02:00:00,43.6,38.9,41.4,92.04,0.004,100,rain,0,0,11.9,8.3,345.9,1013,100,12.6,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T03:00:00,43.2,39,41.1,92.02,0.051,100,rain,0,0,10.3,7.2,339.6,1013,100,5.4,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T04:00:00,43.2,38.4,41.1,92.02,0.024,100,rain,0,0,12.3,8.3,354.7,1013,100,13.2,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T05:00:00,43.2,38.4,40.9,91.39,0.008,100,rain,0,0,12.8,8.3,0.9,1013,100,14.5,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T06:00:00,43.1,38,40.4,90.11,0.012,100,rain,0,0,12.1,8.7,336.8,1013,100,10.8,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T07:00:00,42.3,37.3,39.6,90.08,0.02,100,rain,0,0,12.1,8.3,341.6,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.360623,116.97024",2022-11-28T08:00:00,42.7,38.6,39.5,88.23,0,0,,0,0,10.3,6.7,351.5,1014,100,15,1,0,0,10,Overcast,cloudy,remote
"37.360623,116.97024",2022-11-28T09:00:00,44,39.5,39.8,85.26,0,0,,0,0,11.6,7.8,346,1015,100,15,19,0.1,0,10,Overcast,cloudy,
