name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.38,116.73",2022-11-28T00:00:00,41.6,36.2,39.5,91.97,0.031,100,rain,0,0,13.2,8.7,351.4,1013,100,11.6,0,,0,10,"Rain, Overcast",rain,remote
"37.38,116.73",2022-11-28T01:00:00,41.8,37,39.1,90.06,0.008,100,rain,0,0,10.7,7.6,350.8,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.38,116.73",2022-11-28T02:00:00,41.8,36.9,39.3,90.69,0.031,100,rain,0,0,11,7.8,342.6,1013,100,7.1,0,,0,10,"Rain, Overcast",rain,remote
"37.38,116.73",2022-11-28T03:00:00,42,37.8,39.3,90.07,0.02,100,rain,0,0,9.2,6.5,340,1014,100,14.2,0,,0,10,"Rain, Overcast",rain,remote
"37.38,116.73",2022-11-28T04:00:00,41.6,36.5,38.9,90.05,0.016,100,rain,0,0,11.4,8.1,355.6,1013,100,11.2,0,,0,10,"Rain, Overcast",rain,remote
"37.38,116.73",2022-11-28T05:00:00,41.1,35.5,38.2,89.4,0.012,100,rain,0,0,13.2,8.9,1.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.38,116.73",2022-11-28T06:00:00,40.9,35.1,37.5,87.51,0,0,rain,0,0,12.8,9.2,338.4,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.38,116.73",2022-11-28T07:00:00,41.1,37.6,37.5,86.91,0.004,100,rain,0,0,8.7,5.1,10.4,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.38,116.73",2022-11-28T08:00:00,42,38,38,85.74,0,0,,0,0,9.6,6.3,351.1,1015,100,15,3,0,0,10,Overcast,cloudy,remote
"37.38,116.73",2022-11-28T09:00:00,42.7,37,38,83.4,0,0,,0,0,14.5,10.1,340.2,1016,100,15,23,0.1,0,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T10:00:00,43.1,38.5,38.4,83.42,0,0,,0,0,11.4,7.6,3.3,1016,100,15,32,0.1,0,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T11:00:00,45,40.5,39.1,79.56,0,0,,0,0,11.2,8.5,357.4,1016,100,15,107,0.4,1,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T12:00:00,45.9,42,39.6,78.53,0,0,,0,0,10.1,7.6,354.4,1016,100,15,96,0.3,1,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T13:00:00,47.9,43.9,40.2,74.43,0,0,,0,0,11.9,8.7,357.2,1016,100,15,165,0.6,2,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T14:00:00,49.7,46.2,40.5,70.57,0,0,,0,0,12.5,8.5,359.8,1017,100,15,164,0.6,2,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T15:00:00,51.9,51.9,40.2,64.24,0,0,,0,0,15.9,10.1,352.2,1018,97.9,15,242,0.9,2,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T16:00:00,51.5,51.5,39.6,63.74,0,0,,0,0,16.3,8.3,354.9,1018,100,15,135,0.5,1,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T17:00:00,48.3,45.1,38.7,69.43,0,0,,0,0,12.1,7.2,354.4,1019,100,15,30,0.1,0,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T18:00:00,47.9,46.3,37.8,67.93,0,0,,0,0,4.5,4.3,343.7,1019,100,15,0,,0,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T19:00:00,48.1,45.3,36.6,64.21,0,0,,0,0,11.2,6.3,354,1019,100,15,0,,0,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T20:00:00,47,43.8,34.4,61.38,0,0,,0,0,17.4,6.7,330.3,1021,94.7,15,0,,0,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T21:00:00,46.5,40,16.6,29.89,0,0,,0,0,30.2,15.7,345.7,1022,74.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.38,116.73",2022-11-28T22:00:00,42.2,35.2,12.6,29.64,0,0,,0,0,26.4,13.2,15,1023,100,15,0,,0,10,Overcast,cloudy,
"37.38,116.73",2022-11-28T23:00:00,39.8,30.7,4,21.99,0,0,,0,0,31.5,18.3,6.2,1025,68.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.38,116.73",2022-11-29T00:00:00,36.8,26.4,0.8,21.33,0,0,,0,0,34.4,19.2,6.8,1026,0.7,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T01:00:00,34.4,23.4,0,22.63,0,0,,0,0,33.3,19,13.2,1027,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T02:00:00,32.6,21.6,-1.9,22.15,0,0,,0,0,31.8,17.4,18.1,1028,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T03:00:00,30.6,18.7,-1.8,24.2,0,0,,0,0,33.3,18.3,10.9,1029,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T04:00:00,29.4,17.1,-1,26.35,0,0,,0,0,34.9,18.3,15.3,1029,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T05:00:00,28.7,17.1,0,28.55,0,0,,0,0,31.5,15.7,16.5,1031,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T06:00:00,28.1,16.6,1.3,30.96,0,0,,0,0,29.1,15.2,23,1031,2,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T07:00:00,27.2,15.4,0,30.29,0,0,,0,0,29.1,15.2,21.6,1033,73.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.38,116.73",2022-11-29T08:00:00,27,15.2,-1,29.01,0,0,,0,0,29.3,15.2,22.3,1034,0,15,33,0.1,0,10,Clear,clear-day,
"37.38,116.73",2022-11-29T09:00:00,28.5,16.3,-3.6,24.26,0,0,,0,0,26.8,17.2,23.2,1035,5,15,188,0.7,2,10,Clear,clear-day,
"37.38,116.73",2022-11-29T10:00:00,30.5,18.6,-4.5,21.44,0,0,,0,0,25.1,17.9,19.9,1036,100,15,345,1.2,3,10,Overcast,cloudy,
"37.38,116.73",2022-11-29T11:00:00,32.1,20.5,-5.4,19.23,0,0,,0,0,25.1,18.6,15.7,1036,100,15,432,1.6,4,10,Overcast,cloudy,
"37.38,116.73",2022-11-29T12:00:00,32.1,20.3,-7.7,17.17,0,0,,0,0,23.7,19.5,6.8,1036,100,15,411,1.5,4,10,Overcast,cloudy,
"37.38,116.73",2022-11-29T13:00:00,31.5,19.6,-10.4,15.37,0,0,,0,0,22.6,19.5,8.5,1036,100,15,401,1.4,4,10,Overcast,cloudy,
"37.38,116.73",2022-11-29T14:00:00,31.4,20.1,-12,14.28,0,0,,0,0,21.3,17,11.4,1036,100,15,315,1.1,3,10,Overcast,cloudy,
"37.38,116.73",2022-11-29T15:00:00,31,20.1,-12,14.49,0,0,,0,0,19.9,15.7,22.4,1036,45.7,15,316,1.1,3,10,Partially cloudy,partly-cloudy-day,
"37.38,116.73",2022-11-29T16:00:00,30.1,19.6,-11.8,15.17,0,0,,0,0,20.6,13.9,18.3,1037,1.1,15,189,0.7,2,10,Clear,clear-day,
"37.38,116.73",2022-11-29T17:00:00,28.5,18.4,-11.8,16.2,0,0,,0,0,19.9,11.9,15.9,1038,0,15,38,0.1,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T18:00:00,24.2,11.6,-16,15.73,0,0,,0,0,24.8,15,20.7,1040,4.6,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T19:00:00,22.5,9.6,-18,15.22,0,0,,0,0,25.5,14.8,19.2,1041,7.2,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T20:00:00,21.5,8.5,-19.6,14.65,0,0,,0,0,25.3,14.1,14.1,1042,5,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T21:00:00,20.7,8.6,-20.7,14.28,0,0,,0,0,23,12.1,12.5,1043,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T22:00:00,20,8.7,-20.5,14.86,0,0,,0,0,19.9,10.3,12.1,1044,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-29T23:00:00,19.1,9.7,-19.6,16.18,0,0,,0,0,14.8,7.4,10.4,1044,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-30T00:00:00,18.4,10.7,-18.3,17.81,0,0,,0,0,11.9,5.4,12.9,1044,0.4,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-30T01:00:00,17.7,10.9,-17.4,19.24,0,0,,0,0,7.6,4.5,5,1044,0,15,0,,0,10,Clear,clear-night,
"37.38,116.73",2022-11-30T02:00:00,17.1,11.2,-17.2,19.88,0,0,,0,0,4.7,3.8,18.9,1044,1.5,15,0,,0,10,Clear,clear-night,
