name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.515316,116.502476",2022-07-01T00:00:00,75.8,75.8,69,79.38,0,0,,0,0,3.1,2.9,173.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.515316,116.502476",2022-07-01T01:00:00,75.3,75.3,69,80.82,0,0,,0,0,5.4,4.3,171.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.515316,116.502476",2022-07-01T02:00:00,70.7,70.7,69.7,96.68,0,0,,0,0,20.4,2,280,1006.7,100,0.8,0,,0,10,Overcast,fog,"54715099999,54618099999"
"37.515316,116.502476",2022-07-01T03:00:00,74.9,74.9,68.4,80.3,0,0,,0,0,4.5,3.6,233.1,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.515316,116.502476",2022-07-01T04:00:00,74.2,74.2,68.4,82.25,0,0,,0,0,3.4,3.1,249.3,1006,98.3,15,0,,0,10,Overcast,cloudy,remote
"37.515316,116.502476",2022-07-01T05:00:00,70.6,70.6,69.7,96.86,0.004,100,rain,0,0,15,2,330,1006.9,83.7,0.7,0,,0,10,"Rain, Partially cloudy",rain,"54715099999,54618099999"
"37.515316,116.502476",2022-07-01T06:00:00,75.1,75.1,68.4,79.81,0,0,,0,0,3.6,2.7,282.2,1007,5,15,39,0.1,0,10,Clear,clear-day,remote
"37.515316,116.502476",2022-07-01T07:00:00,77.4,77.4,67.9,72.49,0,0,,0,0,3.6,3.4,319.8,1007,5,15,198,0.7,2,10,Clear,clear-day,remote
"37.515316,116.502476",2022-07-01T08:00:00,76.9,76.9,72,85.09,0,0,,0,0,4.7,2.5,175,1008.3,5,1.9,387,1.4,4,10,Clear,clear-day,"54715099999,54618099999"
"37.515316,116.502476",2022-07-01T09:00:00,82.7,84.7,65.7,56.71,0,0,,0,0,4.5,4.5,351,1008,5,15,569,2,6,10,Clear,clear-day,remote
"37.515316,116.502476",2022-07-01T10:00:00,85.2,87.3,65.7,52.29,0,0,,0,0,3.6,4.3,7.9,1007,5,15,728,2.6,7,10,Clear,clear-day,remote
"37.515316,116.502476",2022-07-01T11:00:00,83.7,87.6,69.3,62,0,0,,0,0,8.9,2.5,44,1008.4,8.6,10.3,849,3.1,8,10,Clear,clear-day,"54715099999,54618099999"
"37.515316,116.502476",2022-07-01T12:00:00,90.2,92.3,65,43.47,0,0,,0,0,3.8,2.9,10.8,1007,33.4,15,920,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"37.515316,116.502476",2022-07-01T13:00:00,92.2,94.3,64.7,40.35,0,0,,0,0,3.6,2,1.2,1006,70,15,934,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.515316,116.502476",2022-07-01T14:00:00,89.1,95.3,71,55.23,0,0,,0,0,8.9,2.5,231,1007.1,97.5,16.1,733,2.6,7,10,Overcast,cloudy,"54715099999,54618099999"
"37.515316,116.502476",2022-07-01T15:00:00,90.9,91.8,62.7,39.16,0,0,,0,0,3.8,1.8,59.3,1006,100,15,372,1.3,4,10,Overcast,cloudy,remote
"37.515316,116.502476",2022-07-01T16:00:00,89.9,90.6,62.5,40.25,0,0,,0,0,4,4.5,82.2,1005,86.3,15,190,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.515316,116.502476",2022-07-01T17:00:00,91,94.5,67.2,45.8,0,0,,0,0,8.9,2.5,246,1005.6,21.8,15.5,309,1.1,3,10,Partially cloudy,partly-cloudy-day,"54715099999,54618099999"
"37.515316,116.502476",2022-07-01T18:00:00,89.5,90.4,62.9,41.23,0,0,,0,0,4.5,5.8,58.7,1005,6.5,15,278,1,3,10,Clear,clear-day,remote
"37.515316,116.502476",2022-07-01T19:00:00,87.3,89,64.7,47.01,0,0,,0,0,7.8,5.6,83.2,1005,1.7,15,129,0.5,1,10,Clear,clear-day,remote
"37.515316,116.502476",2022-07-01T20:00:00,83.8,89.2,71.8,67.23,0,0,,0,0,9.4,2.5,35,1006.5,0,9.9,11,0,0,10,Clear,clear-night,"54715099999,54618099999"
"37.515316,116.502476",2022-07-01T21:00:00,82.5,84.4,65.2,55.98,0,0,,0,0,8.7,5.8,85.1,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.515316,116.502476",2022-07-01T22:00:00,81.1,83.1,65.7,59.78,0,0,,0,0,7.2,5.4,73.4,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.515316,116.502476",2022-07-01T23:00:00,78.2,78.2,72.8,83.53,0,0,,0,0,13.4,4.5,100,1008.8,0.4,3.7,0,,0,3,Clear,clear-night,54618099999
"37.515316,116.502476",2022-07-02T00:00:00,79.8,79.8,66.3,63.46,0,0,,0,0,5.8,4.7,116.1,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.515316,116.502476",2022-07-02T01:00:00,79.2,79.2,66.3,64.6,0,0,,0,0,6,5.1,109.5,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.515316,116.502476",2022-07-02T02:00:00,75.6,75.6,72.6,90.69,0,0,,0,0,9.4,2.2,42,1007.4,0,3,0,,0,3,Clear,clear-night,"54715099999,54618099999"
