name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.51,117.15",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,5.1,2.2,158,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.51,117.15",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.1,0,192.6,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.51,117.15",2022-07-01T02:00:00,71.2,71.2,71,99.28,0.003,100,rain,0,0,20.1,0.5,280,1006.8,0,1.9,0,,0,10,Rain,rain,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,6,2.2,250.5,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.51,117.15",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.8,0,252,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.51,117.15",2022-07-01T05:00:00,71.1,71.1,70.9,99.28,0.001,100,rain,0,0,18.9,0.8,330,1007.1,0,1.5,0,,0,3,Rain,rain,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.6,4.5,10,1007,0,1.2,43,0.2,0,10,Clear,clear-day,57993199999
"37.51,117.15",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.1,2.2,156.4,1007,0,1.2,200,0.7,2,10,Clear,clear-day,57993199999
"37.51,117.15",2022-07-01T08:00:00,76.3,76.3,73.1,89.9,0,0,,0,0,9.3,2.2,248,1008.2,50,3.4,391,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,2.2,2.2,176.9,1008,50,1.9,577,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,1.8,2.2,205.9,1008,30,2.5,735,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T11:00:00,83.7,89.5,72.5,69.2,0,0,,0,0,10.6,2.2,6,1008.5,50,9,855,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,2.5,4.5,177.9,1007,30,6.2,925,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,3.6,2.2,209.8,1007,30,6.2,939,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T14:00:00,88.5,95,71.5,57.45,0,0,,0,0,8.9,4.2,189,1007.2,30,15.2,895,3.2,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,4.9,4.5,252.3,1006,50,6.2,781,2.8,8,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,5.1,2.2,285.6,1006,50,6.2,633,2.3,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T17:00:00,90.4,95.8,69.8,50.93,0,0,,0,0,8.9,1.1,255,1005.9,30,15.1,478,1.7,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,4.3,2.2,349,1005,30,6.2,294,1.1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,6.9,2.2,60,1006,30,6.2,120,0.4,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-01T20:00:00,82.3,89.2,75.1,78.86,0,0,,0,0,8.9,0.8,63,1006.8,1.7,9.3,9,0,0,10,Clear,clear-night,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,6.3,4.5,110,1007,0.8,6.2,0,,0,10,Clear,clear-night,57993199999
"37.51,117.15",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,6.7,4.5,100,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.51,117.15",2022-07-01T23:00:00,78.9,78.9,75.3,88.76,0,0,,0,0,4.5,4.5,90,1008,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.51,117.15",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0.024,100,rain,0,0,5.8,2.2,90,1008,2.8,6.2,0,,0,10,Rain,rain,57993199999
"37.51,117.15",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,4.9,2.2,135.2,1007,0,5,0,,0,3,Clear,clear-night,57993199999
"37.51,117.15",2022-07-02T02:00:00,74.2,74.2,73.5,97.74,0,0,,0,0,12.2,0.5,40,1007.7,0,2.3,0,,0,3,Clear,clear-night,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,2,2.2,74.9,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.51,117.15",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,2.7,2.2,110,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.51,117.15",2022-07-02T05:00:00,74.2,74.2,73.8,98.58,0,0,,0,0,11.6,2.2,114,1008.2,0,1.4,0,,0,3,Clear,clear-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,3.8,4.5,80,1008,0,2.5,47,0.2,0,3,Clear,clear-day,57993199999
"37.51,117.15",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,4,2.2,74.6,1008,0,2.5,210,0.8,2,10,Clear,clear-day,57993199999
"37.51,117.15",2022-07-02T08:00:00,82.9,90.9,75.9,79.63,0,0,,0,0,12.8,3.1,165,1008.4,0,3,400,1.4,4,10,Clear,clear-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,2.5,2.2,118.9,1008,0,6.2,585,2.1,6,10,Clear,clear-day,57993199999
"37.51,117.15",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,1.6,4.5,160,1008,30,6.2,743,2.7,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-02T11:00:00,91.3,98.7,71.9,53.24,0,0,,0,0,9.6,4.2,180,1008.2,50,10,862,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,2.2,2.2,136.8,1007,50,6.2,932,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,2.7,4.5,135.1,1006,50,6.2,946,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-02T14:00:00,94,102.2,71.9,48.9,0,0,,0,0,9.6,2.5,87,1006.3,50,9.8,904,3.3,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,2.9,6.7,90,1005,90,6.2,809,2.9,8,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,3.6,4.5,70,1005,90,6.2,664,2.4,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-02T17:00:00,93.9,101.3,71.1,47.8,0,0,,0,0,10.2,4.1,115,1004.5,90,10.5,481,1.7,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,3.6,4.5,270,1004,90,6.2,287,1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,2.7,0,46,1004,90,6.2,95,0.3,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.51,117.15",2022-07-02T20:00:00,85.5,94.7,75.5,72.04,0,0,,0,0,12.6,6.8,128,1005.7,100,6.5,9,0,0,10,Overcast,cloudy,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-02T21:00:00,87.9,102.7,78.9,74.8,0,0,,0,0,6.5,4.5,160,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-02T22:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,8.3,2.2,70,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-02T23:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,6.5,4.5,130,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-03T00:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,11.6,4.5,110,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-03T01:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,16.8,2.2,158.4,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-03T02:00:00,81,88,76.9,87.37,0.002,100,rain,0,0,14.2,4.5,133,1005.6,100,4.6,0,,0,10,"Rain, Overcast",rain,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-03T03:00:00,80.7,88.4,78.9,94.28,0,0,,0,0,15.9,4.5,140,1005,0,3.7,0,,0,10,Clear,clear-night,57993199999
"37.51,117.15",2022-07-03T04:00:00,80.7,89.6,80.7,100,0,0,rain,0,0,14.3,2.2,239,1005,0,3.7,0,,0,10,Clear,clear-night,57993199999
"37.51,117.15",2022-07-03T05:00:00,78.9,78.9,76.7,93.18,0,0,,0,0,14.9,6.4,208,1005.6,0,3.6,0,,0,10,Clear,clear-day,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-03T06:00:00,78.9,78.9,78.9,100,0,0,,0,0,15.2,4.5,250,1005,0,3.7,36,0.1,0,10,Clear,clear-day,57993199999
"37.51,117.15",2022-07-03T07:00:00,78.9,78.9,78.9,100,0,0,,0,0,11,4.5,300,1005,0,3.7,58,0.2,1,10,Clear,clear-day,57993199999
"37.51,117.15",2022-07-03T08:00:00,79.8,79.8,75.8,87.56,0.022,100,rain,0,0,14.9,3.6,313,1005.6,100,4.4,111,0.4,1,10,"Rain, Overcast",rain,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-03T09:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,2.7,0,16.4,1006,100,6.2,134,0.5,1,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-03T10:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,2.9,2.2,112.8,1006,100,6.2,115,0.4,1,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-03T11:00:00,82.1,90.3,77,84.77,0,0,,0,0,14.9,3.6,84,1005.9,99.8,4.4,98,0.4,1,10,Overcast,cloudy,"57993199999,54725099999,54715099999"
"37.51,117.15",2022-07-03T12:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,0.7,4.5,50,1005,100,6.2,281,1,3,10,Overcast,cloudy,57993199999
"37.51,117.15",2022-07-03T13:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,2.9,4.5,60,1005,100,6.2,308,1.1,3,10,Overcast,cloudy,57993199999
