name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.45,116.84",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,6.5,2.2,179.3,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.45,116.84",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,7.4,0,187.7,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.45,116.84",2022-07-01T02:00:00,70.9,70.9,70.1,97.39,0.001,100,rain,0,0,20.4,1.5,280,1006.7,0,1.1,0,,0,10,Rain,rain,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,6.3,2.2,225.4,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.84",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.3,0,227.5,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.84",2022-07-01T05:00:00,70.7,70.7,70,97.55,0.003,100,rain,0,0,15.7,1.7,330,1007,0,0.9,0,,0,10,"Rain, Fog",rain,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,4.5,10,1007,0,1.2,40,0.1,0,10,Clear,clear-day,57993199999
"37.45,116.84",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.7,2.2,340.3,1007,0,1.2,192,0.7,2,10,Clear,clear-day,57993199999
"37.45,116.84",2022-07-01T08:00:00,76.5,76.5,72.4,87.02,0,0,,0,0,5.7,2.4,223,1008.3,50,2.3,389,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.4,2.2,0.6,1008,50,1.9,571,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,2.9,2.2,21.2,1008,30,2.5,729,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T11:00:00,83.7,88.2,70.4,64.5,0,0,,0,0,9.3,2.4,35,1008.4,50,9.6,850,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,2.9,4.5,41.4,1007,30,6.2,921,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,3.8,2.2,61,1006,30,6.2,935,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T14:00:00,89,95.3,71.3,56.01,0,0,,0,0,8.9,3.2,223,1007.2,30,15.3,787,2.8,8,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,3.4,4.5,149.3,1006,50,6.2,412,1.5,4,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,3.6,2.2,145.5,1005,50,6.2,185,0.7,2,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T17:00:00,90.8,95.1,68.2,47.64,0,0,,0,0,8.9,2.3,254,1005.7,30,14.8,245,0.9,2,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,2.9,2.2,70.1,1005,30,6.2,263,0.9,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,4,2.2,60,1006,30,6.2,126,0.5,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-01T20:00:00,83.5,89.4,72.8,70.34,0,0,,0,0,9.4,2.1,45,1006.6,0,9.6,11,0,0,10,Clear,clear-night,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,8.3,4.5,110,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.84",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,7.2,4.5,100,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.84",2022-07-01T23:00:00,78.5,78.5,74,86.15,0,0,,0,0,13.4,4.5,95,1008.8,2.2,5,0,,0,10,Clear,clear-night,"57993199999,54618099999"
"37.45,116.84",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,4.3,2.2,90,1008,0.4,6.2,0,,0,10,Clear,clear-night,57993199999
"37.45,116.84",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,6.9,2.2,116.6,1007,0,5,0,,0,3,Clear,clear-night,57993199999
"37.45,116.84",2022-07-02T02:00:00,75.3,75.3,73,92.72,0,0,,0,0,10.1,1.7,42,1007.4,0,2.8,0,,0,3,Clear,clear-night,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,1.3,2.2,115,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.45,116.84",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,2.7,2.2,110,1007,0,2.5,0,,0,3,Clear,clear-night,57993199999
"37.45,116.84",2022-07-02T05:00:00,74.3,74.3,72.8,95.23,0,0,,0,0,8.4,2.2,139,1007.9,0,1.4,0,,0,5,Clear,clear-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,3.8,4.5,80,1008,0,2.5,43,0.2,0,5,Clear,clear-day,57993199999
"37.45,116.84",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,4,2.2,69.3,1008,0,2.5,204,0.7,2,3,Clear,clear-day,57993199999
"37.45,116.84",2022-07-02T08:00:00,82.9,89.5,74.2,75.1,0,0,,0,0,11.3,4,131,1008.3,0,3,395,1.4,4,10,Clear,clear-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,2.9,2.2,99.6,1008,2.2,6.2,579,2.1,6,10,Clear,clear-day,57993199999
"37.45,116.84",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,2.9,4.5,160,1008,30,6.2,739,2.7,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-02T11:00:00,92,98.6,70.8,50.14,0,0,,0,0,10.6,4.1,176,1007.9,50,11.5,858,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,3.1,2.2,110.1,1007,50,6.2,929,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,3.4,4.5,103.4,1006,50,6.2,943,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-02T14:00:00,94.3,102.4,71.7,48.03,0,0,,0,0,10.6,2.6,78,1005.9,50,10,902,3.2,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,3.4,6.7,90,1005,90,6.2,806,2.9,8,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4.7,4.5,70,1005,90,6.2,657,2.4,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-02T17:00:00,94.1,101.5,71.1,47.59,0,0,,0,0,12.3,7.2,103,1004,90,10.9,493,1.8,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,5.4,4.5,270,1004,90,6.2,259,0.9,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,6.5,0,78.7,1004,90,6.2,101,0.4,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.45,116.84",2022-07-02T20:00:00,82.1,88.6,74.5,77.84,0,0,,0,0,19.2,11.9,194,1006,100,5.8,11,0,0,10,Overcast,cloudy,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-02T21:00:00,87.9,102.7,78.9,74.8,0,0,,0,0,5.4,4.5,160,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.84",2022-07-02T22:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,5.6,2.2,70,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.84",2022-07-02T23:00:00,84.6,94,76.2,76.17,0,0,,0,0,11.2,4.5,184,1006.9,92.7,5.9,0,,0,10,Overcast,cloudy,"57993199999,54618099999"
"37.45,116.84",2022-07-03T00:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,7.4,4.5,110,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.84",2022-07-03T01:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,7.4,2.2,207.3,1005,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"37.45,116.84",2022-07-03T02:00:00,79.2,79.2,75.7,89.21,0.006,100,rain,0,0,19.8,4.3,139,1005.5,100,3.6,0,,0,10,"Rain, Overcast",rain,"57993199999,54715099999,54725099999,54618099999"
"37.45,116.84",2022-07-03T03:00:00,80.7,88.4,78.9,94.28,0,0,,0,0,21,4.5,140,1005,0,3.7,0,,0,10,Clear,clear-night,57993199999
"37.45,116.84",2022-07-03T04:00:00,80.7,89.6,80.7,100,0,0,,0,0,18.1,2.2,235,1005,0,3.7,0,,0,10,Clear,clear-night,57993199999
"37.45,116.84",2022-07-03T05:00:00,77.1,77.1,74.2,90.66,0.047,100,rain,0,0,22.4,9.7,287,1005.8,0,3.2,0,,0,3,Rain,rain,"57993199999,54715099999,54725099999,54618099999"
