name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.07,116.21",2022-07-01T00:00:00,75.6,75.6,69,79.86,0,0,,0,0,0.9,0.9,126.8,1006,92.1,15,0,,0,10,Overcast,cloudy,remote
"37.07,116.21",2022-07-01T01:00:00,75.3,75.3,68.8,80.32,0,0,,0,0,3.4,3.4,170.7,1006,68.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.07,116.21",2022-07-01T02:00:00,70.4,70.4,69.5,96.98,0,0,,0,0,20.1,2.2,280,1006.7,37.5,0.6,0,,0,10,Partially cloudy,fog,54715099999
"37.07,116.21",2022-07-01T03:00:00,74.4,74.4,68.3,81.26,0,0,,0,0,3.1,2.9,224.3,1006,20.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.07,116.21",2022-07-01T04:00:00,73.8,73.8,68.1,82.23,0,0,,0,0,1.8,1.8,254.9,1006,5,15,0,,0,10,Clear,clear-night,remote
"37.07,116.21",2022-07-01T05:00:00,70.4,70.4,69.5,96.98,0.004,100,rain,0,0,15.7,2.2,330,1006.9,5,0.6,0,,0,10,"Rain, Fog",rain,54715099999
"37.07,116.21",2022-07-01T06:00:00,74.9,74.9,68.3,79.8,0,0,,0,0,0.4,0.4,189.2,1007,5,15,38,0.1,0,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T07:00:00,77.6,77.6,68.1,72.5,0,0,,0,0,3.8,3.1,346.9,1007,5,15,194,0.7,2,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T08:00:00,76.7,76.7,71.9,84.98,0,0,,0,0,4.5,2.2,190,1008.3,2.9,1.9,385,1.4,4,10,Clear,clear-day,54715099999
"37.07,116.21",2022-07-01T09:00:00,83.9,85.9,65.6,54.11,0,0,,0,0,4.5,4.5,11.2,1008,0,15,569,2,6,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T10:00:00,86.4,88.2,64.8,48.68,0,0,,0,0,4.3,4.7,20.4,1007,0,15,731,2.6,7,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T11:00:00,83.6,87.3,69.2,61.98,0,0,,0,0,8.9,2.2,50,1008.4,1.4,9.9,854,3.1,9,10,Clear,clear-day,54715099999
"37.07,116.21",2022-07-01T12:00:00,92.4,94.1,64.1,39.38,0,0,,0,0,4,2,359.8,1006,12.8,15,927,3.3,9,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T13:00:00,94.2,95.9,63.6,36.54,0,0,,0,0,3.4,1.6,325.2,1006,19,15,942,3.4,9,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T14:00:00,89.3,95.5,71,54.85,0,0,,0,0,8.9,2.2,240,1007.1,20.2,16.2,905,3.3,9,10,Partially cloudy,partly-cloudy-day,54715099999
"37.07,116.21",2022-07-01T15:00:00,94.6,95.4,62,34.14,0,0,,0,0,6,5.4,298.1,1005,14.2,15,812,2.9,8,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T16:00:00,94.7,95.3,61.4,33.31,0,0,,0,0,5.8,6.3,308.8,1005,15.6,15,676,2.4,7,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T17:00:00,91.1,94.4,66.8,44.99,0,0,,0,0,8.9,2.2,230,1005.6,16.9,15.5,504,1.8,5,10,Clear,clear-day,54715099999
"37.07,116.21",2022-07-01T18:00:00,93.3,93.5,60.9,34.16,0,0,,0,0,4.5,5.4,329.7,1005,31.2,15,315,1.1,3,10,Partially cloudy,partly-cloudy-day,remote
"37.07,116.21",2022-07-01T19:00:00,91.1,91.9,62.5,38.69,0,0,,0,0,4.7,3.6,351.2,1005,11.4,15,130,0.5,1,10,Clear,clear-day,remote
"37.07,116.21",2022-07-01T20:00:00,83.9,89.4,71.9,67.16,0,0,,0,0,8.9,2.2,30,1006.4,0,9.3,11,0,0,10,Clear,clear-night,54715099999
"37.07,116.21",2022-07-01T21:00:00,84.8,86.3,64.3,50.31,0,0,,0,0,7.2,5.6,59.7,1006,0,15,0,,0,10,Clear,clear-night,remote
"37.07,116.21",2022-07-01T22:00:00,82.7,84.5,65,55.31,0,0,,0,0,8.5,5.1,76.1,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.07,116.21",2022-07-01T23:00:00,82.1,84.1,65.4,57,0,0,,0,0,7.8,5.1,93.8,1008,0,15,0,,0,10,Clear,clear-night,remote
"37.07,116.21",2022-07-02T00:00:00,81.2,83.2,65.4,58.69,0,0,,0,0,9.6,5.8,98.6,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.07,116.21",2022-07-02T01:00:00,80.7,82.7,65.7,60.48,0,0,,0,0,8.3,5.4,105.6,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.07,116.21",2022-07-02T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,8.9,2.2,40,1007.3,0,3.1,0,,0,3,Clear,clear-night,54715099999
"37.07,116.21",2022-07-02T03:00:00,79.1,79.1,66.1,64.58,0,0,,0,0,5.6,4.7,104.9,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.07,116.21",2022-07-02T04:00:00,78.3,78.3,66.3,66.54,0,0,,0,0,5.8,4.9,89.6,1007,0,15,0,,0,3,Clear,clear-night,remote
"37.07,116.21",2022-07-02T05:00:00,74,74,72.2,94.12,0,0,,0,0,6.7,2.2,150,1007.8,0,1.2,0,,0,3,Clear,clear-day,54715099999
"37.07,116.21",2022-07-02T06:00:00,79.1,79.1,67,66.62,0,0,,0,0,6.5,4,70.9,1007,0,15,38,0.1,0,3,Clear,clear-day,remote
"37.07,116.21",2022-07-02T07:00:00,82.5,85.1,67.2,59.96,0,0,,0,0,6.5,5.4,69.1,1008,1,15,196,0.7,2,10,Clear,clear-day,remote
"37.07,116.21",2022-07-02T08:00:00,82.7,88.5,73.1,72.99,0,0,,0,0,11.2,4.5,120,1008.2,5.7,3.1,386,1.4,4,10,Clear,clear-day,54715099999
