name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.07,116.21",2022-11-28T00:00:00,40.2,34.2,37.3,89.36,0.024,100,rain,0,0,13.9,9.2,9.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.07,116.21",2022-11-28T01:00:00,40.7,35.1,37.5,88.13,0.008,100,rain,0,0,11.6,8.7,340.9,1013,100,9.1,0,,0,10,"Rain, Overcast",rain,remote
"37.07,116.21",2022-11-28T02:00:00,40.7,35.8,38,90.01,0.039,100,rain,0,0,10.5,7.4,336.7,1014,100,8.5,0,,0,10,"Rain, Overcast",rain,remote
"37.07,116.21",2022-11-28T03:00:00,41.1,37.2,38.4,90.03,0.024,100,rain,0,0,8.5,5.8,354.5,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.07,116.21",2022-11-28T04:00:00,41.4,36.8,38.6,89.41,0.004,100,rain,0,0,10.5,7.2,355.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.07,116.21",2022-11-28T05:00:00,41.4,35.8,38.4,88.79,0.004,100,rain,0,0,13.4,9.2,353.3,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.07,116.21",2022-11-28T06:00:00,41.3,35.9,37.3,85.7,0.004,100,rain,0,0,12.8,8.5,344.1,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.07,116.21",2022-11-28T07:00:00,41.4,36.7,36.8,83.31,0,0,,0,0,11.6,7.4,17.5,1014,100,15,0,,0,10,Overcast,cloudy,remote
"37.07,116.21",2022-11-28T08:00:00,41.8,37.7,36.9,82.75,0,0,,0,0,10.7,6.3,6.5,1015,100,15,12,0,0,10,Overcast,cloudy,remote
"37.07,116.21",2022-11-28T09:00:00,43.2,37.6,36.9,78.3,0,0,,0,0,15.2,10.3,344.8,1016,100,15,78,0.3,1,10,Overcast,cloudy,
"37.07,116.21",2022-11-28T10:00:00,44.1,39.3,36.8,75.11,0,0,,0,0,13,8.7,8.2,1016,100,15,80,0.3,1,10,Overcast,cloudy,
"37.07,116.21",2022-11-28T11:00:00,48.1,43.9,37.7,67,0,0,,0,0,12.1,9.4,358.1,1016,24.7,15,393,1.4,4,10,Partially cloudy,partly-cloudy-day,
"37.07,116.21",2022-11-28T12:00:00,50.6,50.6,38,61.86,0,0,,0,0,13.4,10.5,354.3,1016,100,15,469,1.7,5,10,Overcast,cloudy,
"37.07,116.21",2022-11-28T13:00:00,50.6,50.6,36.4,58.04,0,0,,0,0,16.1,12.3,352,1016,100,15,247,0.9,2,10,Overcast,cloudy,
"37.07,116.21",2022-11-28T14:00:00,52.4,52.4,34.8,50.93,0,0,,0,0,15.7,12.3,344.2,1017,58.9,15,372,1.3,4,10,Partially cloudy,partly-cloudy-day,
"37.07,116.21",2022-11-28T15:00:00,53,53,33.5,47.48,0,0,,0,0,19,13.9,348.6,1018,100,15,308,1.1,3,10,Overcast,cloudy,
"37.07,116.21",2022-11-28T16:00:00,52.2,52.2,35.1,52.01,0,0,,0,0,16.8,10.5,348.1,1018,74.4,15,137,0.5,1,10,Partially cloudy,partly-cloudy-day,
"37.07,116.21",2022-11-28T17:00:00,49,45.5,35.9,60.34,0,0,,0,0,15.7,8.1,1.9,1019,100,15,37,0.1,0,10,Overcast,cloudy,
"37.07,116.21",2022-11-28T18:00:00,48.1,45.1,36.8,64.67,0,0,,0,0,16.3,6.7,8.5,1020,100,15,0,,0,10,Overcast,cloudy,
"37.07,116.21",2022-11-28T19:00:00,48.3,45.4,37.1,65.15,0,0,,0,0,16.1,6.5,354.9,1020,100,15,0,,0,10,Overcast,cloudy,
