name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.77,117.09",2022-07-01T00:00:00,74.7,74.7,70.1,85.38,0,0,,0,0,10.3,5.8,192.6,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.77,117.09",2022-07-01T01:00:00,74.7,74.7,70.1,85.38,0,0,,0,0,8.7,4.7,181.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.77,117.09",2022-07-01T02:00:00,71.7,71.7,70.9,97.39,0.002,100,rain,0,0,20.8,0.5,280,1006.8,99.8,2,0,,0,10,"Rain, Overcast",rain,"54725099999,54618099999,54715099999"
"37.77,117.09",2022-07-01T03:00:00,74.6,74.6,69.2,83.3,0,0,,0,0,9.2,4.5,244.8,1006,95.1,15,0,,0,10,Overcast,cloudy,remote
"37.77,117.09",2022-07-01T04:00:00,74,74,68.8,83.78,0,0,,0,0,6.9,4.3,230.1,1006,78.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.77,117.09",2022-07-01T05:00:00,71.6,71.6,70.9,97.95,0.001,100,rain,0,0,15.6,0.5,330,1007.2,34.3,1.4,0,,0,10,"Rain, Partially cloudy",rain,"54725099999,54618099999,54715099999"
"37.77,117.09",2022-07-01T06:00:00,75.1,75.1,68.1,78.83,0,0,,0,0,2.5,2,221.9,1007,82.9,15,45,0.2,0,10,Partially cloudy,partly-cloudy-day,remote
"37.77,117.09",2022-07-01T07:00:00,76.9,76.9,67.7,73.34,0,0,,0,0,1.8,2,203.8,1007,40.6,15,189,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.77,117.09",2022-07-01T08:00:00,77.1,77.1,73.1,87.43,0,0,,0,0,8.2,2.9,291,1008.3,5,3.2,386,1.4,4,10,Clear,clear-day,"54725099999,54618099999,54715099999"
"37.77,117.09",2022-07-01T09:00:00,81.8,84.6,67.7,62.53,0,0,,0,0,1.1,1.6,189.9,1008,5,15,573,2.1,6,10,Clear,clear-day,remote
"37.77,117.09",2022-07-01T10:00:00,84.3,87.1,67.2,56.58,0,0,,0,0,2,2.7,175.3,1008,5,15,730,2.6,7,10,Clear,clear-day,remote
"37.77,117.09",2022-07-01T11:00:00,84.2,89.6,71.4,65.55,0,0,,0,0,9.9,2.9,4,1008.4,5,10.9,850,3.1,9,10,Clear,clear-day,"54725099999,54618099999,54715099999"
"37.77,117.09",2022-07-01T12:00:00,88.8,91,65.6,46.35,0,0,,0,0,2.2,3.1,170,1007,12.9,15,921,3.3,9,10,Clear,clear-day,remote
"37.77,117.09",2022-07-01T13:00:00,89.9,91.7,64.7,43.42,0,0,,0,0,3.1,4.3,174.5,1006,66.1,15,935,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.77,117.09",2022-07-01T14:00:00,88,94.1,71.1,57.5,0,0,,0,0,8.9,3.9,172,1007.3,95.7,16.2,714,2.6,7,10,Overcast,cloudy,"54725099999,54618099999,54715099999"
