name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.8,116.77",2022-11-28T00:00:00,44.1,39.2,41.6,90.79,0.012,100,rain,0,0,12.1,8.9,354.6,1013,100,10.1,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T01:00:00,44.1,40.2,42,92.06,0.012,100,rain,0,0,10.3,6.9,11.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T02:00:00,44.1,39.6,42,92.06,0.02,100,rain,0,0,10.7,8.1,339.8,1013,100,6.3,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T03:00:00,43.4,38.7,41.6,93.32,0.055,100,rain,0,0,11,8.1,342.6,1013,100,6.9,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T04:00:00,43.6,40.6,41.4,92.04,0.024,100,rain,0,0,7.4,5.1,12.7,1013,100,12.1,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T05:00:00,43.8,39.6,41.6,92.04,0.008,100,rain,0,0,10.3,7.2,13.5,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T06:00:00,43.8,39,41.4,91.41,0.016,100,rain,0,0,11.6,8.5,344.8,1013,100,5.7,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T07:00:00,43.4,38.4,41.1,91.39,0.035,100,rain,0,0,12.5,8.7,0.2,1014,100,10,0,,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T08:00:00,43.6,39.6,40.7,89.51,0.008,100,rain,0,0,9.8,6.7,8.7,1015,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"36.8,116.77",2022-11-28T09:00:00,44.3,40.6,40.7,87.08,0,0,,0,0,9.2,6.5,10.9,1015,98.4,15,18,0.1,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T10:00:00,46.5,41.9,40.7,80.23,0,0,,0,0,12.3,9.4,359.1,1016,100,15,157,0.6,2,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T11:00:00,46.7,42.4,40.4,78.59,0,0,,0,0,11.2,8.7,3.4,1016,100,15,87,0.3,1,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T12:00:00,47.4,42.8,40.7,77.56,0,0,,0,0,13,10.1,358,1016,100,15,119,0.4,1,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T13:00:00,47.4,42.9,40.9,78.1,0,0,,0,0,13.9,9.8,12.8,1016,100,15,87,0.3,1,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T14:00:00,48.1,43.7,41.4,77.62,0,0,,0,0,13.9,10.1,3.7,1016,100,15,100,0.4,1,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T15:00:00,48.6,44.4,41.4,76.07,0,0,,0,0,17.4,9.8,4.6,1018,100,15,51,0.2,1,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T16:00:00,48.8,45.3,41.4,75.56,0,0,,0,0,15,8.1,36.6,1018,99.6,15,46,0.2,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T17:00:00,46.8,43.8,41.4,81.39,0,0,,0,0,11.9,6.3,27.7,1019,100,15,31,0.1,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T18:00:00,46.3,43.1,41.4,83.06,0,0,,0,0,11.9,6.3,42.2,1019,100,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T19:00:00,45.9,42.8,41.6,84.79,0,0,,0,0,12.8,6,42.9,1019,100,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T20:00:00,45.8,44.8,41.4,84.78,0,0,,0,0,3.6,3.1,35,1021,100,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T21:00:00,45.8,43.5,41.1,83.6,0,0,,0,0,7.6,4.7,14.4,1021,100,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T22:00:00,44.9,41.3,39.1,80.11,0,0,,0,0,13.4,6.5,348.4,1023,100,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-28T23:00:00,44.9,38.1,17.7,33.3,0,0,,0,0,25.9,14.8,1.1,1023,97.1,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-29T00:00:00,41.4,33.6,11.2,28.59,0,0,,0,0,28,15.2,9.3,1025,100,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-29T01:00:00,38.4,29.5,6,25.46,0,0,,0,0,28.9,15.9,12.7,1026,4.5,15,0,,0,10,Clear,clear-night,
"36.8,116.77",2022-11-29T02:00:00,36.4,26.6,5.3,26.64,0,0,,0,0,29.1,17,28.2,1026,93.8,15,0,,0,10,Overcast,cloudy,
"36.8,116.77",2022-11-29T03:00:00,33.9,23.5,3.3,26.88,0,0,,0,0,29.3,16.6,27.6,1028,6.4,15,0,,0,10,Clear,clear-night,
"36.8,116.77",2022-11-29T04:00:00,31.9,21,1.5,26.77,0,0,,0,0,31.8,16.3,27.7,1029,89.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.8,116.77",2022-11-29T05:00:00,30.6,19.4,1.7,28.41,0,0,,0,0,31.5,16.3,28.2,1030,0.6,15,0,,0,10,Clear,clear-night,
"36.8,116.77",2022-11-29T06:00:00,29.7,18.6,2.7,30.98,0,0,,0,0,30.6,15.2,29.8,1030,64.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,
