name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.81,116.79",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,7.4,2.2,242.6,1006,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.81,116.79",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,12.8,0,257.9,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"36.81,116.79",2022-07-01T02:00:00,71.5,71.5,69.7,94.02,0,0,,0,0,19.3,2.8,138,1006.8,0,2,0,,0,10,Clear,clear-night,"57993199999,54715099999,54823099999,54826099999"
"36.81,116.79",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,8.3,2.2,238,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.81,116.79",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4,0,240.5,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.81,116.79",2022-07-01T05:00:00,68.1,68.1,67,96.27,0.002,100,rain,0,0,22.7,6,299,1007.6,0,2.8,0,,0,10,Rain,rain,"57993199999,54715099999,54826099999"
"36.81,116.79",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,4.5,10,1007,0,1.2,39,0.1,0,10,Clear,clear-day,57993199999
"36.81,116.79",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.2,2.2,180.4,1007,0,1.2,196,0.7,2,10,Clear,clear-day,57993199999
"36.81,116.79",2022-07-01T08:00:00,72.4,72.4,69.7,91.22,0,0,,0,0,16.5,3.5,230,1009.2,50,4.4,382,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54715099999,54826099999"
"36.81,116.79",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,2.2,2.2,9.5,1008,50,1.9,566,2,6,10,Partially cloudy,partly-cloudy-day,57993199999
