name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.8,119.0",2022-11-28T00:00:00,55.1,55.1,53.9,95.51,0,0,,0,0,2.5,2.5,110.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T01:00:00,55.5,55.5,53.7,93.65,0,0,,0,0,3.4,3.4,158.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T02:00:00,55.7,55.7,53.5,92.43,0,0,,0,0,5.4,4.9,155.5,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T03:00:00,54.9,54.9,52.8,92.41,0,0,,0,0,3.6,3.4,203.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T04:00:00,54.9,54.9,52.8,92.41,0,0,,0,0,4,3.6,180.2,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T05:00:00,54.6,54.6,52.4,92.4,0,0,,0,0,2.9,2.7,249.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T06:00:00,54.1,54.1,52.1,93,0,0,,0,0,3.6,3.6,278,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T07:00:00,54.2,54.2,52.2,93,0,0,,0,0,0.9,0.9,117.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.0",2022-11-28T08:00:00,54.6,54.6,52.6,93.01,0.008,100,rain,0,0,2.9,2.9,18.2,1011,100,13.7,5,0,0,10,"Rain, Overcast",rain,remote
"35.8,119.0",2022-11-28T09:00:00,54.6,54.6,53.1,94.87,0.012,90.5,rain,0,0,5.4,4.7,12.5,1011,100,11.2,7,0,0,10,"Rain, Overcast",rain,
"35.8,119.0",2022-11-28T10:00:00,53.5,53.5,52.2,95.48,0.028,90.5,rain,0,0,11.9,7.6,22.5,1012,100,8.2,20,0.1,0,10,"Rain, Overcast",rain,
"35.8,119.0",2022-11-28T11:00:00,52.2,52.2,51,95.46,0.028,90.5,rain,0,0,11,7.4,34,1012,100,8.6,8,0,0,10,"Rain, Overcast",rain,
"35.8,119.0",2022-11-28T12:00:00,51.3,51.3,49.7,94.17,0.016,90.5,rain,0,0,13.9,9.2,21.5,1012,100,10.4,15,0.1,0,10,"Rain, Overcast",rain,
"35.8,119.0",2022-11-28T13:00:00,50.3,50.3,47.7,91.02,0.024,90.5,rain,0,0,21,11.4,18.4,1012,100,11.2,11,0,0,10,"Rain, Overcast",rain,
