name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.708453,119.204387",2022-07-01T00:00:00,71.5,71.5,67.6,87.34,0,0,,0,0,2.7,2.7,133.5,1007,85.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.708453,119.204387",2022-07-01T01:00:00,70.8,70.8,67,87.85,0,0,,0,0,3.6,3.6,161.1,1007,82.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.708453,119.204387",2022-07-01T02:00:00,72.6,72.6,71.7,97,0,0,,0,0,20.1,2.2,270,1007,9.9,8.1,0,,0,10,Clear,clear-night,54945099999
"35.708453,119.204387",2022-07-01T03:00:00,69.2,69.2,66.6,91.69,0,0,rain,0,0,3.6,3.6,195.2,1007,4.7,2.9,0,,0,10,Clear,clear-night,remote
"35.708453,119.204387",2022-07-01T04:00:00,68.8,68.8,66.6,92.83,0,0,rain,0,0,2.9,2.9,191,1007,71,6.9,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.708453,119.204387",2022-07-01T05:00:00,73.7,73.7,73.7,100,0,0,rain,0,0,15.7,2.2,60,1008.1,100,2.5,0,,0,10,Overcast,cloudy,54945099999
"35.708453,119.204387",2022-07-01T06:00:00,70.2,70.2,67.2,90.04,0,0,,0,0,3.4,2.7,174.8,1008,60.6,15,49,0.2,0,10,Partially cloudy,partly-cloudy-day,remote
"35.708453,119.204387",2022-07-01T07:00:00,71.9,71.9,68.4,89,0,0,,0,0,2,1.1,198.2,1009,100,15,210,0.8,2,5,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-01T08:00:00,78.5,78.5,75.5,90.36,0,0,,0,0,13.4,4.5,210,1009.1,59.8,9.3,349,1.3,3,10,Partially cloudy,partly-cloudy-day,54945099999
"35.708453,119.204387",2022-07-01T09:00:00,78.7,78.7,71.7,79.11,0,0,,0,0,4.3,2.9,158.5,1009,8.3,15,567,2,6,30,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T10:00:00,81.9,86.9,72.2,72.48,0,0,,0,0,6.3,4.3,188.9,1009,0,15,748,2.7,7,30,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T11:00:00,83,91.8,76.7,81.37,0,0,,0,0,15.7,8.9,170,1008.7,2.7,6.8,864,3.1,9,30,Clear,clear-day,54945099999
"35.708453,119.204387",2022-07-01T12:00:00,86.8,93,71.7,60.88,0,0,,0,0,8.9,7.2,191.4,1008,0.9,15,928,3.3,9,30,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T13:00:00,88.1,94.3,71.3,57.78,0,0,,0,0,10.5,8.1,184.9,1007,9,15,935,3.4,9,60,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T14:00:00,81.8,89.4,76.7,84.76,0,0,,0,0,15.7,8.9,120,1008.2,35.2,5,881,3.2,9,60,Partially cloudy,partly-cloudy-day,54945099999
"35.708453,119.204387",2022-07-01T15:00:00,87.5,94.3,72.1,60.23,0,0,rain,0,0,11.2,11,182.5,1007,15.8,15,769,2.8,8,60,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T16:00:00,86.8,93.8,72.6,62.76,0,0,,0,0,10.1,9.4,172.7,1007,5.6,15,623,2.2,6,60,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T17:00:00,80,80,77.1,90.96,0,0,,0,0,17.9,8.9,160,1007.5,1.8,9.3,446,1.6,4,75,Clear,clear-day,54945099999
"35.708453,119.204387",2022-07-01T18:00:00,81.1,86.5,74.2,79.77,0,0,,0,0,12.5,8.7,142.7,1007,0.2,15,255,0.9,3,60,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T19:00:00,77.6,77.6,73.5,87.11,0,0,,0,0,7.2,5.4,137.7,1007,0,10.4,84,0.3,1,60,Clear,clear-day,remote
"35.708453,119.204387",2022-07-01T20:00:00,77.6,77.6,76.4,95.91,0,0,,0,0,17.9,4.5,140,1008.3,0.9,9.9,3,0,0,60,Clear,clear-night,54945099999
"35.708453,119.204387",2022-07-01T21:00:00,75.6,75.6,72.4,89.7,0,0,,0,0,4.3,4.7,127.3,1008,0,15,0,,0,30,Clear,clear-night,remote
"35.708453,119.204387",2022-07-01T22:00:00,74.9,74.9,72.2,91.33,0,0,,0,0,4.3,4.5,131.6,1009,0,15,0,,0,30,Clear,clear-night,remote
"35.708453,119.204387",2022-07-01T23:00:00,77.6,77.6,77.3,98.82,0.079,100,rain,0,0,17.9,0,139.3,1009,9.7,5,0,,0,30,Rain,rain,54945099999
"35.708453,119.204387",2022-07-02T00:00:00,73.7,73.7,72.1,94.69,0,0,,0,0,5.4,4.7,144.7,1009,9.3,15,0,,0,30,Clear,clear-night,remote
"35.708453,119.204387",2022-07-02T01:00:00,73.5,73.5,71.9,94.68,0,0,,0,0,4.7,4.5,152.1,1009,1.4,15,0,,0,30,Clear,clear-night,remote
"35.708453,119.204387",2022-07-02T02:00:00,73.1,73.1,72.8,98.79,0.827,100,rain,0,0,22.4,8.9,330,1008.2,3.9,1.2,0,,0,30,Rain,rain,54945099999
"35.708453,119.204387",2022-07-02T03:00:00,73.3,73.3,71.5,94.1,0,0,,0,0,4.3,4.3,158.6,1008,4.8,15,0,,0,30,Clear,clear-night,remote
"35.708453,119.204387",2022-07-02T04:00:00,73.3,73.3,71.5,94.1,0,0,,0,0,4,4,179.9,1008,3.8,15,0,,0,30,Clear,clear-night,remote
"35.708453,119.204387",2022-07-02T05:00:00,71.3,71.3,69.2,92.91,0.157,100,rain,0,0,35.8,4.5,130,1010.4,1.1,14.9,0,,0,30,Rain,rain,54945099999
"35.708453,119.204387",2022-07-02T06:00:00,74.6,74.6,72.2,92.43,0,0,,0,0,6,4,178.9,1009,3.2,15,51,0.2,1,30,Clear,clear-day,remote
"35.708453,119.204387",2022-07-02T07:00:00,77.8,77.8,73.5,86.6,0,0,,0,0,6.5,4.5,171.8,1009,0.6,15,215,0.8,2,60,Clear,clear-day,remote
"35.708453,119.204387",2022-07-02T08:00:00,77.6,77.6,72.6,84.51,0,0,,0,0,35.8,4.5,100,1010.6,19.5,18.6,405,1.5,4,60,Clear,clear-day,54945099999
"35.708453,119.204387",2022-07-02T09:00:00,81.9,88.4,74.7,78.89,0,0,,0,0,7.2,6,163.8,1009,21.2,15,581,2.1,6,60,Partially cloudy,partly-cloudy-day,remote
"35.708453,119.204387",2022-07-02T10:00:00,83.9,91.6,74.7,74,0,0,,0,0,6.7,6.5,168.2,1009,24.5,15,729,2.6,7,75,Partially cloudy,partly-cloudy-day,remote
"35.708453,119.204387",2022-07-02T11:00:00,79.1,79.1,74.9,87.19,0.004,100,rain,0,0,35.8,4.5,140,1010.4,96.4,16.2,837,3,8,75,"Rain, Overcast",rain,54945099999
"35.708453,119.204387",2022-07-02T12:00:00,85.6,94.1,74.7,70.25,0,0,rain,0,0,8.9,9.4,155.4,1009,82.2,15,805,2.9,8,75,Partially cloudy,partly-cloudy-day,remote
"35.708453,119.204387",2022-07-02T13:00:00,85.6,93.7,74.4,69.41,0,0,,0,0,9.4,10.1,153.4,1008,100,15,842,3,8,60,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-02T14:00:00,79.8,79.8,77.3,92.04,0,0,,0,0,35.8,8.9,140,1009.5,100,13.7,831,3,8,60,Overcast,cloudy,54945099999
"35.708453,119.204387",2022-07-02T15:00:00,84.6,92,73.8,70.15,0,0,,0,0,10.1,10.5,152.5,1008,100,15,683,2.5,7,60,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-02T16:00:00,83.6,90.4,73.8,72.64,0,0,,0,0,10.1,10.5,151.8,1008,100,15,563,2,6,60,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-02T17:00:00,76.7,76.7,75.8,97.05,0,0,,0,0,17.9,8.9,120,1008.1,64.1,10.6,393,1.4,4,60,Partially cloudy,partly-cloudy-day,54945099999
"35.708453,119.204387",2022-07-02T18:00:00,78.9,78.9,73.3,83.07,0,0,,0,0,13.6,8.9,140.2,1007,100,15,241,0.9,2,30,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-02T19:00:00,76.6,76.6,72.8,88.12,0,0,,0,0,13.9,6.7,138.1,1007,99.4,15,68,0.2,1,10,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-02T20:00:00,75.5,75.5,74.9,98.21,0,0,,0,0,17.9,6.7,120,1008.5,74.9,6.2,3,0,0,3,Partially cloudy,partly-cloudy-night,54945099999
"35.708453,119.204387",2022-07-02T21:00:00,74,74,71.9,92.98,0,0,,0,0,20.1,7.6,146,1008,95.8,15,0,,0,3,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-02T22:00:00,73.7,73.7,71.5,92.97,0,0,,0,0,20.6,7.6,147,1009,100,15,0,,0,3,Overcast,cloudy,remote
"35.708453,119.204387",2022-07-02T23:00:00,75.5,75.5,74.9,98.21,0,0,,0,0,17.9,6.7,110,1009.6,100,7.5,0,,0,3,Overcast,cloudy,54945099999
"35.708453,119.204387",2022-07-03T00:00:00,73.5,73.5,71,91.84,0,0,,0,0,18.1,8.3,152.1,1009,100,15,0,,0,3,Overcast,cloudy,remote
