name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.96,119.04",2022-11-28T00:00:00,53.9,53.9,52.8,96.12,0,0,,0,0,0.7,0.4,109.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T01:00:00,54.6,54.6,53.3,95.5,0,0,,0,0,3.1,3.1,154.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T02:00:00,54.9,54.9,53.3,94.26,0,0,,0,0,4,4,171.2,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T03:00:00,54.6,54.6,52.8,93.63,0,0,,0,0,2.7,2.7,243.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T04:00:00,54.6,54.6,52.6,93.01,0,0,,0,0,4.7,4.7,242.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T05:00:00,53.7,53.7,51.9,93.6,0,0,,0,0,3.4,3.6,289.7,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T06:00:00,53.5,53.5,51.7,93.6,0,0,,0,0,3.1,3.1,328.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T07:00:00,52.6,52.6,51.2,94.83,0,0,,0,0,3.1,3.4,39.2,1011,99.6,15,0,,0,10,Overcast,cloudy,remote
"35.96,119.04",2022-11-28T08:00:00,53,53,51.5,94.84,0.004,100,rain,0,0,5.1,4,42.6,1011,100,12.8,33,0.1,0,10,"Rain, Overcast",rain,remote
"35.96,119.04",2022-11-28T09:00:00,52.4,52.4,51.2,95.46,0.028,90.5,rain,0,0,8.1,4.9,348.7,1012,100,4.5,9,0,0,10,"Rain, Overcast",rain,
"35.96,119.04",2022-11-28T10:00:00,51.5,51.5,50.1,94.81,0.071,90.5,rain,0,0,12.8,6.9,4.4,1012,100,6,5,0,0,10,"Rain, Overcast",rain,
"35.96,119.04",2022-11-28T11:00:00,50.4,50.4,48.1,91.65,0.031,90.5,rain,0,0,15.9,8.7,347.5,1013,100,5.8,12,0,0,10,"Rain, Overcast",rain,
"35.96,119.04",2022-11-28T12:00:00,50.1,50.1,47.7,91.63,0.047,90.5,rain,0,0,21.7,11.4,347.8,1013,100,7.9,12,0,0,10,"Rain, Overcast",rain,
