name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.938197,118.900739",2022-07-01T00:00:00,70.8,70.8,69.2,94.62,0,0,,0,0,2,1.8,107.1,1007,68.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.938197,118.900739",2022-07-01T01:00:00,70.6,70.6,69,94.62,0,0,,0,0,1.8,1.6,184.7,1007,71.7,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.938197,118.900739",2022-07-01T02:00:00,71.4,71.4,71,98.63,0.002,100,rain,0,0,17.7,1,270,1007.4,73.1,4.3,0,,0,3,"Rain, Partially cloudy",rain,"54836099999,54945099999"
"35.938197,118.900739",2022-07-01T03:00:00,69.9,69.9,68.1,94.02,0,0,,0,0,2.9,2.9,220.1,1007,4.8,15,0,,0,3,Clear,clear-night,remote
"35.938197,118.900739",2022-07-01T04:00:00,69.5,69.5,67.7,94.01,0,0,,0,0,2.7,2.7,222.7,1007,29.2,12.7,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"35.938197,118.900739",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,14.4,1,60,1007.9,95.8,1.8,0,,0,3,Overcast,cloudy,"54836099999,54945099999"
"35.938197,118.900739",2022-07-01T06:00:00,70.2,70.2,67.9,92.3,0,0,,0,0,0.9,0.9,224.5,1008,39.6,12.6,49,0.2,0,5,Partially cloudy,partly-cloudy-day,remote
"35.938197,118.900739",2022-07-01T07:00:00,71.9,71.9,68.3,88.45,0,0,,0,0,2.7,2.2,140,1009,100,15,209,0.8,2,3,Overcast,cloudy,remote
"35.938197,118.900739",2022-07-01T08:00:00,74.8,74.8,72.5,92.65,0.002,100,rain,0,0,9.7,4.5,166,1009.3,18.8,4.6,355,1.3,4,3,Rain,rain,"54836099999,54945099999"
"35.938197,118.900739",2022-07-01T09:00:00,77.6,77.6,70.4,78.55,0,0,,0,0,4.7,4,163.3,1009,17.1,15,586,2.1,6,10,Clear,clear-day,remote
