name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.09963,117.4613",2022-07-01T00:00:00,71.5,71.5,66.3,83.62,0.012,100,rain,0,0,20.1,6.3,100.8,1007,0.1,11.9,0,,0,10,Rain,rain,remote
"35.09963,117.4613",2022-07-01T01:00:00,72.1,72.1,66.8,83.66,0.012,100,rain,0,0,20.8,6,111.6,1007,1.8,15,0,,0,5,Rain,rain,remote
"35.09963,117.4613",2022-07-01T02:00:00,73.1,73.1,71,92.96,0,0,,0,0,13.4,2.2,130,1005.8,87.1,8.1,0,,0,5,Partially cloudy,partly-cloudy-night,54916099999
"35.09963,117.4613",2022-07-01T03:00:00,71.9,71.9,69,90.66,0,0,,0,0,14.5,6,106.2,1006,71.2,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.09963,117.4613",2022-07-01T04:00:00,71.7,71.7,69.3,92.35,0.004,100,rain,0,0,6,3.4,88.4,1006,3.3,15,0,,0,3,Rain,rain,remote
"35.09963,117.4613",2022-07-01T05:00:00,72,72,70.7,95.74,0,0,,0,0,27.9,2.2,143,1007.1,0.6,1.9,0,,0,3,Clear,clear-day,"54916099999,54929099999"
"35.09963,117.4613",2022-07-01T06:00:00,72.9,72.9,69.9,90.15,0.02,100,rain,0,0,2.2,2.2,32.1,1007,1.1,15,37,0.1,0,3,Rain,rain,remote
"35.09963,117.4613",2022-07-01T07:00:00,74.9,74.9,70.6,86.45,0.039,100,rain,0,0,2.9,3.8,86.6,1008,1.7,15,195,0.7,2,10,Rain,rain,remote
"35.09963,117.4613",2022-07-01T08:00:00,77.5,77.5,72.6,84.97,0,0,,0,0,16.6,4.5,117,1008.3,1.6,3.2,389,1.4,4,30,Clear,clear-day,"54916099999,54929099999"
"35.09963,117.4613",2022-07-01T09:00:00,81.1,85.2,71.5,72.83,0,0,,0,0,3.8,5.4,141.1,1008,3.6,15,576,2.1,6,30,Clear,clear-day,remote
"35.09963,117.4613",2022-07-01T10:00:00,83.2,88.3,71.7,68.32,0,0,,0,0,4,6,137.6,1008,10.1,15,738,2.7,7,30,Clear,clear-day,remote
"35.09963,117.4613",2022-07-01T11:00:00,84.8,91.9,73.4,68.75,0,0,,0,0,8.3,3.8,102,1008.4,7.1,5.1,859,3.1,9,60,Clear,clear-day,"54916099999,54929099999"
"35.09963,117.4613",2022-07-01T12:00:00,87.7,93.4,70.8,57.38,0,0,,0,0,5.6,6.9,144.1,1007,11.8,15,930,3.3,9,60,Clear,clear-day,remote
"35.09963,117.4613",2022-07-01T13:00:00,89.5,95,70.1,52.9,0.004,100,rain,0,0,6.5,6.7,152.9,1007,40.6,15,943,3.4,9,60,"Rain, Partially cloudy",rain,remote
"35.09963,117.4613",2022-07-01T14:00:00,90.2,96.1,70.4,52.35,0,0,,0,0,11.2,4.5,140,1006.4,64.9,16.8,876,3.2,9,60,Partially cloudy,partly-cloudy-day,54916099999
"35.09963,117.4613",2022-07-01T15:00:00,90.4,94.9,68.6,48.95,0,0,,0,0,6,5.4,159.5,1006,95,15,553,2,6,30,Overcast,cloudy,remote
"35.09963,117.4613",2022-07-01T16:00:00,88.6,93.9,70.1,54.42,0,0,,0,0,5.4,4.3,185.5,1006,99.5,15,164,0.6,2,60,Overcast,cloudy,remote
"35.09963,117.4613",2022-07-01T17:00:00,91.1,96.9,70.1,50.28,0,0,,0,0,11.2,4.5,150,1004.4,73.2,14.3,122,0.4,1,60,Partially cloudy,partly-cloudy-day,54916099999
