name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.09963,117.4613",2022-11-28T00:00:00,55.1,55.1,52.2,90,0,0,,0,0,4.5,4.7,83.2,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.09963,117.4613",2022-11-28T01:00:00,55.5,55.5,52.2,88.83,0,0,rain,0,0,5.8,5.1,100.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.09963,117.4613",2022-11-28T02:00:00,55.7,55.7,52.2,88.26,0,0,,0,0,2.2,2.2,138.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.09963,117.4613",2022-11-28T03:00:00,55.7,55.7,52.2,88.26,0.004,100,rain,0,0,5.1,4,93.5,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.09963,117.4613",2022-11-28T04:00:00,54.8,54.8,52.2,91.19,0,0,rain,0,0,3.8,3.8,305.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.09963,117.4613",2022-11-28T05:00:00,54.6,54.6,52.6,93.01,0.008,100,rain,0,0,3.6,3.4,330.8,1010,100,14.6,0,,0,10,"Rain, Overcast",rain,remote
"35.09963,117.4613",2022-11-28T06:00:00,54.2,54.2,52.4,93.62,0.004,100,rain,0,0,5.1,4,345,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.09963,117.4613",2022-11-28T07:00:00,54.6,54.6,52.4,92.4,0,0,,0,0,1.8,1.6,22,1010,88.1,15,0,,0,10,Partially cloudy,partly-cloudy-day,remote
"35.09963,117.4613",2022-11-28T08:00:00,54.9,54.9,52.2,90.59,0,0,,0,0,7.8,5.8,327.3,1011,100,14.9,27,0.1,0,10,Overcast,cloudy,remote
"35.09963,117.4613",2022-11-28T09:00:00,53.9,53.9,50.8,89.35,0,47.6,rain,0,0,9.2,6,310.7,1012,99.2,15,19,0.1,0,10,"Rain, Overcast",rain,
"35.09963,117.4613",2022-11-28T10:00:00,55.1,55.1,49.9,82.54,0,47.6,rain,0,0,11.6,7.6,336.1,1012,100,15,111,0.4,1,10,"Rain, Overcast",rain,
"35.09963,117.4613",2022-11-28T11:00:00,55.5,55.5,49.7,80.92,0.004,47.6,rain,0,0,9.8,5.8,353.6,1012,100,15,85,0.3,1,10,"Rain, Overcast",rain,
"35.09963,117.4613",2022-11-28T12:00:00,55.1,55.1,49.5,81.44,0,47.6,rain,0,0,14.8,8.7,338.7,1011,99.5,15,63,0.2,1,10,"Rain, Overcast",rain,
"35.09963,117.4613",2022-11-28T13:00:00,54.6,54.6,49.2,81.95,0,47.6,rain,0,0,15.7,11,342,1012,100,15,80,0.3,1,10,"Rain, Overcast",rain,
"35.09963,117.4613",2022-11-28T14:00:00,53.9,53.9,48.8,83.01,0,47.6,rain,0,0,18.8,13,333.3,1012,100,15,51,0.2,1,10,"Rain, Overcast",rain,
"35.09963,117.4613",2022-11-28T15:00:00,52.8,52.8,47.6,82.38,0.004,9.5,rain,0,0,24.2,13.2,343.3,1013,100,15,18,0.1,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T16:00:00,52.2,52.2,45.4,77.45,0,9.5,,0,0,28,16.3,348.3,1014,100,15,27,0.1,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T17:00:00,51.7,51.7,45.2,78.47,0,9.5,,0,0,29.3,18.3,357.3,1015,100,15,3,0,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T18:00:00,49.9,43.9,44.3,81.05,0,9.5,,0,0,30.6,17.9,4.8,1016,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T19:00:00,49.2,43.3,44.1,82.69,0,9.5,,0,0,32.2,16.3,14.1,1017,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T20:00:00,49,42.9,43.4,80.99,0,9.5,,0,0,33.3,17.2,21.8,1017,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T21:00:00,49,43.6,42,76.63,0,0,,0,0,28.2,14.1,15.4,1018,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T22:00:00,48.8,44.3,40,71.46,0,0,,0,0,24.8,11,0.1,1020,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-28T23:00:00,47.9,41.7,38.2,68.9,0,0,,0,0,34.9,16.1,7.2,1018,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T00:00:00,48.5,43.1,34.8,58.99,0,0,,0,0,29.5,13.4,11.7,1020,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T01:00:00,47.9,41.9,32.3,54.42,0,0,,0,0,29.8,15.4,6.5,1020,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T02:00:00,46.8,40.1,32.3,56.68,0,0,,0,0,28.9,17.2,5.3,1021,72.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.09963,117.4613",2022-11-29T03:00:00,43.6,35.3,24.7,47.03,0,14.3,,0,0,32.2,19.7,11.4,1022,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T04:00:00,40,31.5,15,35.7,0,14.3,,0,0,31.3,16.1,16.5,1023,80,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.09963,117.4613",2022-11-29T05:00:00,37.7,27.5,11.9,34.2,0,14.3,,0,0,36,19.7,19.5,1024,99.7,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T06:00:00,36.6,26.1,10.5,33.47,0,14.3,,0,0,36.7,19.7,23.1,1025,100,15,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T07:00:00,35.5,25.3,11.2,36.07,0,14.3,snow,0,0,34,17.4,21.9,1027,100,8.4,0,,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T08:00:00,35,25,11.2,36.85,0,14.3,,0,0,30.4,16.3,22.6,1028,100,15,39,0.1,0,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T09:00:00,35.7,25.7,10.1,34.13,0,4.8,,0,0,27.3,17,24.3,1029,100,12.2,103,0.4,1,10,Overcast,cloudy,
"35.09963,117.4613",2022-11-29T10:00:00,36.9,27,8.5,30.2,0,4.8,,0,0,23.9,18.1,14.2,1031,100,15,266,1,3,10,Overcast,cloudy,
