name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.82,117.34",2022-07-01T00:00:00,74,74,70.2,88.01,0.004,100,rain,0,0,19.9,8.9,113.5,1006,4.8,15,0,,0,3,Rain,rain,remote
"34.82,117.34",2022-07-01T01:00:00,74.4,74.4,70.6,88.02,0,0,,0,0,17,6.7,116.4,1006,49.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"34.82,117.34",2022-07-01T02:00:00,77.3,77.3,74.6,91.41,0,0,,0,0,24.6,2.2,300,1005.6,85.8,3.7,0,,0,3,Partially cloudy,partly-cloudy-night,58027099999
"34.82,117.34",2022-07-01T03:00:00,73.7,73.7,71,91.28,0,0,,0,0,13.4,6.7,106.8,1006,71.8,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"34.82,117.34",2022-07-01T04:00:00,73.7,73.7,71.3,92.41,0,0,,0,0,5.6,3.8,82.8,1006,0.5,15,0,,0,3,Clear,clear-night,remote
"34.82,117.34",2022-07-01T05:00:00,74.4,74.4,73,95.43,0,0,,0,0,23.1,2.2,84,1007.1,0,2,0,,0,3,Clear,clear-night,"58027099999,54929099999"
"34.82,117.34",2022-07-01T06:00:00,74.4,74.4,71.1,89.65,0.024,100,rain,0,0,3.1,2.7,25,1007,0,15,36,0.1,0,3,Rain,rain,remote
"34.82,117.34",2022-07-01T07:00:00,76.9,76.9,71.7,83.96,0.024,100,rain,0,0,3.4,3.6,65.6,1007,0,15,194,0.7,2,30,Rain,rain,remote
"34.82,117.34",2022-07-01T08:00:00,79.6,79.6,73.4,81.4,0,0,,0,0,14,3.2,126,1008.3,0,3.8,389,1.4,4,30,Clear,clear-day,"58027099999,54929099999"
"34.82,117.34",2022-07-01T09:00:00,82.8,88.3,72.4,70.83,0,0,,0,0,4.5,6,129.6,1008,5.5,15,576,2.1,6,30,Clear,clear-day,remote
"34.82,117.34",2022-07-01T10:00:00,85.2,91.7,72.6,66.09,0,0,,0,0,4.5,6,124.2,1008,0.8,15,737,2.7,7,60,Clear,clear-day,remote
"34.82,117.34",2022-07-01T11:00:00,83.9,91.3,74.4,73.11,0,0,,0,0,8.9,4.5,110,1008.8,3.4,3.7,860,3.1,9,60,Clear,clear-day,54929099999
"34.82,117.34",2022-07-01T12:00:00,89.7,96.5,71.5,55.24,0,0,,0,0,5.8,6.3,149.8,1007,5.3,15,931,3.4,9,60,Clear,clear-day,remote
"34.82,117.34",2022-07-01T13:00:00,91.7,98.1,70.6,50.35,0,0,,0,0,6.3,6.3,180.2,1006,18.9,15,946,3.4,9,60,Clear,clear-day,remote
"34.82,117.34",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,4.5,120,1006.8,26.4,14.3,897,3.2,9,60,Partially cloudy,partly-cloudy-day,58027099999
"34.82,117.34",2022-07-01T15:00:00,92.2,97.2,68.8,46.56,0,0,,0,0,5.4,4.5,200.4,1006,39.6,15,740,2.7,7,30,Partially cloudy,partly-cloudy-day,remote
"34.82,117.34",2022-07-01T16:00:00,92.7,97.4,68.3,44.95,0,0,,0,0,4.9,2.9,136.3,1005,2.6,15,506,1.8,5,30,Clear,clear-day,remote
"34.82,117.34",2022-07-01T17:00:00,92.6,99.5,71,49.57,0,0,,0,0,11.2,2.2,160,1004.9,7.1,14.3,486,1.7,5,30,Clear,clear-day,58027099999
"34.82,117.34",2022-07-01T18:00:00,92.7,97.2,68.1,44.67,0,0,,0,0,6.7,5.1,110.6,1005,12.9,15,291,1,3,30,Clear,clear-day,remote
"34.82,117.34",2022-07-01T19:00:00,88.4,94.6,71.1,56.78,0,0,,0,0,8.3,6.5,101.9,1005,1.9,15,106,0.4,1,60,Clear,clear-day,remote
"34.82,117.34",2022-07-01T20:00:00,87.8,96.7,74.2,64.27,0,0,,0,0,11.2,5.4,115,1006.3,0,10.8,5,0,0,60,Clear,clear-night,"58027099999,54929099999"
"34.82,117.34",2022-07-01T21:00:00,83.7,89.2,71.9,67.55,0,0,,0,0,14.3,7.2,91.2,1006,0,15,0,,0,30,Clear,clear-night,remote
"34.82,117.34",2022-07-01T22:00:00,82.8,88,71.9,69.54,0.004,100,rain,0,0,13.6,6.9,92.4,1007,0,14.1,0,,0,30,Rain,rain,remote
"34.82,117.34",2022-07-01T23:00:00,82.9,88.7,73,72.2,0,0,,0,0,17.7,4.1,78,1008.2,2.4,12.8,0,,0,30,Clear,clear-night,"58027099999,54929099999"
"34.82,117.34",2022-07-02T00:00:00,80.1,84.1,72.2,76.86,0,0,,0,0,16.1,8.5,101.8,1007,94.4,15,0,,0,30,Overcast,cloudy,remote
"34.82,117.34",2022-07-02T01:00:00,79.4,79.4,72.2,78.69,0,0,,0,0,14.5,7.6,100.7,1007,5,15,0,,0,30,Clear,clear-night,remote
"34.82,117.34",2022-07-02T02:00:00,80.8,85.8,73.6,78.62,0,0,,0,0,17.7,2.2,156,1007.4,5,10.4,0,,0,30,Clear,clear-night,"58027099999,54929099999"
"34.82,117.34",2022-07-02T03:00:00,78.2,78.2,72.2,82.02,0,0,,0,0,15.9,7.8,100.8,1006,14.1,15,0,,0,8,Clear,clear-night,remote
"34.82,117.34",2022-07-02T04:00:00,77.8,77.8,72.6,84.01,0,0,,0,0,15.2,7.6,102.8,1006,21.2,15,0,,0,8,Partially cloudy,partly-cloudy-night,remote
"34.82,117.34",2022-07-02T05:00:00,79.3,79.3,73.7,83.18,0,0,,0,0,17.7,3.2,124,1007.9,58.4,7.3,0,,0,8,Partially cloudy,partly-cloudy-night,"58027099999,54929099999"
"34.82,117.34",2022-07-02T06:00:00,77.1,77.1,73.7,89.22,0.039,100,rain,0,0,13.6,6,106.8,1007,96.3,8.7,34,0.1,0,8,"Rain, Overcast",rain,remote
"34.82,117.34",2022-07-02T07:00:00,80,80,74.4,83.14,0.016,100,rain,0,0,11.4,8.7,114.6,1007,100,15,167,0.6,2,30,"Rain, Overcast",rain,remote
"34.82,117.34",2022-07-02T08:00:00,86.6,97.8,76.7,72.49,0,0,,0,0,13.4,4.5,130,1007.7,82.3,9.9,336,1.2,3,60,Partially cloudy,partly-cloudy-day,58027099999
"34.82,117.34",2022-07-02T09:00:00,84.8,93,74.7,71.89,0,0,rain,0,0,11.6,9.8,134,1007,100,2.3,536,1.9,5,60,Overcast,cloudy,remote
"34.82,117.34",2022-07-02T10:00:00,87.5,96.3,74.2,64.77,0.039,100,rain,0,0,8.9,8.5,140.2,1007,13.9,15,607,2.2,6,60,Rain,rain,remote
"34.82,117.34",2022-07-02T11:00:00,89,101.8,77,67.91,0,0,,0,0,13.4,4.5,125,1008.3,30.1,9.7,855,3.1,9,60,Partially cloudy,partly-cloudy-day,"58027099999,54929099999"
"34.82,117.34",2022-07-02T12:00:00,92.9,101.4,72.4,51.46,0,0,,0,0,8.7,8.5,132.1,1007,12.3,15,925,3.3,9,60,Clear,clear-day,remote
"34.82,117.34",2022-07-02T13:00:00,94.6,102.7,71.7,47.77,0,0,,0,0,8.5,8.5,130.9,1006,5.7,15,943,3.4,9,60,Clear,clear-day,remote
"34.82,117.34",2022-07-02T14:00:00,91.7,105.4,76.9,62.08,0,0,,0,0,15.7,8,98,1006.6,44.4,10.7,898,3.2,9,60,Partially cloudy,partly-cloudy-day,"58027099999,54929099999"
"34.82,117.34",2022-07-02T15:00:00,95.3,101.6,69.7,43.68,0,0,,0,0,8.7,9.4,129.7,1005,9.4,15,791,2.8,8,30,Clear,clear-day,remote
"34.82,117.34",2022-07-02T16:00:00,95.1,100.8,69,42.86,0,0,,0,0,9.4,10.5,123.2,1005,7.4,15,652,2.3,7,30,Clear,clear-day,remote
"34.82,117.34",2022-07-02T17:00:00,90.5,100.9,74.7,59.95,0,0,,0,0,20.1,8.2,110,1004.8,59.4,12.1,484,1.7,5,30,Partially cloudy,partly-cloudy-day,"58027099999,54929099999"
