name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.554358,117.563783",2022-07-01T00:00:00,74,74,71.5,91.86,0.016,100,rain,0,0,18.1,5.6,100,1006,6.3,15,0,,0,3,Rain,rain,remote
"34.554358,117.563783",2022-07-01T01:00:00,74,74,71.7,92.42,0,0,,0,0,15.2,5.8,100.3,1006,4.9,15,0,,0,3,Clear,clear-night,remote
"34.554358,117.563783",2022-07-01T02:00:00,77.3,77.3,74.6,91.41,0,0,,0,0,24.6,2.2,300,1005.6,5,3.7,0,,0,3,Clear,clear-night,58027099999
"34.554358,117.563783",2022-07-01T03:00:00,73.8,73.8,72.1,94.12,0,0,,0,0,7.8,4.9,90.6,1006,94.6,15,0,,0,3,Overcast,cloudy,remote
"34.554358,117.563783",2022-07-01T04:00:00,73.7,73.7,72.1,94.69,0.004,100,rain,0,0,6.5,4.7,98.2,1005,24.6,15,0,,0,3,"Rain, Partially cloudy",rain,remote
"34.554358,117.563783",2022-07-01T05:00:00,76.2,76.2,74.6,94.74,0,0,,0,0,15.7,2.2,30,1006.8,0,2.5,0,,0,3,Clear,clear-night,58027099999
"34.554358,117.563783",2022-07-01T06:00:00,74.7,74.7,72.2,91.88,0.02,100,rain,0,0,2.5,2.2,41.1,1007,0,15,36,0.1,0,3,Rain,rain,remote
"34.554358,117.563783",2022-07-01T07:00:00,76.9,76.9,72.9,87.61,0.039,100,rain,0,0,4.7,4.7,69.9,1007,24.4,15,192,0.7,2,30,"Rain, Partially cloudy",rain,remote
"34.554358,117.563783",2022-07-01T08:00:00,82.1,88,73.7,75.64,0,0,,0,0,11.2,2.2,130,1008,14.6,5.6,383,1.4,4,30,Clear,clear-day,58027099999
"34.554358,117.563783",2022-07-01T09:00:00,83.2,89.6,73.5,72.6,0,0,,0,0,4.7,5.1,109.1,1008,4.1,15,570,2.1,6,60,Clear,clear-day,remote
"34.554358,117.563783",2022-07-01T10:00:00,86.1,93.3,73.1,65.39,0,0,,0,0,4.9,5.8,111.4,1008,5.2,15,733,2.6,7,60,Clear,clear-day,remote
"34.554358,117.563783",2022-07-01T11:00:00,88.6,96.1,72.6,59.28,0,0,,0,0,5.1,6.3,119.3,1008,2.4,15,855,3.1,9,60,Clear,clear-day,remote
"34.554358,117.563783",2022-07-01T12:00:00,91.1,98.6,71.9,53.45,0,0,,0,0,5.6,6.5,124.7,1007,5.6,15,925,3.3,9,60,Clear,clear-day,remote
"34.554358,117.563783",2022-07-01T13:00:00,93.3,99.9,70.4,47.59,0,0,,0,0,6.3,6.3,135.2,1006,17.5,15,939,3.4,9,60,Clear,clear-day,remote
"34.554358,117.563783",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,4.5,120,1006.8,49.7,14.3,893,3.2,9,60,Partially cloudy,partly-cloudy-day,58027099999
"34.554358,117.563783",2022-07-01T15:00:00,94.6,100,68.8,43.31,0,0,,0,0,5.1,4.3,127.3,1005,80.2,15,736,2.6,7,30,Partially cloudy,partly-cloudy-day,remote
"34.554358,117.563783",2022-07-01T16:00:00,93.8,99.1,68.8,44.28,0.004,100,rain,0,0,4.7,4,108.5,1005,97.8,15,376,1.4,4,30,"Rain, Overcast",rain,remote
"34.554358,117.563783",2022-07-01T17:00:00,92.6,99.5,71,49.57,0,0,,0,0,11.2,2.2,160,1004.9,99.1,14.3,115,0.4,1,60,Overcast,cloudy,58027099999
"34.554358,117.563783",2022-07-01T18:00:00,88.1,94.5,71.5,58.14,0,0,,0,0,10.1,6,97.5,1005,99.4,15,56,0.2,1,60,Overcast,cloudy,remote
"34.554358,117.563783",2022-07-01T19:00:00,86.6,93.3,72.2,62.36,0,0,,0,0,10.3,5.6,94.3,1005,85.1,15,23,0.1,0,60,Partially cloudy,partly-cloudy-day,remote
"34.554358,117.563783",2022-07-01T20:00:00,89.7,99.4,74.4,60.87,0,0,,0,0,11.2,4.5,90,1006,0.7,13.7,3,0,0,60,Clear,clear-night,58027099999
"34.554358,117.563783",2022-07-01T21:00:00,83.2,88.2,71.5,67.91,0,0,,0,0,9.2,5.8,103.9,1006,0.8,15,0,,0,30,Clear,clear-night,remote
"34.554358,117.563783",2022-07-01T22:00:00,81.9,86.1,70.8,69.03,0,0,rain,0,0,11,5.8,96.7,1007,1.5,6.6,0,,0,30,Clear,clear-night,remote
"34.554358,117.563783",2022-07-01T23:00:00,87.5,96.7,74.6,65.56,0,0,,0,0,11.2,2.2,120,1007.4,0,16.2,0,,0,30,Clear,clear-night,58027099999
"34.554358,117.563783",2022-07-02T00:00:00,78.7,78.7,72.4,81.06,0.008,100,rain,0,0,8.7,5.6,86.4,1007,5,15,0,,0,30,Rain,rain,remote
"34.554358,117.563783",2022-07-02T01:00:00,78.5,78.5,72.9,83.04,0,0,,0,0,8.7,5.6,97,1007,13.6,15,0,,0,30,Clear,clear-night,remote
"34.554358,117.563783",2022-07-02T02:00:00,84.8,94,75.8,74.52,0,0,,0,0,11.2,2.2,110,1007.1,66.7,11.2,0,,0,30,Partially cloudy,partly-cloudy-night,58027099999
"34.554358,117.563783",2022-07-02T03:00:00,77.4,77.4,73.5,87.63,0,0,,0,0,11.9,6,92.5,1006,91.2,15,0,,0,8,Overcast,cloudy,remote
"34.554358,117.563783",2022-07-02T04:00:00,76.9,76.9,73.8,90.3,0,0,,0,0,11.2,5.6,100.9,1006,25.8,15,0,,0,8,Partially cloudy,partly-cloudy-night,remote
"34.554358,117.563783",2022-07-02T05:00:00,83,91.8,76.7,81.37,0,0,,0,0,11.2,2.2,120,1007.2,100,8.1,0,,0,30,Overcast,cloudy,58027099999
"34.554358,117.563783",2022-07-02T06:00:00,77.4,77.4,74.2,89.78,0.008,100,rain,0,0,12.8,5.1,113.2,1007,100,15,33,0.1,0,30,"Rain, Overcast",rain,remote
"34.554358,117.563783",2022-07-02T07:00:00,80.1,85,74.6,83.15,0.028,100,rain,0,0,10.7,7.4,127.7,1008,67.1,15,163,0.6,2,30,"Rain, Partially cloudy",rain,remote
"34.554358,117.563783",2022-07-02T08:00:00,86.6,97.8,76.7,72.49,0,0,,0,0,13.4,4.5,130,1007.7,95.3,9.9,363,1.3,4,60,Overcast,cloudy,58027099999
"34.554358,117.563783",2022-07-02T09:00:00,86.3,94.8,74.4,67.83,0,0,,0,0,9.6,8.7,131.5,1008,100,15,547,2,5,60,Overcast,cloudy,remote
"34.554358,117.563783",2022-07-02T10:00:00,88.6,97.2,73.7,61.47,0.004,100,rain,0,0,8.7,8.1,128,1007,68.1,15,644,2.3,6,60,"Rain, Partially cloudy",rain,remote
"34.554358,117.563783",2022-07-02T11:00:00,92,107.7,78.2,64.14,0,0,,0,0,13.4,4.5,100,1007.5,20.8,13,838,3,8,60,Partially cloudy,partly-cloudy-day,58027099999
"34.554358,117.563783",2022-07-02T12:00:00,93.3,101.1,71.7,49.67,0,0,,0,0,9.6,9.2,126.4,1007,5,15,922,3.3,9,60,Clear,clear-day,remote
"34.554358,117.563783",2022-07-02T13:00:00,94.7,101.8,70.6,45.8,0,0,,0,0,10.1,9.8,123.4,1006,3.1,15,941,3.4,9,30,Clear,clear-day,remote
"34.554358,117.563783",2022-07-02T14:00:00,93.8,108.8,77.3,58.88,0,0,,0,0,15.7,8.9,90,1006.1,5,13,897,3.2,9,30,Clear,clear-day,58027099999
"34.554358,117.563783",2022-07-02T15:00:00,95.4,101.4,69.2,42.65,0,0,,0,0,8.9,9.8,120.1,1005,32.3,15,797,2.9,8,30,Partially cloudy,partly-cloudy-day,remote
"34.554358,117.563783",2022-07-02T16:00:00,95.1,100.8,69,42.86,0,0,,0,0,9.2,10.3,114.3,1005,44.9,15,651,2.3,7,30,Partially cloudy,partly-cloudy-day,remote
"34.554358,117.563783",2022-07-02T17:00:00,92,102.7,74.6,56.91,0,0,,0,0,20.1,4.5,110,1004.3,57.4,13.7,474,1.7,5,30,Partially cloudy,partly-cloudy-day,58027099999
"34.554358,117.563783",2022-07-02T18:00:00,91.7,98.1,70.6,50.35,0,0,,0,0,14.5,10.3,116.6,1004,66.2,15,277,1,3,30,Partially cloudy,partly-cloudy-day,remote
"34.554358,117.563783",2022-07-02T19:00:00,87.5,93,70.6,57.36,0,0,,0,0,16.3,8.1,119.8,1005,43.2,15,89,0.3,1,10,Partially cloudy,partly-cloudy-day,remote
"34.554358,117.563783",2022-07-02T20:00:00,88.8,93.7,69.5,53.12,0,0,,0,0,20.1,6.7,120,1005,100,18.6,5,0,0,10,Overcast,cloudy,58027099999
"34.554358,117.563783",2022-07-02T21:00:00,84.3,87.5,67.9,58,0,0,,0,0,15,6.7,104.6,1006,100,15,0,,0,10,Overcast,cloudy,remote
"34.554358,117.563783",2022-07-02T22:00:00,81.8,86.2,71.3,70.72,0,0,,0,0,20.4,9.8,81,1007,72.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"34.554358,117.563783",2022-07-02T23:00:00,86.6,92.1,70.8,59.39,0,0,,0,0,20.1,4.5,100,1006.4,95.6,17.4,0,,0,30,Overcast,cloudy,58027099999
"34.554358,117.563783",2022-07-03T00:00:00,80.1,84.8,74,81.66,0,0,,0,0,22.1,10.7,101.2,1007,100,15,0,,0,30,Overcast,cloudy,remote
"34.554358,117.563783",2022-07-03T01:00:00,79.6,79.6,73.5,81.62,0,0,,0,0,22.4,10.5,112.8,1006,88.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"34.554358,117.563783",2022-07-03T02:00:00,84.8,92.4,74,70.17,0,0,,0,0,20.1,6.7,110,1005.3,100,9.9,0,,0,10,Overcast,cloudy,58027099999
