name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.554358,117.563783",2022-11-28T00:00:00,57.3,57.3,53.1,86.04,0,0,,0,0,7.4,5.4,74.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.554358,117.563783",2022-11-28T01:00:00,57.3,57.3,53.1,86.04,0,0,,0,0,8.5,5.6,71.3,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.554358,117.563783",2022-11-28T02:00:00,56.6,56.6,53,87.72,0,0,,0,0,6,5.6,53.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.554358,117.563783",2022-11-28T03:00:00,57.1,57.1,53.3,87.17,0.004,100,rain,0,0,3.6,3.4,113.3,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.554358,117.563783",2022-11-28T04:00:00,57.1,57.1,54.1,89.49,0.008,100,rain,0,0,3.1,3.1,42.6,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.554358,117.563783",2022-11-28T05:00:00,56.9,56.9,54.6,91.87,0,0,,0,0,4.9,4.5,357,1009,100,15,0,,0,10,Overcast,cloudy,remote
"34.554358,117.563783",2022-11-28T06:00:00,56.7,56.7,54.4,91.86,0.004,100,rain,0,0,5.6,3.8,343.7,1009,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.554358,117.563783",2022-11-28T07:00:00,56.2,56.2,53.5,90.64,0,0,,0,0,8.3,5.4,347,1010,100,15,0,,0,10,Overcast,cloudy,remote
"34.554358,117.563783",2022-11-28T08:00:00,56.2,56.2,53.1,89.46,0,0,,0,0,8.9,6.3,326.3,1010,100,15,3,0,0,10,Overcast,cloudy,remote
"34.554358,117.563783",2022-11-28T09:00:00,54.6,54.6,51,87.62,0.035,85.7,rain,0,0,16.6,11.4,314,1011,100,3,27,0.1,0,10,"Rain, Overcast",rain,
"34.554358,117.563783",2022-11-28T10:00:00,53.1,53.1,49.2,86.38,0.051,85.7,rain,0,0,18.3,11.6,326.3,1012,100,15,6,0,0,10,"Rain, Overcast",rain,
"34.554358,117.563783",2022-11-28T11:00:00,54.6,54.6,48.8,80.86,0.008,85.7,rain,0,0,17.9,11.2,325,1012,100,7.8,59,0.2,1,10,"Rain, Overcast",rain,
"34.554358,117.563783",2022-11-28T12:00:00,54.6,54.6,49.5,83.06,0.012,85.7,rain,0,0,17,9.4,322.9,1011,100,15,17,0.1,0,10,"Rain, Overcast",rain,
"34.554358,117.563783",2022-11-28T13:00:00,56,56,48.8,76.74,0,85.7,rain,0,0,19.5,13.9,324.2,1011,100,15,107,0.4,1,10,"Rain, Overcast",rain,
"34.554358,117.563783",2022-11-28T14:00:00,53.1,53.1,48.5,84.09,0.004,85.7,rain,0,0,21.9,13,315,1012,100,15,25,0.1,0,10,"Rain, Overcast",rain,
"34.554358,117.563783",2022-11-28T15:00:00,52.4,52.4,47.4,82.91,0.008,38.1,rain,0,0,23.9,13.4,326.8,1013,100,15,10,0,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T16:00:00,53,53,47.4,81.28,0.008,38.1,rain,0,0,25.7,14.3,330.2,1014,100,15,6,0,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T17:00:00,54.2,54.2,47.7,78.68,0.004,38.1,rain,0,0,27.7,15,345,1015,100,15,2,0,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T18:00:00,53.7,53.7,46.3,76.01,0.004,38.1,rain,0,0,28.9,16.1,356.8,1016,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T19:00:00,53,53,45.8,76.46,0,38.1,,0,0,28.4,16.8,8.5,1016,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T20:00:00,51.9,51.9,45.4,78.48,0,38.1,,0,0,26.8,15,19.7,1016,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T21:00:00,51.3,51.3,44.9,78.44,0,33.3,,0,0,25.3,13.2,15,1017,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T22:00:00,51.3,51.3,44.5,77.37,0,33.3,,0,0,14.8,9.2,333.9,1020,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-28T23:00:00,51.2,51.2,42,70.72,0,33.3,,0,0,15.7,9.4,351.1,1020,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T00:00:00,50.1,50.1,40.4,69.14,0,33.3,,0,0,21.7,13.2,6.6,1018,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T01:00:00,50.3,50.3,37.8,62.25,0,33.3,,0,0,18.6,9.8,349.7,1021,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T02:00:00,50.1,50.1,34.1,53.96,0,33.3,,0,0,24.2,14.1,354,1021,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T03:00:00,49.2,43.9,33.3,54.22,0,9.5,,0,0,22.8,13.6,359.9,1022,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T04:00:00,47.2,40.7,30.6,52.37,0,9.5,,0,0,25.1,16.3,5.8,1022,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T05:00:00,44.9,38.2,23.6,42.85,0,9.5,,0,0,24.4,14.5,3.7,1023,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T06:00:00,42.9,36.1,19.3,38.5,0.004,9.5,rain,0,0,23,13.2,10.2,1024,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T07:00:00,41.4,35.1,17.9,38.25,0,9.5,,0,0,21.5,10.7,7.1,1027,100,15,0,,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T08:00:00,41.4,34.9,16.4,35.95,0,9.5,,0,0,20.4,11.4,18.1,1028,100,15,38,0.1,0,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T09:00:00,41.6,34.5,15,33.53,0,0,,0,0,17.4,13.2,22.6,1028,99,15,139,0.5,1,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T10:00:00,42.2,35.6,15,32.84,0,0,,0,0,14.5,11.9,15.6,1030,100,15,232,0.8,2,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T11:00:00,41.6,34.6,12.8,30.5,0,0,,0,0,15.4,13,9.2,1030,99.9,15,120,0.4,1,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T12:00:00,43.1,35.8,11.2,26.86,0,0,,0,0,17,14.8,8,1030,100,15,362,1.3,4,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T13:00:00,42.9,34.9,10.7,26.41,0,0,,0,0,19.7,17.2,7.4,1030,100,15,355,1.3,4,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T14:00:00,42.2,33.9,8.5,24.65,0,0,,0,0,21.7,17.7,9.5,1030,100,15,230,0.8,2,10,Overcast,cloudy,
"34.554358,117.563783",2022-11-29T15:00:00,41.6,33.1,7.2,23.77,0,0,,0,0,21,17.9,6,1031,100,15,258,0.9,3,10,Overcast,cloudy,
