name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.0,116.3",2022-11-28T00:00:00,43.8,38.1,39.6,85.25,0,0,,0,0,13.4,10.7,346.2,1013,100,15,0,,0,10,Overcast,cloudy,remote
"36.0,116.3",2022-11-28T01:00:00,43.8,38.5,40,86.45,0.008,100,rain,0,0,11.6,9.6,348.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.0,116.3",2022-11-28T02:00:00,43.2,37.3,40,88.25,0.004,100,rain,0,0,14.5,11,330.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.0,116.3",2022-11-28T03:00:00,42.9,36.8,40,89.48,0.012,100,rain,0,0,15.9,11.2,343.5,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.0,116.3",2022-11-28T04:00:00,42.7,37.8,40.4,91.37,0.031,100,rain,0,0,12.1,8.3,2.1,1012,100,5,0,,0,10,"Rain, Overcast",rain,remote
"36.0,116.3",2022-11-28T05:00:00,43.6,39.4,41.1,90.77,0.035,100,rain,0,0,9.6,7.2,359.7,1012,100,8.1,0,,0,10,"Rain, Overcast",rain,remote
"36.0,116.3",2022-11-28T06:00:00,43.6,37.8,40.7,89.51,0.012,100,rain,0,0,18.8,10.7,340.8,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.0,116.3",2022-11-28T07:00:00,43.2,37.5,40.5,90.12,0,0,,0,0,19,10.5,356,1013,100,15,0,,0,10,Overcast,cloudy,remote
"36.0,116.3",2022-11-28T08:00:00,43.2,37.6,40.7,90.75,0.016,100,rain,0,0,19,10.1,5.4,1013,100,11.7,1,0,0,10,"Rain, Overcast",rain,remote
"36.0,116.3",2022-11-28T09:00:00,44,38.6,40.9,88.9,0.004,19,rain,0,0,18.1,9.8,346.7,1015,100,15,10,0,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T10:00:00,44.5,38.8,40.9,87.09,0,19,,0,0,21.3,11.2,349.6,1015,75.3,15,22,0.1,0,10,Partially cloudy,partly-cloudy-day,
"36.0,116.3",2022-11-28T11:00:00,48.3,43.2,41.6,77.64,0,19,,0,0,18.6,12.1,0.7,1015,25.4,15,226,0.8,2,10,Partially cloudy,partly-cloudy-day,
"36.0,116.3",2022-11-28T12:00:00,52.1,52.1,42.3,69.37,0,19,,0,0,20.1,14.8,356.3,1015,31.1,15,491,1.8,5,10,Partially cloudy,partly-cloudy-day,
"36.0,116.3",2022-11-28T13:00:00,53,53,42,66.19,0,19,,0,0,21.7,16.1,357.6,1015,51.6,15,504,1.8,5,10,Partially cloudy,partly-cloudy-day,
"36.0,116.3",2022-11-28T14:00:00,53.7,53.7,41.4,63.13,0,19,,0,0,22.4,16.3,352.8,1016,100,15,435,1.6,4,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T15:00:00,53.3,53.3,39.6,59.66,0,0,,0,0,24.8,16.6,358.2,1016,100,15,227,0.8,2,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T16:00:00,51.3,51.3,37.7,59.39,0,0,,0,0,26.4,14.8,2.8,1017,100,15,102,0.4,1,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T17:00:00,49.9,44.9,35.3,57.12,0,0,,0,0,25.5,13.4,353,1018,100,15,23,0.1,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T18:00:00,49.4,44.2,35.5,58.7,0,0,,0,0,29.5,13.6,6.1,1018,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T19:00:00,49,44.1,37.7,64.78,0,0,,0,0,28.4,12.3,4.1,1019,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T20:00:00,48.6,43.5,38.9,68.98,0,0,,0,0,28.6,12.8,8.6,1020,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T21:00:00,47.6,43.8,39.1,72.34,0,0,,0,0,22.1,8.1,356.7,1021,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T22:00:00,46.8,42.7,39.3,74.84,0,0,,0,0,22.4,8.5,1,1021,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-28T23:00:00,45.6,41,38.7,76.86,0,0,,0,0,23.7,8.9,345.3,1022,89.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-11-29T00:00:00,45.8,39,32.3,59.04,0,0,,0,0,32.7,15.9,1.6,1024,43.8,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-11-29T01:00:00,42.3,34.1,6.5,22.38,0,0,,0,0,32.4,17.9,6,1025,51.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-11-29T02:00:00,39.5,29.9,11.7,31.62,0,0,,0,0,33.6,19.5,22.4,1025,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T03:00:00,36.4,25.7,6.9,28.68,0,0,,0,0,35.6,20.4,15,1026,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T04:00:00,35.3,24.4,6.2,28.96,0,0,,0,0,34.7,19.9,27.2,1027,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T05:00:00,32.8,20.6,3.3,28.07,0,0,,0,0,37.4,21.7,27.2,1027,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T06:00:00,31.2,18.8,1.8,28.03,0,0,,0,0,37.6,20.6,28,1029,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T07:00:00,30.3,18.2,2.6,30.06,0,0,,0,0,36.7,18.6,29.7,1030,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T08:00:00,30.6,18.6,3.8,31.4,0,0,,0,0,33.6,18.8,29.1,1031,29.9,15,28,0.1,0,10,Partially cloudy,partly-cloudy-day,
"36.0,116.3",2022-11-29T09:00:00,31.7,19.6,3.8,30.05,0,0,,0,0,32,20.1,30.6,1033,98.9,15,196,0.7,2,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T10:00:00,32.6,20.4,-1.2,22.92,0,0,,0,0,28.9,21.5,27.5,1034,99.7,15,342,1.2,3,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T11:00:00,33.9,22.4,-1.8,21.24,0,0,,0,0,26.2,20.4,26.8,1034,100,15,363,1.3,4,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T12:00:00,34.1,23,-1.8,21.09,0.004,0,snow,0,0,23.7,19,22.4,1034,100,2.6,325,1.2,3,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T13:00:00,34.6,23.7,-1.6,20.82,0.004,0,snow,0.04,0.04,23.9,18.8,18.7,1034,81.8,3.4,371,1.3,4,10,Partially cloudy,snow,
"36.0,116.3",2022-11-29T14:00:00,34.8,24,-1.4,20.84,0,0,,0,0.04,23.7,18.6,15.7,1034,100,15,398,1.4,4,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T15:00:00,34.4,23.8,-2.5,20.09,0,0,,0,0.04,22.8,17.7,16.8,1035,100,15,283,1,3,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T16:00:00,33.7,23.1,-1.9,21.21,0,0,,0,0,22.6,17,18,1036,100,15,152,0.5,2,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T17:00:00,31.2,20.5,-3.2,22.11,0,0,,0,0,22.4,15.2,25.4,1036,67.4,15,37,0.1,0,10,Partially cloudy,partly-cloudy-day,
"36.0,116.3",2022-11-29T18:00:00,29.6,20.4,-3.9,22.82,0,0,,0,0,18.8,10.5,36.5,1038,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T19:00:00,28.5,18,-4.8,22.84,0,0,,0,0,20.6,12.8,41.6,1039,27.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-11-29T20:00:00,26.9,16.7,-6.3,22.77,0,0,,0,0,23.3,11.2,30,1041,92.6,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-29T21:00:00,26,14.3,-8.1,21.66,0,0,,0,0,20.4,13.9,34.4,1042,37.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-11-29T22:00:00,24.2,12.5,-10.8,20.44,0,0,,0,0,23.3,13,28.2,1043,20.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-11-29T23:00:00,22.7,11,-12.4,20.03,0,0,,0,0,22.8,12.3,26.8,1043,0,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-11-30T00:00:00,21.5,9.2,-14.2,19.3,0,0,,0,0,23.7,12.8,26.1,1044,0,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-11-30T01:00:00,20.7,8.7,-14.9,19.19,0,0,,0,0,24.6,11.9,26,1043,0.5,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-11-30T02:00:00,20,8.6,-15.8,18.91,0,0,,0,0,24.4,10.5,31.1,1043,0,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-11-30T03:00:00,19.5,8.3,-16.2,19,0,0,,0,0,25.9,9.8,25.7,1043,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T04:00:00,19.3,8,-16.9,18.45,0,0,,0,0,25.7,10.1,30.3,1043,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T05:00:00,18.8,8.7,-16.7,19.06,0,0,,0,0,23.7,8.1,30.5,1043,79.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-11-30T06:00:00,18.4,10.7,-16.3,19.71,0,0,,0,0,14.8,5.4,28.2,1043,99.7,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T07:00:00,18.4,13.3,-16.2,19.89,0,0,,0,0,9.8,3.4,20.1,1044,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T08:00:00,19.7,15.1,-18.1,17.04,0,0,,0,0,7.4,3.1,1.7,1045,100,15,32,0.1,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T09:00:00,22,15.2,-19.6,14.32,0,0,,0,0,10.3,5.1,3.4,1045,100,15,128,0.5,1,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T10:00:00,23.1,15.6,-19.6,13.68,0,0,,0,0,8.9,6,356,1046,96.8,15,142,0.5,1,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T11:00:00,25.8,18.8,-19.6,12.23,0,0,,0,0,8.9,6,3.6,1045,100,15,453,1.6,5,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T12:00:00,27.8,20.4,-18.9,11.69,0,0,,0,0,9.2,6.9,350.7,1044,100,15,507,1.8,5,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T13:00:00,26.9,19.7,-18.7,12.25,0,0,,0,0,7.4,6.5,340.2,1042,100,15,197,0.7,2,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T14:00:00,28.1,21.2,-17.8,12.18,0,0,,0,0,7.4,6.5,351.3,1041,100,15,356,1.3,4,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T15:00:00,28.5,22,-17.2,12.34,0,0,,0,0,6.9,6,358.5,1040,100,15,332,1.2,3,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T16:00:00,27.8,21.5,-16.2,13.43,0,0,,0,0,6.5,5.6,1.9,1040,100,15,163,0.6,2,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T17:00:00,25.4,21,-12.2,18.06,0,0,,0,0,3.6,3.6,4.9,1040,100,15,36,0.1,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T18:00:00,24.7,20.9,-12,18.77,0,0,,0,0,3.1,3.1,22.9,1041,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T19:00:00,25.2,25.2,-11.5,18.86,0,0,,0,0,2,2,45.2,1041,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T20:00:00,24.9,24.9,-11.3,19.31,0,0,,0,0,2.2,2.5,68,1041,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T21:00:00,25.1,25.1,-10.9,19.51,0,0,,0,0,2.2,2.2,101.6,1041,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T22:00:00,24.5,24.5,-10.9,19.96,0,0,,0,0,2,2,129.9,1041,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-11-30T23:00:00,23.4,23.4,-11.3,20.51,0,0,,0,0,2.2,2.2,164.1,1040,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T00:00:00,22.4,22.4,-11.8,20.89,0,0,,0,0,1.8,1.8,153.6,1040,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T01:00:00,22.4,22.4,-12,20.71,0,0,,0,0,2.9,2.9,169.7,1040,98.6,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T02:00:00,22.2,22.2,-12.2,20.68,0,0,,0,0,2.5,2.5,166.1,1039,90.3,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T03:00:00,22.2,22.2,-12.6,20.31,0,0,,0,0,2.2,2.5,134.8,1039,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T04:00:00,23.3,23.3,-12.4,19.58,0,0,,0,0,2.7,2.9,149.9,1038,79.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-12-01T05:00:00,22.2,17.3,-12.2,20.68,0,0,,0,0,3.4,3.6,157.5,1038,94.9,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T06:00:00,22,17.4,-12.2,20.84,0,0,,0,0,3.4,3.4,153.5,1037,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T07:00:00,21.8,17.6,-12.2,20.99,0,0,,0,0,3.1,3.1,155,1038,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T08:00:00,23.8,19.2,-12.4,19.15,0,0,,0,0,4.5,3.6,156.5,1038,100,15,30,0.1,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T09:00:00,27,21.3,-12.7,16.44,0,0,,0,0,6.5,4.9,177.8,1038,100,15,162,0.6,2,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T10:00:00,29.7,23.9,-12.7,14.72,0,0,,0,0,6.9,5.6,184.7,1038,100,15,288,1,3,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T11:00:00,32.1,26.7,-12.4,13.63,0,0,,0,0,7.2,5.6,210.3,1038,100,15,375,1.3,4,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T12:00:00,34.4,28.6,-10.8,13.45,0,0,,0,0,8.3,6.7,216.6,1036,100,15,441,1.6,4,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T13:00:00,35.5,29.8,-9.1,13.96,0,0,,0,0,8.5,6.9,225.8,1035,100,15,433,1.6,4,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T14:00:00,36,30.4,-7.7,14.66,0,0,,0,0,8.3,6.9,239.3,1034,100,15,388,1.4,4,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T15:00:00,35.9,31.1,-6.4,15.69,0,0,,0,0,7.2,5.6,246.3,1033,100,15,241,0.9,2,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T16:00:00,35.1,31,-2.8,19.19,0,0,,0,0,6.7,4.7,240.7,1033,100,15,187,0.7,2,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T17:00:00,32.1,27.1,-1.9,22.64,0,0,,0,0,4.9,5.1,219.9,1034,100,15,37,0.1,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T18:00:00,30.8,26,-1.4,24.44,0,0,,0,0,4.7,4.7,213.5,1034,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T19:00:00,29.2,25.7,-1.9,25.44,0,0,,0,0,3.4,3.4,204.5,1034,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T20:00:00,28.8,28.8,-2.3,25.38,0,0,,0,0,2.9,2.9,160.8,1035,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-01T21:00:00,28.3,24.3,-2.7,25.51,0,0,,0,0,3.4,3.6,146.7,1034,66.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-12-01T22:00:00,27,22.3,-3,26.41,0,0,,0,0,3.8,4,137.8,1034,50,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.0,116.3",2022-12-01T23:00:00,26.5,20.9,-3.4,26.54,0,0,,0,0,4.5,4.7,144.1,1034,0,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T00:00:00,25.8,21.2,-3.2,27.58,0,0,,0,0,3.8,3.8,150.7,1034,0,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T01:00:00,25.4,20.2,-3.2,28,0,0,,0,0,4,4.3,153.7,1033,5,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T02:00:00,24.9,19,-2.8,29.13,0,0,,0,0,4.3,4.7,151.5,1033,5.1,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T03:00:00,24.3,18.7,-2.7,30.05,0,4.8,,0,0,4.3,4.5,139.1,1032,5,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T04:00:00,24,17.1,-2.5,30.77,0,4.8,,0,0,5.1,5.6,143.8,1032,5,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T05:00:00,23.4,16.4,-2.3,31.74,0,4.8,,0,0,5.1,5.6,144.9,1032,10.7,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T06:00:00,22.9,15.4,-1.9,33.02,0,4.8,,0,0,5.6,6,137.7,1031,5,15,0,,0,10,Clear,clear-night,
"36.0,116.3",2022-12-02T07:00:00,22.7,14.6,-1.8,33.56,0,4.8,,0,0,8.1,6.7,132.3,1031,100,15,0,,0,10,Overcast,cloudy,
"36.0,116.3",2022-12-02T08:00:00,25.1,17.2,-1,31.48,0,4.8,,0,0,13.2,6.9,134.6,1031,100,15,27,0.1,0,10,Overcast,cloudy,
