name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.76,117.5",2022-07-01T00:00:00,71.7,71.7,67.9,87.89,0,0,,0,0,17.9,4.7,147.2,1006,0,15,0,,0,5,Clear,clear-night,remote
"35.76,117.5",2022-07-01T01:00:00,71.5,71.5,67.4,86.8,0,0,,0,0,4.9,1.8,162.2,1007,3.9,15,0,,0,3,Clear,clear-night,remote
"35.76,117.5",2022-07-01T02:00:00,67.8,67.8,66.8,96.76,0.001,100,rain,0,0,20.3,7.1,178,1007.4,1.6,3.9,0,,0,3,Rain,rain,"54826099999,54916099999,54836099999"
"35.76,117.5",2022-07-01T03:00:00,70.8,70.8,66.8,87.31,0,0,,0,0,2.2,2.2,80.8,1007,0,15,0,,0,5,Clear,clear-night,remote
"35.76,117.5",2022-07-01T04:00:00,70.6,70.6,66.8,87.84,0,0,,0,0,2.7,2.5,111.9,1007,1.9,15,0,,0,5,Clear,clear-night,remote
"35.76,117.5",2022-07-01T05:00:00,68.3,68.3,66.2,93.05,0,0,,0,0,23,7.2,172,1007.4,7.8,4.5,0,,0,5,Clear,clear-day,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-01T06:00:00,71.7,71.7,67.7,87.35,0,0,,0,0,4.7,3.1,135.5,1008,2.3,15,40,0.1,0,3,Clear,clear-day,remote
"35.76,117.5",2022-07-01T07:00:00,73.8,73.8,68.6,83.77,0,0,,0,0,3.6,3.6,128.7,1008,3.2,15,198,0.7,2,3,Clear,clear-day,remote
"35.76,117.5",2022-07-01T08:00:00,73.3,73.3,67.1,81.05,0.001,100,rain,0,0,17.9,5.7,162,1008.9,1.8,7,391,1.4,4,30,Rain,rain,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-01T09:00:00,80.9,84.5,70.4,70.62,0,0,,0,0,1.3,1.6,160.9,1008,0,15,576,2.1,6,30,Clear,clear-day,remote
"35.76,117.5",2022-07-01T10:00:00,83.9,88.1,69.7,62.41,0,0,,0,0,3.1,3.1,173.4,1008,0,15,739,2.7,7,30,Clear,clear-day,remote
"35.76,117.5",2022-07-01T11:00:00,84.9,90.8,72,65.48,0,0,,0,0,7.4,3,76,1008.2,0.5,5.7,860,3.1,9,30,Clear,clear-day,"54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-01T12:00:00,88.1,92.2,68.6,52.7,0,0,,0,0,6,5.6,175.9,1007,0.3,15,929,3.3,9,30,Clear,clear-day,remote
"35.76,117.5",2022-07-01T13:00:00,90.1,93.8,67.7,48,0,0,,0,0,7.2,5.4,170.8,1007,3.4,15,943,3.4,9,30,Clear,clear-day,remote
"35.76,117.5",2022-07-01T14:00:00,80.4,83.2,68.6,67.32,0,0,,0,0,17.5,3.7,161,1008.4,6.1,9.6,898,3.2,9,30,Clear,clear-day,"54826099999,54916099999,54836099999"
"35.76,117.5",2022-07-01T15:00:00,91.5,94.7,66.6,44.21,0,0,,0,0,6.7,5.4,231.5,1006,27.5,15,799,2.9,8,30,Partially cloudy,partly-cloudy-day,remote
"35.76,117.5",2022-07-01T16:00:00,91.5,94.5,66.3,43.66,0,0,,0,0,6.7,4.3,217.7,1006,48.5,15,637,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
"35.76,117.5",2022-07-01T17:00:00,82.1,84.6,67.1,60.59,0,0,,0,0,15.7,4.5,199,1006.8,61.4,10.5,405,1.5,4,30,Partially cloudy,partly-cloudy-day,"54826099999,54916099999,54836099999"
"35.76,117.5",2022-07-01T18:00:00,87.9,93.3,70.4,56.36,0,0,,0,0,7.8,4.7,123,1005,93,15,199,0.7,2,60,Overcast,cloudy,remote
"35.76,117.5",2022-07-01T19:00:00,84.8,90.5,71.7,64.85,0,0,,0,0,4.7,3.6,129.7,1006,100,15,46,0.2,0,60,Overcast,cloudy,remote
"35.76,117.5",2022-07-01T20:00:00,78.8,78.8,70.8,76.38,0,0,,0,0,12.8,5.7,204,1007.5,85.5,6,1,0,0,60,Partially cloudy,partly-cloudy-night,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-01T21:00:00,82.3,87.4,72.2,71.64,0,0,,0,0,5.8,4.7,150.9,1007,0.2,15,0,,0,60,Clear,clear-night,remote
"35.76,117.5",2022-07-01T22:00:00,80.5,84.5,71.9,75.04,0,0,,0,0,6,5.4,159.5,1008,0,15,0,,0,60,Clear,clear-night,remote
"35.76,117.5",2022-07-01T23:00:00,77.2,77.2,71,81.33,0,0,,0,0,20.6,3.6,20,1009.2,2.7,8.1,0,,0,60,Clear,clear-night,"54836099999,54929099999"
"35.76,117.5",2022-07-02T00:00:00,78.3,78.3,71,78.13,0,0,,0,0,6.9,4.7,139.7,1008,3.4,15,0,,0,30,Clear,clear-night,remote
"35.76,117.5",2022-07-02T01:00:00,77.4,77.4,70.6,79.5,0,0,,0,0,10.1,5.4,132.5,1008,5,15,0,,0,30,Clear,clear-night,remote
"35.76,117.5",2022-07-02T02:00:00,73.6,73.6,70.5,90.02,0,0,,0,0,18.3,6.5,176,1008.3,0.4,4.2,0,,0,30,Clear,clear-night,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-02T03:00:00,76.4,76.4,69.9,80.4,0,0,,0,0,3.6,3.4,139.5,1007,0.1,15,0,,0,30,Clear,clear-night,remote
"35.76,117.5",2022-07-02T04:00:00,76,76,69.7,80.87,0,0,,0,0,3.1,3.1,145.2,1008,0.6,15,0,,0,10,Clear,clear-night,remote
"35.76,117.5",2022-07-02T05:00:00,71.8,71.8,67.5,86.39,0,0,,0,0,17.8,6.4,48,1008.8,0.3,6.4,0,,0,10,Clear,clear-day,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-02T06:00:00,77.1,77.1,70.4,79.96,0,0,,0,0,6.5,4,108.2,1008,0,15,39,0.1,0,3,Clear,clear-day,remote
"35.76,117.5",2022-07-02T07:00:00,79.1,79.1,70.4,74.91,0,0,,0,0,6.5,4.3,133,1008,2.4,15,198,0.7,2,30,Clear,clear-day,remote
"35.76,117.5",2022-07-02T08:00:00,81.3,86.2,72.7,75.17,0,0,,0,0,9.9,4.5,84,1008.3,5,8.1,389,1.4,4,30,Clear,clear-day,"54916099999,54836099999"
"35.76,117.5",2022-07-02T09:00:00,85,91,72.1,65.27,0,0,,0,0,8.1,7.4,123,1008,7.7,15,574,2.1,6,60,Clear,clear-day,remote
"35.76,117.5",2022-07-02T10:00:00,87.5,93.9,71.7,59.5,0,0,,0,0,6.7,6.9,127.5,1008,6.6,9.3,736,2.6,7,60,Clear,clear-day,remote
"35.76,117.5",2022-07-02T11:00:00,82.3,88,73.2,74.22,0,0,,0,0,15.3,3.9,139,1009.2,100,6.5,852,3.1,9,30,Overcast,cloudy,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-02T12:00:00,90.4,95.2,69,49.56,0,0,,0,0,6.3,6.3,157.6,1008,100,15,892,3.2,9,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T13:00:00,91.7,96.7,69,47.65,0,0,,0,0,7.4,6.9,149.5,1007,100,15,908,3.3,9,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T14:00:00,91,99.9,73.3,56.46,0,0,,0,0,12.6,6.7,137,1006.3,100,12.8,836,3,8,30,Overcast,cloudy,"54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-02T15:00:00,91.7,97,69.3,48.24,0,0,,0,0,7.6,8.3,136.4,1006,93.4,15,737,2.7,7,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T16:00:00,90.9,96.5,69.9,50.25,0,0,,0,0,7.8,8.9,137.1,1006,100,15,594,2.1,6,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T17:00:00,88.9,98.4,74.4,62.48,0,0,,0,0,16.2,8,122,1004.8,100,11.5,354,1.3,4,30,Overcast,cloudy,"54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-02T18:00:00,88.2,95.2,72.1,58.87,0,0,,0,0,12.5,7.6,127.5,1005,99.9,15,225,0.8,2,60,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T19:00:00,85,91.9,73.1,67.69,0,0,,0,0,11.6,6.5,132,1005,100,15,75,0.3,1,60,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T20:00:00,79.8,79.8,73.1,79.98,0.007,100,rain,0,0,17.3,9,128,1006.7,97.5,7.9,5,0,0,30,"Rain, Overcast",rain,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-02T21:00:00,81.6,86.4,72.2,73.33,0,0,,0,0,17.4,8.3,139.6,1007,100,15,0,,0,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T22:00:00,80,80,72.2,77.31,0,0,,0,0,18.6,8.1,138.6,1007,100,15,0,,0,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-02T23:00:00,79,79,74.7,86.81,0,0,,0,0,18.1,8.1,119,1008.1,100,6.5,0,,0,30,Overcast,cloudy,"54836099999,54929099999"
"35.76,117.5",2022-07-03T00:00:00,77.8,77.8,72.4,83.5,0,0,,0,0,20.8,8.1,142,1008,91.1,15,0,,0,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-03T01:00:00,77.3,77.3,72.4,85.01,0,0,,0,0,23.3,8.5,134.9,1007,100,15,0,,0,10,Overcast,cloudy,remote
"35.76,117.5",2022-07-03T02:00:00,75.3,75.3,72.3,90.54,0.001,100,rain,0,0,18.5,7.6,130,1006.9,100,4.9,0,,0,10,"Rain, Overcast",rain,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-03T03:00:00,76.2,76.2,72.6,88.64,0,0,,0,0,18.3,7.6,130.8,1006,98.7,15,0,,0,10,Overcast,cloudy,remote
"35.76,117.5",2022-07-03T04:00:00,75.6,75.6,72.6,90.25,0,0,,0,0,17.4,7.2,138.6,1006,100,15,0,,0,10,Overcast,cloudy,remote
"35.76,117.5",2022-07-03T05:00:00,74.3,74.3,72.3,93.39,0,0,,0,0,17.4,8.1,129,1006.3,72.3,3,0,,0,10,Partially cloudy,partly-cloudy-day,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-03T06:00:00,75.6,75.6,72.8,90.8,0,0,,0,0,13.9,5.8,116.9,1006,97.7,15,36,0.1,0,10,Overcast,cloudy,remote
"35.76,117.5",2022-07-03T07:00:00,77.6,77.6,72.8,85.03,0,0,,0,0,12.1,6.9,128,1006,86.8,15,139,0.5,1,10,Partially cloudy,partly-cloudy-day,remote
"35.76,117.5",2022-07-03T08:00:00,75.7,75.7,73.1,91.68,0.001,100,rain,0,0,17.4,5.1,126,1006.4,94.4,3.1,357,1.3,4,30,"Rain, Overcast",rain,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-03T09:00:00,82.7,88.6,73.3,73.43,0,0,,0,0,10.1,8.5,125.1,1006,56.3,15,534,1.9,5,30,Partially cloudy,partly-cloudy-day,remote
"35.76,117.5",2022-07-03T10:00:00,84.8,91.8,73.3,68.5,0,0,rain,0,0,8.5,8.1,139.1,1006,100,8.9,723,2.6,7,30,Overcast,cloudy,remote
"35.76,117.5",2022-07-03T11:00:00,79.6,79.6,72.7,79.46,0,0,rain,0,0,17.3,7,153,1006.3,100,3.7,665,2.4,7,30,Overcast,cloudy,"54826099999,54916099999,54836099999,54929099999"
"35.76,117.5",2022-07-03T12:00:00,86.1,93.5,73.3,65.79,0,0,rain,0,0,9.2,8.7,150.7,1006,100,4.5,817,2.9,8,30,Overcast,cloudy,remote
