name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.802924,117.426308",2022-07-01T00:00:00,71.7,71.7,67.9,87.89,0,0,,0,0,17.9,4.7,147.2,1006,0,15,0,,0,5,Clear,clear-night,remote
"35.802924,117.426308",2022-07-01T01:00:00,71.5,71.5,67.4,86.8,0,0,,0,0,4.9,1.8,162.2,1007,3.9,15,0,,0,3,Clear,clear-night,remote
"35.802924,117.426308",2022-07-01T02:00:00,67.4,67.4,66.4,96.68,0.001,100,rain,0,0,21,7.9,180,1007.5,1.6,3.9,0,,0,3,Rain,rain,"54826099999,54916099999,54836099999"
"35.802924,117.426308",2022-07-01T03:00:00,70.8,70.8,66.8,87.31,0,0,,0,0,2.2,2.2,80.8,1007,0,15,0,,0,5,Clear,clear-night,remote
"35.802924,117.426308",2022-07-01T04:00:00,70.6,70.6,66.8,87.84,0,0,,0,0,2.7,2.5,111.9,1007,1.9,15,0,,0,5,Clear,clear-night,remote
"35.802924,117.426308",2022-07-01T05:00:00,67.7,67.7,65.4,92.22,0,0,,0,0,22.8,8.4,176,1007.4,7.8,5.1,0,,0,5,Clear,clear-day,"54826099999,54916099999,54836099999,54929099999"
"35.802924,117.426308",2022-07-01T06:00:00,71.7,71.7,67.7,87.35,0,0,,0,0,4.7,3.1,135.5,1008,2.3,15,40,0.1,0,3,Clear,clear-day,remote
"35.802924,117.426308",2022-07-01T07:00:00,73.8,73.8,68.6,83.77,0,0,,0,0,3.6,3.6,128.7,1008,3.2,15,198,0.7,2,3,Clear,clear-day,remote
"35.802924,117.426308",2022-07-01T08:00:00,72.8,72.8,66.2,79.62,0.001,100,rain,0,0,18.8,5.9,170,1008.9,1.8,7.9,391,1.4,4,30,Rain,rain,"54826099999,54916099999,54836099999,54929099999"
"35.802924,117.426308",2022-07-01T09:00:00,80.9,84.5,70.4,70.62,0,0,,0,0,1.3,1.6,160.9,1008,0,15,576,2.1,6,30,Clear,clear-day,remote
"35.802924,117.426308",2022-07-01T10:00:00,83.9,88.1,69.7,62.41,0,0,,0,0,3.1,3.1,173.4,1008,0,15,739,2.7,7,30,Clear,clear-day,remote
"35.802924,117.426308",2022-07-01T11:00:00,85.1,91,71.8,64.56,0,0,,0,0,7.3,2.8,75,1008.1,0.5,6.1,860,3.1,9,30,Clear,clear-day,"54916099999,54836099999,54929099999"
"35.802924,117.426308",2022-07-01T12:00:00,88.1,92.2,68.6,52.7,0,0,,0,0,6,5.6,175.9,1007,0.3,15,929,3.3,9,30,Clear,clear-day,remote
"35.802924,117.426308",2022-07-01T13:00:00,90.1,93.8,67.7,48,0,0,,0,0,7.2,5.4,170.8,1007,3.4,15,943,3.4,9,30,Clear,clear-day,remote
"35.802924,117.426308",2022-07-01T14:00:00,79.5,79.5,68.2,68.45,0,0,,0,0,18.2,3.6,161,1008.5,6.1,9.2,898,3.2,9,30,Clear,clear-day,"54826099999,54916099999,54836099999"
"35.802924,117.426308",2022-07-01T15:00:00,91.5,94.7,66.6,44.21,0,0,,0,0,6.7,5.4,231.5,1006,27.5,15,799,2.9,8,30,Partially cloudy,partly-cloudy-day,remote
"35.802924,117.426308",2022-07-01T16:00:00,91.5,94.5,66.3,43.66,0,0,,0,0,6.7,4.3,217.7,1006,48.5,15,637,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
