name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.802924,117.426308",2022-11-28T00:00:00,55.8,55.8,52.8,89.44,0,0,,0,0,6.7,4.9,118.3,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.802924,117.426308",2022-11-28T01:00:00,55.1,55.1,52.2,90,0,0,,0,0,2.9,2.7,157.3,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.802924,117.426308",2022-11-28T02:00:00,55.5,55.5,52.4,89.42,0,0,,0,0,3.8,3.6,159.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.802924,117.426308",2022-11-28T03:00:00,54.9,54.9,52.4,91.2,0,0,,0,0,4,3.8,244.5,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.802924,117.426308",2022-11-28T04:00:00,54.8,54.8,52.1,90.59,0,0,,0,0,4,3.1,271.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.802924,117.426308",2022-11-28T05:00:00,53.1,53.1,50.3,89.92,0,0,,0,0,8.3,5.6,282.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.802924,117.426308",2022-11-28T06:00:00,51,51,47.2,86.84,0.004,100,rain,0,0,5.8,4.3,320.3,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.802924,117.426308",2022-11-28T07:00:00,50.8,50.8,46.8,86.25,0,0,,0,0,2.7,2.2,287.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.802924,117.426308",2022-11-28T08:00:00,49.9,46.7,47.4,91.01,0.071,100,rain,0,0,12.8,7.8,311.7,1012,100,3.6,2,0,0,10,"Rain, Overcast",rain,remote
"35.802924,117.426308",2022-11-28T09:00:00,50.3,50.3,48.1,92.26,0.067,57.1,rain,0,0,10.3,5.8,355.4,1012,100,13.9,3,0,0,10,"Rain, Overcast",rain,
"35.802924,117.426308",2022-11-28T10:00:00,51.3,51.3,47.7,87.45,0,57.1,rain,0,0,7.6,4.7,14.1,1013,100,15,36,0.1,0,10,"Rain, Overcast",rain,
"35.802924,117.426308",2022-11-28T11:00:00,51,51,47,86.26,0.004,57.1,rain,0,0,10.1,7.4,336,1014,100,15,17,0.1,0,10,"Rain, Overcast",rain,
