name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.11,116.79",2022-07-01T00:00:00,73.1,73.1,68.4,85.29,0,0,,0,0,15,5.6,136.7,1006,1.3,15,0,,0,3,Clear,clear-night,remote
"36.11,116.79",2022-07-01T01:00:00,72.8,72.8,68.8,87.41,0,0,,0,0,5.8,3.1,161,1007,23.8,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.11,116.79",2022-07-01T02:00:00,64.4,64.4,63.3,96.39,0,0,,0,0,26,12.6,193,1008,27.2,2.7,0,,0,3,Partially cloudy,partly-cloudy-night,"54826099999,54823099999,54916099999"
"36.11,116.79",2022-07-01T03:00:00,71.7,71.7,68.6,90.1,0,0,,0,0,2.9,2.7,133.4,1006,29.4,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.11,116.79",2022-07-01T04:00:00,71.3,71.3,68.4,90.64,0,0,,0,0,2.2,2.2,117.7,1006,38,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.11,116.79",2022-07-01T05:00:00,62.4,62.4,58.2,86.14,0,0,,0,0,27.4,18,225,1007.9,41.4,9.1,0,,0,3,Partially cloudy,partly-cloudy-day,"54826099999,54916099999"
"36.11,116.79",2022-07-01T06:00:00,72.6,72.6,68.4,86.86,0,0,,0,0,5.4,3.6,102.3,1007,43.8,15,36,0.1,0,3,Partially cloudy,partly-cloudy-day,remote
"36.11,116.79",2022-07-01T07:00:00,74.7,74.7,68.4,80.78,0,0,,0,0,4,4,103.5,1008,22.4,15,182,0.7,2,3,Partially cloudy,partly-cloudy-day,remote
"36.11,116.79",2022-07-01T08:00:00,67.5,67.5,58.6,73.32,0,0,,0,0,27.4,8,243,1009.6,5,13.9,383,1.4,4,10,Clear,clear-day,"54826099999,54916099999"
"36.11,116.79",2022-07-01T09:00:00,82.7,86.2,69,63.42,0,0,,0,0,2.7,2.5,60.5,1008,4.3,15,572,2.1,6,30,Clear,clear-day,remote
"36.11,116.79",2022-07-01T10:00:00,86.3,89.8,68.1,54.77,0,0,,0,0,2.2,2.2,31.2,1008,3.5,15,737,2.7,7,30,Clear,clear-day,remote
"36.11,116.79",2022-07-01T11:00:00,87.2,92.9,71,58.73,0,0,,0,0,6.7,2.2,80,1007.2,4.3,8.7,860,3.1,9,30,Clear,clear-day,54916099999
