name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.11,116.79",2022-11-28T00:00:00,48.6,45.3,43.2,81.52,0,0,,0,0,8.7,7.6,322.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.11,116.79",2022-11-28T01:00:00,47.7,44.8,42.2,80.89,0,0,,0,0,7.2,6.3,325.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.11,116.79",2022-11-28T02:00:00,47.4,43.8,42.7,83.71,0.004,100,rain,0,0,8.9,7.6,318.2,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.11,116.79",2022-11-28T03:00:00,46.3,42.2,42.3,85.99,0,0,,0,0,11.4,8.1,325,1012,100,15,0,,0,10,Overcast,cloudy,remote
"36.11,116.79",2022-11-28T04:00:00,45.9,42.1,42.3,87.17,0.008,100,rain,0,0,10.5,7.4,337.7,1012,100,13.7,0,,0,10,"Rain, Overcast",rain,remote
"36.11,116.79",2022-11-28T05:00:00,45.9,43.8,42.9,89,0.028,100,rain,0,0,6.3,4.5,0.7,1011,100,11.1,0,,0,10,"Rain, Overcast",rain,remote
"36.11,116.79",2022-11-28T06:00:00,46.3,42.6,43.4,89.63,0.016,100,rain,0,0,9.8,7.4,331.6,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.11,116.79",2022-11-28T07:00:00,45.8,41.2,42.7,88.99,0,0,,0,0,18.1,8.9,337.7,1012,100,15,0,,0,10,Overcast,cloudy,remote
"36.11,116.79",2022-11-28T08:00:00,45.9,41.9,42.7,88.38,0.004,100,rain,0,0,14.3,7.8,342.6,1013,100,14.9,1,0,0,10,"Rain, Overcast",rain,remote
"36.11,116.79",2022-11-28T09:00:00,45.9,42.2,42.7,88.38,0.012,28.6,rain,0,0,12.3,7.2,340.1,1013,100,15,5,0,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T10:00:00,46.3,42.2,42.5,86.59,0,28.6,,0,0,15.4,8.3,343,1014,100,15,26,0.1,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T11:00:00,48.8,44.6,43.1,80.42,0,28.6,,0,0,16.3,9.8,341.4,1015,97.6,15,204,0.7,2,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T12:00:00,49.2,44.4,43.2,79.89,0,28.6,,0,0,19,12.1,347.6,1014,45.6,15,151,0.5,2,10,Partially cloudy,partly-cloudy-day,
"36.11,116.79",2022-11-28T13:00:00,52.1,52.1,43.8,73.3,0,28.6,,0,0,21.3,15.2,353.7,1014,60.1,15,470,1.7,5,10,Partially cloudy,partly-cloudy-day,
"36.11,116.79",2022-11-28T14:00:00,51.7,51.7,43.4,73.27,0,28.6,,0,0,22.6,15.2,350,1015,100,15,387,1.4,4,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T15:00:00,49.4,43.5,42.7,77.73,0,0,,0,0,25.7,16.6,349.1,1016,100,15,189,0.7,2,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T16:00:00,47.7,41.7,42.2,80.89,0,0,,0,0,27.5,15.2,3.6,1016,100,15,38,0.1,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T17:00:00,47.7,42.5,42.2,80.89,0,0,,0,0,27.1,12.3,1.7,1018,100,15,11,0,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T18:00:00,47,41.7,41.6,81.4,0,0,,0,0,30.2,11.9,6.9,1018,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T19:00:00,47.4,42.2,40.7,77.56,0,0,,0,0,30.6,11.9,8.5,1018,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T20:00:00,47.9,42,39.5,72.37,0,0,,0,0,30.6,15,0.4,1019,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T21:00:00,47.2,42.3,39.3,73.84,0,0,,0,0,27.1,10.7,0.8,1020,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T22:00:00,47.2,42.4,38.7,72.3,0,0,,0,0,28,10.5,357.2,1021,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-28T23:00:00,46.3,41.5,38.6,74.27,0,0,,0,0,28,9.8,350.6,1021,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T00:00:00,45.9,39.3,34.8,64.86,0,0,,0,0,27.1,15.4,347.3,1023,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T01:00:00,43.4,35.6,24.7,47.36,0,0,,0,0,29.5,17.2,358.3,1024,86,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.11,116.79",2022-11-29T02:00:00,39.6,30.7,9.6,28.52,0,0,,0,0,31.3,17.2,10.4,1024,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T03:00:00,38.7,29.2,9.4,29.3,0,0,,0,0,31.1,18.6,9.7,1025,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T04:00:00,35.3,24.9,5.6,28.26,0,0,,0,0,34,18.1,13,1027,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T05:00:00,33.5,22.1,3.5,27.5,0,0,,0,0,34.7,19.5,16.6,1027,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T06:00:00,32.4,21.2,2.7,27.78,0,0,,0,0,33.3,17.9,18.9,1028,93.6,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T07:00:00,31.2,20.2,2.7,29.22,0,0,,0,0,33.1,15.9,22.4,1029,100,15,0,,0,10,Overcast,cloudy,
"36.11,116.79",2022-11-29T08:00:00,31.5,20.2,2.4,28.33,0,0,,0,0,32.7,17.4,21.6,1031,78.8,15,25,0.1,0,10,Partially cloudy,partly-cloudy-day,
"36.11,116.79",2022-11-29T09:00:00,32.3,20.6,-0.1,24.46,0,0,,0,0,31.1,19.2,19.4,1032,100,15,186,0.7,2,10,Overcast,cloudy,
