name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.38,116.64",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,5.1,2.2,208.6,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"36.38,116.64",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,10.1,0,196.9,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"36.38,116.64",2022-07-01T02:00:00,67,67,65.7,95.76,0,0,,0,0,24.9,8.8,173,1007.8,0,1.7,0,,0,10,Clear,clear-night,"57993199999,54823099999,54826099999"
"36.38,116.64",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.4,2.2,163.6,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.38,116.64",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.5,0,169.2,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.38,116.64",2022-07-01T05:00:00,62.3,62.3,58.7,88,0,0,,0,0,31.3,17.2,260,1008.4,0,8.1,0,,0,10,Clear,clear-day,"57993199999,54826099999"
"36.38,116.64",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,2,4.5,10,1007,0,1.2,38,0.1,0,3,Clear,clear-day,57993199999
"36.38,116.64",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.9,2.2,159.7,1008,0,1.2,195,0.7,2,10,Clear,clear-day,57993199999
"36.38,116.64",2022-07-01T08:00:00,66.3,66.3,59.9,79.87,0,0,,0,0,31.3,7.2,280,1010.2,50,12,384,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54826099999"
"36.38,116.64",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,1.8,2.2,359.1,1008,50,1.9,569,2,6,10,Partially cloudy,partly-cloudy-day,57993199999
