name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.3,116.56",2022-07-01T00:00:00,75.1,75.1,68.4,79.81,0,0,,0,0,19.2,7.6,169.4,1006,0.2,15,0,,0,10,Clear,clear-night,remote
"36.3,116.56",2022-07-01T01:00:00,73.8,73.8,67.9,81.72,0,0,,0,0,17.2,8.5,166.6,1006,1.6,15,0,,0,3,Clear,clear-night,remote
"36.3,116.56",2022-07-01T02:00:00,65.4,65.4,64,95.41,0,0,,0,0,25.6,11.3,179,1007.9,14.9,1.8,0,,0,3,Clear,clear-night,"54826099999,54823099999"
"36.3,116.56",2022-07-01T03:00:00,72.2,72.2,69.2,90.12,0,0,,0,0,8.9,4.5,157.8,1006,14.2,15,0,,0,3,Clear,clear-night,remote
"36.3,116.56",2022-07-01T04:00:00,71.7,71.7,69.3,92.35,0,0,,0,0,3.6,3.1,158.4,1006,10,15,0,,0,10,Clear,clear-night,remote
"36.3,116.56",2022-07-01T05:00:00,59.6,59.6,54.8,83.94,0,0,,0,0,31.3,22.4,260,1008.4,6.4,10.6,0,,0,10,Clear,clear-day,54826099999
"36.3,116.56",2022-07-01T06:00:00,72.9,72.9,69.5,89.04,0,0,,0,0,2.9,2.7,95.5,1007,5.6,15,36,0.1,0,10,Clear,clear-day,remote
"36.3,116.56",2022-07-01T07:00:00,75.6,75.6,69.3,80.85,0,0,,0,0,2.9,4,116.8,1008,18.5,15,192,0.7,2,10,Clear,clear-day,remote
"36.3,116.56",2022-07-01T08:00:00,63.8,63.8,55.1,73.47,0,0,,0,0,31.3,8.9,280,1010.2,4.6,15.5,382,1.4,4,10,Clear,clear-day,54826099999
"36.3,116.56",2022-07-01T09:00:00,83.4,86.5,68.1,60.08,0,0,,0,0,3.6,2.9,39.4,1008,0.2,15,570,2.1,6,10,Clear,clear-day,remote
"36.3,116.56",2022-07-01T10:00:00,86.8,89.6,66.8,51.55,0,0,,0,0,3.4,3.1,35.3,1008,0,15,734,2.6,7,10,Clear,clear-day,remote
