name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.3,116.56",2022-11-28T00:00:00,43.8,37.9,40.4,87.66,0,0,rain,0,0,13.9,11.2,345.2,1012,100,15,0,,0,10,Overcast,cloudy,remote
"36.3,116.56",2022-11-28T01:00:00,43.8,38.9,40.7,88.9,0.004,100,rain,0,0,10.7,8.7,351.3,1012,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T02:00:00,43.6,37.7,40.9,90.14,0.004,100,rain,0,0,13.4,11.2,334,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T03:00:00,42.9,37,41.1,93.3,0.028,100,rain,0,0,14.1,10.5,338.1,1013,100,6.4,0,,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T04:00:00,42.9,38,41.3,93.95,0.043,100,rain,0,0,12.1,8.3,2.4,1012,100,5.3,0,,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T05:00:00,43.6,39.3,41.6,92.68,0.039,100,rain,0,0,10.1,7.4,351.4,1012,100,13.8,0,,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T06:00:00,43.4,37.1,41.4,92.67,0.008,100,rain,0,0,17.9,12.1,339.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T07:00:00,43.1,37.2,41.1,92.66,0.004,100,rain,0,0,18.1,10.5,356.6,1013,100,13.7,0,,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T08:00:00,43.2,37.5,41.3,92.67,0.004,100,rain,0,0,17.4,10.5,354.1,1014,100,13.4,1,0,0,10,"Rain, Overcast",rain,remote
"36.3,116.56",2022-11-28T09:00:00,43.8,38.3,41.4,91.41,0.004,4.8,rain,0,0,17,10.1,348,1015,100,15,8,0,0,10,Overcast,cloudy,
