name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.617889,117.633371",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,10.3,2.2,188.8,1007,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.617889,117.633371",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,9.2,0,206.3,1007,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.617889,117.633371",2022-07-01T02:00:00,69.3,69.3,68.6,97.61,0.001,100,rain,0,0,21.7,4.2,166,1007.7,0,1.5,0,,0,3,Rain,rain,"57993199999,54823099999,54826099999,54836099999"
"36.617889,117.633371",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,rain,0,0,3.8,2.2,215,1007,0,1.2,0,,0,3,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.3,0,187.5,1007,0,1.2,0,,0,5,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-01T05:00:00,67.2,67.2,65.9,95.64,0,0,,0,0,22.9,7,260,1008.1,0,3.7,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,4.5,10,1008,0,1.2,44,0.2,0,5,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,2.2,180.8,1008,0,1.2,204,0.7,2,3,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-01T08:00:00,70.5,70.5,67.8,91.27,0.002,100,rain,0,0,19.8,4.5,210,1009.9,50,5.2,396,1.4,4,10,"Rain, Partially cloudy",rain,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.1,2.2,207.8,1009,50,1.9,579,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,4,2.2,211.6,1008,30,2.5,738,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T11:00:00,82.5,88.8,73.9,75.1,0,0,,0,0,6.7,2.2,30,1008.9,50,3.3,858,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54836099999"
"36.617889,117.633371",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,7.2,4.5,211.3,1008,30,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,7.8,2.2,209.8,1007,30,6.2,942,3.4,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T14:00:00,82.4,86.6,70.6,67.62,0,0,,0,0,20.7,5,227,1009.5,30,5.9,895,3.2,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,8.7,4.5,215.6,1007,50,6.2,704,2.5,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,8.5,2.2,222.3,1006,50,6.2,585,2.1,6,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T17:00:00,86,89.7,68.6,56.23,0,0,,0,0,15.5,4.5,262,1007.1,30,10,309,1.1,3,30,Partially cloudy,partly-cloudy-day,"57993199999,54823099999,54826099999,54836099999"
"36.617889,117.633371",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,6.5,2.2,242.2,1006,30,6.2,118,0.4,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,6,2.2,60,1007,30,6.2,81,0.3,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-01T20:00:00,79.9,79.9,70.9,74.05,0,0,,0,0,13.3,4.6,166,1008.3,0.6,8.1,5,0,0,30,Clear,clear-night,"57993199999,54823099999,54826099999,54836099999"
"36.617889,117.633371",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,3.1,4.5,110,1008,0,6.2,0,,0,30,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,4.7,4.5,100,1008,1.1,6.2,0,,0,30,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-01T23:00:00,79.2,79.2,72.4,79.98,0,0,,0,0,12.2,3.5,101,1008.6,45.1,8.6,0,,0,30,Partially cloudy,partly-cloudy-night,"57993199999,54823099999,54836099999"
"36.617889,117.633371",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,3.8,2.2,90,1009,96,6.2,0,,0,30,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,4.9,2.2,180.3,1008,0,5,0,,0,30,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-02T02:00:00,72.3,72.3,71.4,97.15,0,0,,0,0,18.2,4.7,207,1009.5,0,2.4,0,,0,30,Clear,clear-night,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.3,2.2,178.4,1008,0,2.5,0,,0,30,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,3.1,2.2,110,1008,0,2.5,0,,0,10,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-02T05:00:00,71.6,71.6,69.4,92.73,0,0,,0,0,18.3,5.8,186,1010,0,4.3,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,3.8,4.5,80,1009,0,2.5,44,0.2,0,10,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,3.4,2.2,178.4,1009,0,2.5,204,0.7,2,30,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-02T08:00:00,83.5,90.9,74.7,74.96,0,0,,0,0,9.9,3.8,121,1008.7,0,5,395,1.4,4,30,Clear,clear-day,"57993199999,54823099999,54836099999"
"36.617889,117.633371",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,3.1,2.2,181.1,1009,0,6.2,580,2.1,6,30,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,4.7,4.5,160,1008,30,6.2,742,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-02T11:00:00,85.8,92.1,72.1,63.79,0,0,,0,0,15.6,2.6,142,1009.4,50,6.6,858,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54823099999,54826099999,54836099999"
"36.617889,117.633371",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4.9,2.2,198,1008,50,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,6.5,4.5,197.8,1007,50,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-02T14:00:00,93.6,103.2,73.3,51.99,0,0,,0,0,11.2,3.7,150,1006.5,50,9.4,825,3,8,10,Partially cloudy,partly-cloudy-day,"57993199999,54823099999,54836099999"
"36.617889,117.633371",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,7.6,6.7,90,1006,90,6.2,688,2.5,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,8.3,4.5,70,1006,90,6.2,562,2,6,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-02T17:00:00,90.4,102,75.7,62.22,0.002,100,rain,0,0,13.1,4.3,73,1005.3,90,7.9,332,1.2,3,30,"Rain, Partially cloudy",rain,"57993199999,54823099999,54836099999"
"36.617889,117.633371",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,7.4,4.5,270,1006,90,6.2,198,0.7,2,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,8.3,0,180,1006,90,6.2,91,0.3,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.617889,117.633371",2022-07-02T20:00:00,80.3,85.2,74.5,82.52,0.015,100,rain,0,0,18,5.7,157,1008.1,58.8,5.1,6,0,0,30,"Rain, Partially cloudy",rain,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-02T21:00:00,87.9,102.7,78.9,74.8,0,0,,0,0,14.1,4.5,160,1007,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-02T22:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,15,2.2,70,1008,100,6.2,0,,0,30,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-02T23:00:00,83.3,92,76.4,79.76,0,0,,0,0,15.7,5.1,138,1007.3,88.6,7.1,0,,0,30,Partially cloudy,partly-cloudy-night,"57993199999,54823099999,54836099999"
"36.617889,117.633371",2022-07-03T00:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,14.8,4.5,110,1008,80.3,6.2,0,,0,30,Partially cloudy,partly-cloudy-night,57993199999
"36.617889,117.633371",2022-07-03T01:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,17,2.2,180.1,1008,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-03T02:00:00,76.3,76.3,73.6,91.51,0.002,100,rain,0,0,20.4,6.9,139,1008,100,4,0,,0,10,"Rain, Overcast",rain,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-03T03:00:00,80.7,88.4,78.9,94.28,0,0,,0,0,12.5,4.5,140,1007,0,3.7,0,,0,10,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-03T04:00:00,80.7,89.6,80.7,100,0,0,,0,0,10.3,2.2,177.8,1007,0,3.7,0,,0,10,Clear,clear-night,57993199999
"36.617889,117.633371",2022-07-03T05:00:00,74.9,74.9,73.6,95.66,0,0,,0,0,20.5,8,222,1007.5,0,2.6,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-03T06:00:00,78.9,78.9,78.9,100,0,0,,0,0,7.2,4.5,250,1007,0,3.7,16,0.1,0,10,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-03T07:00:00,78.9,78.9,78.9,100,0,0,,0,0,4.5,4.5,300,1007,0,3.7,44,0.2,0,10,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-03T08:00:00,75.4,75.4,72.5,90.47,0.001,100,rain,0,0,20.4,3.1,152,1006.7,100,4.1,79,0.3,1,10,"Rain, Overcast",rain,"57993199999,54823099999,54826099999,54836099999"
"36.617889,117.633371",2022-07-03T09:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,3.4,0,170.9,1007,100,6.2,193,0.7,2,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-03T10:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,4.9,2.2,136.5,1007,100,6.2,550,2,6,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-03T11:00:00,76.5,76.5,74.2,92.74,0,0,,0,0,18.5,5.7,106,1007.5,100,4.4,655,2.4,7,10,Overcast,cloudy,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-03T12:00:00,82.5,92.7,78.9,88.92,0,0,rain,0,0,6.9,4.5,50,1006,100,6.2,627,2.3,6,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-03T13:00:00,84.3,96.4,78.9,83.9,0,0,rain,0,0,8.5,4.5,60,1005,100,6.2,626,2.3,6,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-03T14:00:00,81.4,87.5,74.8,80.32,0.091,100,rain,0,0,17.8,6.1,101,1006,90,4.7,39,0.1,0,10,"Rain, Partially cloudy",rain,"57993199999,54823099999,54826099999,54836099999"
"36.617889,117.633371",2022-07-03T15:00:00,84.3,98.6,80.7,89,0,0,,0,0,8.5,4.5,60,1006,100,3.1,29,0.1,0,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-03T16:00:00,84.3,101.1,82.5,94.36,0,0,rain,0,0,5.8,2.2,163.8,1006,100,3.1,142,0.5,1,10,Overcast,cloudy,57993199999
"36.617889,117.633371",2022-07-03T17:00:00,79.2,79.2,75.8,89.39,0.063,100,rain,0,0,20.5,6.8,106,1005,90,2.8,70,0.3,1,10,"Rain, Partially cloudy",rain,"57993199999,54826099999,54836099999"
"36.617889,117.633371",2022-07-03T18:00:00,84.3,98.6,80.7,89,0,0,,0,0,5.6,4.5,70,1005,0,3.1,13,0,0,10,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-03T19:00:00,84.3,101.1,82.5,94.36,0,0,,0,0,4.5,2.2,127.2,1005,0,3.1,65,0.2,1,10,Clear,clear-day,57993199999
"36.617889,117.633371",2022-07-03T20:00:00,78.8,78.8,75.4,89.39,0,0,,0,0,16.1,5.3,97,1004.6,0,6.4,3,0,0,10,Clear,clear-night,"57993199999,54823099999,54826099999,54836099999"
