name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.19,117.27",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.3,2.2,130.7,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.19,117.27",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,0.4,0,251.7,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.19,117.27",2022-07-01T02:00:00,71.6,71.6,71,98.27,0.002,100,rain,0,0,19.6,0.6,192,1006.7,0,1.7,0,,0,10,Rain,rain,"57993199999,54725099999,54715099999,54823099999"
"37.19,117.27",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.4,2.2,249.7,1006,0,1.2,0,,0,3,Clear,clear-night,57993199999
"37.19,117.27",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.3,0,261.9,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.19,117.27",2022-07-01T05:00:00,70.7,70.7,70.5,99.52,0.001,100,rain,0,0,18.8,1.4,330,1007.1,0,1.4,0,,0,10,Rain,rain,"57993199999,54725099999,54715099999"
"37.19,117.27",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,4.5,10,1007,0,1.2,44,0.2,0,3,Clear,clear-day,57993199999
"37.19,117.27",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,2.2,248.5,1007,0,1.2,197,0.7,2,10,Clear,clear-day,57993199999
"37.19,117.27",2022-07-01T08:00:00,75.2,75.2,73.2,93.56,0,0,,0,0,9.2,2.2,246,1008.2,50,2.8,384,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.19,117.27",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.1,2.2,217.4,1008,50,1.9,571,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,2.7,2.2,247.2,1008,30,2.5,732,2.6,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T11:00:00,83.2,89.6,73.5,72.67,0,0,,0,0,10.5,2.2,8,1008.5,50,6.8,853,3.1,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.19,117.27",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,2.9,4.5,241.9,1007,30,6.2,924,3.3,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,4.5,2.2,253.5,1006,30,6.2,938,3.4,9,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T14:00:00,89,96.3,72.3,58.02,0,0,,0,0,8.9,5.2,225,1007.2,30,11.8,895,3.2,9,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.19,117.27",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,6.5,4.5,292,1006,50,6.2,789,2.8,8,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,7.2,2.2,303.9,1005,50,6.2,662,2.4,7,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T17:00:00,90.9,96.8,70.3,51.16,0,0,,0,0,9.5,2.7,275,1005.8,30,12.7,485,1.7,5,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999,54823099999"
"37.19,117.27",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,4.7,2.2,329.8,1005,30,6.2,299,1.1,3,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,4.9,2.2,60,1005,30,6.2,120,0.4,1,10,Partially cloudy,partly-cloudy-day,57993199999
"37.19,117.27",2022-07-01T20:00:00,83.2,90.4,74.7,75.55,0,0,,0,0,9.5,1.8,102,1006.8,5,9.2,9,0,0,10,Clear,clear-night,"57993199999,54725099999,54715099999,54823099999"
"37.19,117.27",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,6.5,4.5,110,1007,4.6,6.2,0,,0,10,Clear,clear-night,57993199999
"37.19,117.27",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,7.2,4.5,100,1007,0,6.2,0,,0,10,Clear,clear-night,57993199999
"37.19,117.27",2022-07-01T23:00:00,79.3,79.3,73.5,82.57,0,0,rain,0,0,11.2,4.5,98,1008.3,0,8,0,,0,3,Clear,clear-night,"57993199999,54823099999"
"37.19,117.27",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,4.7,2.2,90,1008,7.2,6.2,0,,0,10,Clear,clear-night,57993199999
"37.19,117.27",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,4.7,2.2,102.4,1007,0,5,0,,0,10,Clear,clear-night,57993199999
"37.19,117.27",2022-07-02T02:00:00,74.6,74.6,74.2,98.49,0,0,,0,0,12.1,0.4,40,1007.7,0,2.6,0,,0,3,Clear,clear-night,"57993199999,54725099999,54715099999"
"37.19,117.27",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,4,2.2,107.8,1007,0,2.5,0,,0,10,Clear,clear-night,57993199999
"37.19,117.27",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.3,2.2,110,1007,0,2.5,0,,0,10,Clear,clear-night,57993199999
"37.19,117.27",2022-07-02T05:00:00,74.6,74.6,74.3,99.05,0,0,,0,0,11.4,2.2,115,1008.2,0,1.8,0,,0,10,Clear,clear-day,"57993199999,54725099999,54715099999"
"37.19,117.27",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,5.8,4.5,80,1008,0,2.5,46,0.2,0,10,Clear,clear-day,57993199999
"37.19,117.27",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,6,2.2,71.6,1008,0,2.5,207,0.7,2,30,Clear,clear-day,57993199999
