name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.25,117.19",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.3,2.2,130.7,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.25,117.19",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,0.4,0,251.7,1006,90,2.5,0,,0,10,Partially cloudy,partly-cloudy-night,57993199999
"37.25,117.19",2022-07-01T02:00:00,71.5,71.5,70.9,98.15,0.002,100,rain,0,0,19.7,0.7,209,1006.7,0,1.7,0,,0,10,Rain,rain,"57993199999,54725099999,54715099999,54823099999"
"37.25,117.19",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,,0,0,5.4,2.2,249.7,1006,0,1.2,0,,0,3,Clear,clear-night,57993199999
"37.25,117.19",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,4.3,0,261.9,1006,0,1.2,0,,0,10,Clear,clear-night,57993199999
"37.25,117.19",2022-07-01T05:00:00,70.8,70.8,70.6,99.32,0.001,100,rain,0,0,18.6,1.3,330,1007.1,0,1.4,0,,0,10,Rain,rain,"57993199999,54725099999,54715099999"
"37.25,117.19",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,4.5,10,1007,0,1.2,44,0.2,0,3,Clear,clear-day,57993199999
"37.25,117.19",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,2.2,248.5,1007,0,1.2,197,0.7,2,10,Clear,clear-day,57993199999
"37.25,117.19",2022-07-01T08:00:00,75.6,75.6,73.1,92.2,0,0,,0,0,8.8,2.2,242,1008.2,50,2.9,384,1.4,4,10,Partially cloudy,partly-cloudy-day,"57993199999,54725099999,54715099999"
"37.25,117.19",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.1,2.2,217.4,1008,50,1.9,571,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
