name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.452681,116.847315",2022-11-28T00:00:00,44.5,39.4,41.4,88.93,0,0,rain,0,0,11.9,9.6,353.4,1012,100,14.9,0,,0,10,Overcast,cloudy,remote
"36.452681,116.847315",2022-11-28T01:00:00,44.5,41.1,42,90.8,0.008,100,rain,0,0,8.5,6,6.4,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T02:00:00,44.3,39.7,42.3,92.7,0.004,100,rain,0,0,10.1,8.3,333,1013,100,14.7,0,,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T03:00:00,43.4,38.6,42,94.62,0.031,100,rain,0,0,11,8.3,340,1013,100,1.1,0,,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T04:00:00,43.4,40.7,42,94.62,0.063,100,rain,0,0,7.4,4.7,13.7,1013,100,1.2,0,,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T05:00:00,44,40.7,42.3,93.98,0.028,100,rain,0,0,8.7,5.6,4.9,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T06:00:00,43.8,38.2,42.3,94.63,0.008,100,rain,0,0,13.6,10.3,341,1013,100,13.2,0,,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T07:00:00,43.4,38.5,42,94.62,0.035,100,rain,0,0,14.1,8.5,5.8,1013,100,1.7,0,,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T08:00:00,43.8,39.2,42,93.33,0.012,100,rain,0,0,12.1,8.1,359.7,1014,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"36.452681,116.847315",2022-11-28T09:00:00,44.1,39.5,42,92.06,0,14.3,,0,0,13.4,8.3,10.2,1014,100,15,8,0,0,10,Overcast,cloudy,
"36.452681,116.847315",2022-11-28T10:00:00,46.3,41.5,42.2,85.4,0,14.3,,0,0,14.1,9.8,0.4,1015,96.1,15,135,0.5,1,10,Overcast,cloudy,
"36.452681,116.847315",2022-11-28T11:00:00,46.7,41.8,41.6,82.51,0,14.3,,0,0,13.6,10.3,6.7,1016,100,15,125,0.5,1,10,Overcast,cloudy,
"36.452681,116.847315",2022-11-28T12:00:00,47,41.7,41.6,81.4,0,14.3,,0,0,16.1,12.1,5.8,1016,100,15,144,0.5,1,10,Overcast,cloudy,
"36.452681,116.847315",2022-11-28T13:00:00,47.2,42.4,41.4,80.29,0,14.3,,0,0,15.9,10.5,17.3,1015,100,15,131,0.5,1,10,Overcast,cloudy,
"36.452681,116.847315",2022-11-28T14:00:00,47.2,42.1,41.6,80.85,0,14.3,,0,0,16.8,11.4,5,1016,100,15,91,0.3,1,10,Overcast,cloudy,
