name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.507573,117.407573",2022-07-01T00:00:00,71.1,71.1,66.5,85.18,0,0,,0,0,11.4,5.6,136.5,1006,0,15,0,,0,5,Clear,clear-night,remote
"35.507573,117.407573",2022-07-01T01:00:00,71.1,71.1,66.1,84.12,0.008,100,rain,0,0,8.3,4.7,150.7,1006,4.4,10.1,0,,0,10,Rain,rain,remote
"35.507573,117.407573",2022-07-01T02:00:00,73.1,73.1,71,92.96,0,0,,0,0,13.4,2.2,130,1005.8,5.5,8.1,0,,0,10,Clear,clear-night,54916099999
"35.507573,117.407573",2022-07-01T03:00:00,70.2,70.2,66.5,87.83,0,0,,0,0,2.5,2.2,59.8,1007,2.5,15,0,,0,3,Clear,clear-night,remote
"35.507573,117.407573",2022-07-01T04:00:00,69.5,69.5,66.8,91.14,0.004,100,rain,0,0,2.7,2.2,72,1007,7.4,11.1,0,,0,5,Rain,rain,remote
"35.507573,117.407573",2022-07-01T05:00:00,72.1,72.1,70.6,95.1,0,0,,0,0,22.4,2.2,127,1006.7,16.7,2.6,0,,0,5,Clear,clear-day,"54916099999,54929099999"
"35.507573,117.407573",2022-07-01T06:00:00,70.2,70.2,67.6,91.16,0.008,100,rain,0,0,2.9,2.7,96,1008,13.1,15,38,0.1,0,5,Rain,rain,remote
"35.507573,117.407573",2022-07-01T07:00:00,72.8,72.8,68.6,86.87,0,0,,0,0,2.9,3.4,106.6,1008,12.6,15,197,0.7,2,3,Clear,clear-day,remote
"35.507573,117.407573",2022-07-01T08:00:00,78.8,78.8,72.1,80.09,0,0,,0,0,15.4,4.5,114,1008,1.3,5,390,1.4,4,30,Clear,clear-day,"54916099999,54929099999"
"35.507573,117.407573",2022-07-01T09:00:00,80.7,84.3,70.4,71.04,0,0,,0,0,2,2,111.3,1008,0,15,578,2.1,6,30,Clear,clear-day,remote
"35.507573,117.407573",2022-07-01T10:00:00,83.6,87.7,69.9,63.53,0,0,,0,0,4,3.4,145.1,1008,6.6,15,741,2.7,7,30,Clear,clear-day,remote
"35.507573,117.407573",2022-07-01T11:00:00,85.7,92.3,72.5,64.73,0,0,,0,0,7.7,3.2,93,1007.9,3,6.5,860,3.1,9,30,Clear,clear-day,"54916099999,54929099999"
"35.507573,117.407573",2022-07-01T12:00:00,88.4,92.7,68.8,52.42,0,0,,0,0,6,4.9,164.3,1007,7.3,15,931,3.4,9,30,Clear,clear-day,remote
"35.507573,117.407573",2022-07-01T13:00:00,90.4,94.6,68.3,48.35,0,0,,0,0,6.7,5.8,175.6,1007,22.9,15,943,3.4,9,30,Partially cloudy,partly-cloudy-day,remote
"35.507573,117.407573",2022-07-01T14:00:00,90.2,96.1,70.4,52.35,0,0,,0,0,11.2,4.5,140,1006.4,37,16.8,895,3.2,9,30,Partially cloudy,partly-cloudy-day,54916099999
