name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.2,116.8",2022-07-01T00:00:00,74.6,74.6,71,88.57,0,0,,0,0,20.4,8.7,160.1,1006,88.6,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.2,116.8",2022-07-01T01:00:00,74,74,70.8,89.64,0,0,,0,0,17.2,4.9,174.3,1006,28.6,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.2,116.8",2022-07-01T02:00:00,73.1,73.1,71,92.96,0,0,,0,0,13.4,2.2,130,1005.8,2.4,8.1,0,,0,3,Clear,clear-night,54916099999
"35.2,116.8",2022-07-01T03:00:00,72.9,72.9,70.6,92.38,0,0,,0,0,0.9,0.9,62.5,1006,5,15,0,,0,3,Clear,clear-night,remote
"35.2,116.8",2022-07-01T04:00:00,72.6,72.6,70.4,92.94,0,0,,0,0,2.7,2.9,50.1,1006,0.3,15,0,,0,3,Clear,clear-night,remote
"35.2,116.8",2022-07-01T05:00:00,72.2,72.2,70.4,94.08,0,0,,0,0,13.4,2.2,100,1006.1,0,3.7,0,,0,3,Clear,clear-night,54916099999
"35.2,116.8",2022-07-01T06:00:00,73.8,73.8,69.7,86.92,0,0,,0,0,3.8,2.9,79,1007,0,15,35,0.1,0,3,Clear,clear-day,remote
"35.2,116.8",2022-07-01T07:00:00,76.4,76.4,70.1,80.9,0,0,,0,0,3.1,3.1,67.9,1007,0,15,192,0.7,2,3,Clear,clear-day,remote
"35.2,116.8",2022-07-01T08:00:00,80.9,84.9,71.3,72.82,0,0,,0,0,13.4,4.5,110,1007.4,0,8.1,387,1.4,4,10,Clear,clear-day,54916099999
"35.2,116.8",2022-07-01T09:00:00,84.1,88.3,69.7,62.05,0,0,,0,0,2.5,2.7,38.4,1008,0,15,575,2.1,6,30,Clear,clear-day,remote
"35.2,116.8",2022-07-01T10:00:00,87.7,91.9,68.8,53.63,0,0,,0,0,2,2.7,56.3,1008,0,15,739,2.7,7,30,Clear,clear-day,remote
"35.2,116.8",2022-07-01T11:00:00,87.2,92.9,71,58.73,0,0,,0,0,6.7,2.2,80,1007.2,0,8.7,863,3.1,9,30,Clear,clear-day,54916099999
"35.2,116.8",2022-07-01T12:00:00,92.6,96.9,67.9,44.64,0,0,,0,0,3.1,3.4,122,1007,0,15,935,3.4,9,30,Clear,clear-day,remote
"35.2,116.8",2022-07-01T13:00:00,94,98.3,67.6,42.17,0,0,,0,0,4.5,3.8,144.8,1006,0,15,950,3.4,10,30,Clear,clear-day,remote
"35.2,116.8",2022-07-01T14:00:00,90.2,96.1,70.4,52.35,0,0,,0,0,11.2,4.5,140,1006.4,0.6,16.8,908,3.3,9,30,Clear,clear-day,54916099999
"35.2,116.8",2022-07-01T15:00:00,94.9,99.8,68.1,41.78,0,0,,0,0,3.6,0.2,301.5,1005,1.9,15,812,2.9,8,30,Clear,clear-day,remote
"35.2,116.8",2022-07-01T16:00:00,94.6,98.8,67.4,41.21,0,0,,0,0,4.3,1.8,334.1,1005,10.3,15,670,2.4,7,30,Clear,clear-day,remote
