name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.2,116.8",2022-11-28T00:00:00,54.2,54.2,48.6,81.38,0,0,,0,0,6,5.4,308.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,116.8",2022-11-28T01:00:00,52.6,52.6,46.3,79.08,0,0,,0,0,8.1,6.9,323.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,116.8",2022-11-28T02:00:00,51.7,51.7,44.9,77.4,0,0,,0,0,8.7,7.8,323.5,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,116.8",2022-11-28T03:00:00,49.5,45.5,42.9,77.75,0.004,100,rain,0,0,12.5,10.1,318.3,1012,100,14.1,0,,0,10,"Rain, Overcast",rain,remote
"35.2,116.8",2022-11-28T04:00:00,48.5,44.1,42.7,80.39,0.008,100,rain,0,0,12.8,10.1,324.8,1012,100,12.6,0,,0,10,"Rain, Overcast",rain,remote
"35.2,116.8",2022-11-28T05:00:00,48.1,44,42.7,81.48,0.012,100,rain,0,0,12.8,9.2,343.4,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.2,116.8",2022-11-28T06:00:00,48.5,44.9,43.6,83.21,0.008,100,rain,0,0,11.4,8.1,7.1,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.2,116.8",2022-11-28T07:00:00,49,44.7,44.1,83.25,0,0,,0,0,14.8,10.3,320.1,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.2,116.8",2022-11-28T08:00:00,47.9,42.9,43.6,84.91,0.004,100,rain,0,0,19.7,11.9,339.6,1013,100,15,3,0,0,10,"Rain, Overcast",rain,remote
"35.2,116.8",2022-11-28T09:00:00,48.3,43.9,43.6,83.77,0,33.3,,0,0,17.4,10.1,341.1,1013,100,15,13,0,0,10,Overcast,cloudy,
