name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.346865,117.398444",2022-07-01T00:00:00,70.4,70.4,66.1,86.21,0,0,,0,0,13.6,5.4,123,1007,0,15,0,,0,10,Clear,clear-night,remote
"35.346865,117.398444",2022-07-01T01:00:00,70.4,70.4,65.9,85.67,0.008,100,rain,0,0,17.2,5.1,127.6,1007,1.9,13.5,0,,0,10,Rain,rain,remote
"35.346865,117.398444",2022-07-01T02:00:00,73.1,73.1,71,92.96,0,0,,0,0,13.4,2.2,130,1005.8,61.6,8.1,0,,0,3,Partially cloudy,partly-cloudy-night,54916099999
"35.346865,117.398444",2022-07-01T03:00:00,70.1,70.1,67.6,91.72,0,0,,0,0,5.1,3.4,102.2,1006,57,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"35.346865,117.398444",2022-07-01T04:00:00,69.5,69.5,67.6,93.43,0.031,100,rain,0,0,2.2,2.2,50.3,1007,9.8,15,0,,0,5,Rain,rain,remote
"35.346865,117.398444",2022-07-01T05:00:00,72,72,70.6,95.32,0,0,,0,0,24.3,2.2,132,1006.9,27,2.4,0,,0,5,Partially cloudy,partly-cloudy-day,"54916099999,54929099999"
"35.346865,117.398444",2022-07-01T06:00:00,70.4,70.4,68.3,92.88,0.004,100,rain,0,0,2.5,2.7,60.4,1008,17.1,15,38,0.1,0,3,Rain,rain,remote
"35.346865,117.398444",2022-07-01T07:00:00,73.1,73.1,69.5,88.51,0.004,100,rain,0,0,2.2,3.4,86.8,1008,7,15,196,0.7,2,3,Rain,rain,remote
"35.346865,117.398444",2022-07-01T08:00:00,78.3,78.3,72.3,81.73,0,0,,0,0,15.8,4.5,115,1008.1,0.1,4.4,391,1.4,4,30,Clear,clear-day,"54916099999,54929099999"
"35.346865,117.398444",2022-07-01T09:00:00,80.7,84.4,70.8,71.92,0,0,,0,0,2.7,2.9,139.3,1008,0.1,15,579,2.1,6,30,Clear,clear-day,remote
"35.346865,117.398444",2022-07-01T10:00:00,83,87.5,70.6,66.25,0,0,,0,0,4.7,4.7,161.2,1008,22.6,15,741,2.7,7,30,Partially cloudy,partly-cloudy-day,remote
"35.346865,117.398444",2022-07-01T11:00:00,85.4,92.2,72.8,66.09,0,0,,0,0,7.9,3.4,96,1008.1,9.1,6,860,3.1,9,30,Clear,clear-day,"54916099999,54929099999"
"35.346865,117.398444",2022-07-01T12:00:00,87.5,92.3,69.7,55.63,0,0,,0,0,6,6,170.3,1007,16.7,15,932,3.4,9,60,Clear,clear-day,remote
"35.346865,117.398444",2022-07-01T13:00:00,89.3,94.2,69.3,51.91,0,0,,0,0,6.5,6.7,174,1007,36.2,15,942,3.4,9,60,Partially cloudy,partly-cloudy-day,remote
"35.346865,117.398444",2022-07-01T14:00:00,90.2,96.1,70.4,52.35,0,0,,0,0,11.2,4.5,140,1006.4,49.7,16.8,890,3.2,9,60,Partially cloudy,partly-cloudy-day,54916099999
"35.346865,117.398444",2022-07-01T15:00:00,90.1,94.1,68.1,48.6,0,0,,0,0,6.5,6.7,166.7,1006,73.8,15,729,2.6,7,30,Partially cloudy,partly-cloudy-day,remote
