name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.1,118.4",2022-07-01T00:00:00,69.2,69.2,66.8,92.27,0,0,,0,0,3.8,3.4,134.6,1007,47.9,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"36.1,118.4",2022-07-01T01:00:00,68.6,68.6,66.3,92.25,0,0,,0,0,2.9,2.9,126.1,1008,1.9,15,0,,0,5,Clear,clear-night,remote
"36.1,118.4",2022-07-01T02:00:00,70.4,70.4,70.4,100,0.004,100,rain,0,0,15.7,0,134.5,1007.8,1.2,1.2,0,,0,10,Rain,rain,54836099999
"36.1,118.4",2022-07-01T03:00:00,68.1,68.1,66.3,93.98,0,0,,0,0,2.5,2.2,161.5,1007,29.9,12.7,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.1,118.4",2022-07-01T04:00:00,67.9,67.9,66.5,95.15,0,0,,0,0,1.1,0.7,142.7,1007,32,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"36.1,118.4",2022-07-01T05:00:00,70.1,70.1,70.1,100,0,0,,0,0,13.4,0,251.9,1007.8,6.9,1.2,0,,0,5,Clear,clear-day,54836099999
"36.1,118.4",2022-07-01T06:00:00,69.5,69.5,67,91.71,0,0,rain,0,0,0.7,0.2,307.6,1008,9.4,7.6,47,0.2,0,5,Clear,clear-day,remote
"36.1,118.4",2022-07-01T07:00:00,71.7,71.7,67.9,87.89,0,0,,0,0,2.5,2.5,164.6,1008,28.2,13,208,0.7,2,3,Partially cloudy,partly-cloudy-day,remote
"36.1,118.4",2022-07-01T08:00:00,71.7,71.7,70.1,94.64,0.004,100,rain,0,0,6.7,4.5,130,1009.5,41.7,0.6,396,1.4,4,10,"Rain, Partially cloudy",rain,54836099999
"36.1,118.4",2022-07-01T09:00:00,77.3,77.3,70.1,78.52,0,0,,0,0,4.3,4.9,158.4,1009,38,15,568,2,6,30,Partially cloudy,partly-cloudy-day,remote
"36.1,118.4",2022-07-01T10:00:00,80,80,70.2,72.29,0,0,,0,0,5.4,5.8,161.3,1009,28.7,15,733,2.6,7,30,Partially cloudy,partly-cloudy-day,remote
"36.1,118.4",2022-07-01T11:00:00,82.7,87.1,70.8,67.43,0,0,,0,0,6.7,2.2,30,1008.9,25.9,3.7,858,3.1,9,30,Partially cloudy,partly-cloudy-day,54836099999
"36.1,118.4",2022-07-01T12:00:00,84.6,89.2,70.1,61.73,0,0,,0,0,8.7,7.8,171.8,1008,37.4,15,919,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"36.1,118.4",2022-07-01T13:00:00,86.3,90.6,69.3,57.19,0,0,,0,0,9.6,8.5,178.2,1008,35.7,15,875,3.2,9,30,Partially cloudy,partly-cloudy-day,remote
"36.1,118.4",2022-07-01T14:00:00,85.7,91.7,71.7,63.01,0,0,,0,0,11.2,4.5,180,1007.7,45.9,11.2,854,3.1,9,60,Partially cloudy,partly-cloudy-day,54836099999
"36.1,118.4",2022-07-01T15:00:00,87.7,92.3,69.3,54.63,0,0,,0,0,10.1,9.4,202.5,1007,78.1,15,759,2.7,8,60,Partially cloudy,partly-cloudy-day,remote
"36.1,118.4",2022-07-01T16:00:00,86.4,90.7,69.2,56.52,0,0,,0,0,10.1,8.7,217.7,1007,98.1,15,424,1.5,4,60,Overcast,cloudy,remote
"36.1,118.4",2022-07-01T17:00:00,88.4,92.6,68.6,52.1,0,0,,0,0,13.4,4.5,230,1006.4,98.9,15.5,126,0.5,1,60,Overcast,cloudy,54836099999
"36.1,118.4",2022-07-01T18:00:00,83.4,88.4,71.3,67.1,0,0,,0,0,4,3.6,228.9,1006,11.6,15,88,0.3,1,60,Clear,clear-day,remote
"36.1,118.4",2022-07-01T19:00:00,81.6,85.2,69.9,67.73,0,0,,0,0,2.5,2.2,228.5,1007,7.9,15,90,0.3,1,60,Clear,clear-day,remote
"36.1,118.4",2022-07-01T20:00:00,83,87.9,71.3,67.89,0,0,,0,0,13.4,2.2,250,1007.8,8,8.7,4,0,0,30,Clear,clear-night,54836099999
"36.1,118.4",2022-07-01T21:00:00,78.2,78.2,68.6,72.56,0,0,,0,0,3.6,3.6,151.9,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.1,118.4",2022-07-01T22:00:00,76.9,76.9,69.7,78.49,0,0,,0,0,3.8,4,127.1,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.1,118.4",2022-07-01T23:00:00,78.2,78.2,71.3,79.56,0,0,,0,0,13.4,0,158.8,1009,0,8.1,0,,0,30,Clear,clear-night,54836099999
"36.1,118.4",2022-07-02T00:00:00,75.3,75.3,70.2,84.37,0,0,,0,0,3.6,3.4,182.6,1009,0.2,15,0,,0,30,Clear,clear-night,remote
"36.1,118.4",2022-07-02T01:00:00,74.7,74.7,70.1,85.38,0,0,,0,0,3.4,3.4,158.9,1009,0.2,15,0,,0,30,Clear,clear-night,remote
"36.1,118.4",2022-07-02T02:00:00,74.6,74.6,71.3,89.66,0,0,,0,0,13.4,2.2,180,1008.6,0,3.7,0,,0,30,Clear,clear-night,54836099999
"36.1,118.4",2022-07-02T03:00:00,73.5,73.5,69.3,86.9,0,0,,0,0,2.2,2,180.2,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.1,118.4",2022-07-02T04:00:00,73.1,73.1,68.8,86.35,0.004,100,rain,0,0,2.5,2.5,177.6,1008,0,15,0,,0,10,Rain,rain,remote
"36.1,118.4",2022-07-02T05:00:00,72.8,72.8,70.4,92.38,0,0,,0,0,11.2,2.2,90,1009.3,1.1,3.1,0,,0,3,Clear,clear-day,54836099999
"36.1,118.4",2022-07-02T06:00:00,74.2,74.2,69.7,85.88,0,0,,0,0,3.6,2.5,169.9,1009,0,15,47,0.2,0,3,Clear,clear-day,remote
"36.1,118.4",2022-07-02T07:00:00,76.7,76.7,70.6,81.42,0,0,,0,0,4.3,3.4,159.3,1009,0,15,209,0.8,2,30,Clear,clear-day,remote
"36.1,118.4",2022-07-02T08:00:00,78.9,78.9,69.5,73.08,0,0,,0,0,11.2,4.5,90,1009.5,0,3.7,400,1.4,4,60,Clear,clear-day,54836099999
