name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.1,118.4",2022-11-28T00:00:00,53.7,53.7,52.4,95.48,0,0,,0,0,2,2.2,114.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.1,118.4",2022-11-28T01:00:00,53.7,53.7,52.4,95.48,0,0,,0,0,3.4,3.6,138.3,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.1,118.4",2022-11-28T02:00:00,52.8,52.8,51.7,96.1,0,0,,0,0,2.9,2.9,178.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.1,118.4",2022-11-28T03:00:00,52.4,52.4,51.3,96.1,0,0,,0,0,2,1.8,163.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.1,118.4",2022-11-28T04:00:00,52.4,52.4,51.3,96.1,0,0,,0,0,2.2,2.5,258.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.1,118.4",2022-11-28T05:00:00,52.8,52.8,51.5,95.47,0,0,,0,0,2.2,2.5,338.7,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.1,118.4",2022-11-28T06:00:00,52.6,52.6,51,94.2,0,0,,0,0,2,2,333.6,1010,96.1,15,0,,0,10,Overcast,cloudy,remote
"36.1,118.4",2022-11-28T07:00:00,52.6,52.6,51.2,94.83,0.004,100,rain,0,0,3.1,3.4,28.6,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.1,118.4",2022-11-28T08:00:00,53,53,51.3,94.21,0.004,100,rain,0,0,1.3,1.3,41.8,1011,100,15,7,0,0,10,"Rain, Overcast",rain,remote
"36.1,118.4",2022-11-28T09:00:00,52.4,52.4,51.3,96.1,0.047,81,rain,0,0,8.3,5.8,357.6,1012,100,7,6,0,0,10,"Rain, Overcast",rain,
"36.1,118.4",2022-11-28T10:00:00,51.7,51.7,50.8,96.73,0.091,81,rain,0,0,5.1,3.6,3.7,1012,100,6.4,6,0,0,10,"Rain, Overcast",rain,
"36.1,118.4",2022-11-28T11:00:00,51,51,49.5,94.79,0.035,81,rain,0,0,6.5,4.5,18.8,1012,100,9.6,13,0,0,10,"Rain, Overcast",rain,
"36.1,118.4",2022-11-28T12:00:00,51.2,51.2,48.6,91.06,0.008,81,rain,0,0,11,6.9,354.2,1012,100,15,21,0.1,0,10,"Rain, Overcast",rain,
"36.1,118.4",2022-11-28T13:00:00,50.4,50.4,47.4,89.2,0.004,81,rain,0,0,16.1,8.3,357.9,1012,99.1,15,15,0.1,0,10,"Rain, Overcast",rain,
"36.1,118.4",2022-11-28T14:00:00,49.4,45,45.6,86.76,0,81,rain,0,0,21.9,10.7,355.2,1013,100,15,58,0.2,1,10,"Rain, Overcast",rain,
"36.1,118.4",2022-11-28T15:00:00,48.3,44.1,45.8,90.95,0,4.8,,0,0,23.9,9.6,353.9,1014,100,9.2,15,0.1,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T16:00:00,47.6,42.6,45.6,92.8,0,4.8,,0,0,25.5,11.2,351.9,1014,100,5.3,13,0,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T17:00:00,47.2,41.2,45,92.16,0,4.8,,0,0,28.2,14.5,1.5,1015,100,15,3,0,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T18:00:00,46.3,40,42.7,87.19,0,4.8,,0,0,30.6,14.8,7.4,1016,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T19:00:00,45.9,39.8,42.2,86.57,0,4.8,,0,0,31.3,13.6,5.6,1017,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T20:00:00,45.8,39,39.6,79.06,0,4.8,,0,0,28.9,15.9,9.7,1018,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T21:00:00,45.2,38.8,39.5,80.13,0,0,,0,0,33.8,14.1,5,1018,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T22:00:00,45.2,39.5,36.6,71.58,0,0,,0,0,32.7,11.6,355.4,1019,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-28T23:00:00,45,38.8,35.1,68.08,0,0,,0,0,30,13.2,354.6,1021,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-29T00:00:00,44.7,38,34.8,68.03,0,0,,0,0,30.4,14.5,353.6,1020,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-29T01:00:00,42.7,33.8,32.4,66.83,0,0,,0,0,32.9,21.3,348.9,1021,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-29T02:00:00,38.9,28.4,18.8,43.85,0,0,,0,0,39.4,23,353.5,1022,100,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-29T03:00:00,37.1,25.9,17.7,44.92,0,14.3,,0,0,39.4,23.5,358.3,1023,94.2,15,0,,0,10,Overcast,cloudy,
"36.1,118.4",2022-11-29T04:00:00,34.4,22.7,13.7,42.08,0,14.3,,0,0,39.1,21.7,355.1,1024,100,15,0,,0,10,Overcast,cloudy,
