name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.463692,117.920564",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,8.7,2.2,191.8,1007,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.463692,117.920564",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,7.2,0,191,1007,90,2.5,0,,0,5,Partially cloudy,partly-cloudy-night,57993199999
"36.463692,117.920564",2022-07-01T02:00:00,69,69,68.9,99.8,0.003,100,rain,0,0,18.6,2.8,230,1008,0,1.2,0,,0,10,Rain,rain,"57993199999,54826099999,54836099999"
"36.463692,117.920564",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,rain,0,0,3.8,2.2,200.6,1007,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.463692,117.920564",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.6,0,161.7,1008,0,1.2,0,,0,10,Clear,clear-night,57993199999
"36.463692,117.920564",2022-07-01T05:00:00,68.4,68.4,67.6,97.38,0,0,,0,0,16.8,3.9,260,1007.9,0,2.7,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.463692,117.920564",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.5,4.5,10,1008,0,1.2,46,0.2,0,10,Clear,clear-day,57993199999
"36.463692,117.920564",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,2.5,2.2,167.8,1008,0,1.2,207,0.7,2,10,Clear,clear-day,57993199999
"36.463692,117.920564",2022-07-01T08:00:00,70.7,70.7,68.2,91.89,0.003,100,rain,0,0,11.4,4.8,158,1009.6,50,3.2,399,1.4,4,10,"Rain, Partially cloudy",rain,"57993199999,54826099999,54836099999"
"36.463692,117.920564",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.4,2.2,197.6,1008,50,1.9,581,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"36.463692,117.920564",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,4.5,2.2,213.7,1008,30,2.5,739,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.463692,117.920564",2022-07-01T11:00:00,82.6,87.5,71.7,69.52,0,0,,0,0,6.7,2.2,30,1008.9,50,3.6,857,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54836099999"
"36.463692,117.920564",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,8.1,4.5,213.1,1007,30,6.2,919,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.463692,117.920564",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,8.7,2.2,218.4,1007,30,6.2,936,3.4,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.463692,117.920564",2022-07-01T14:00:00,83.2,87.7,70.8,66.34,0,0,,0,0,14.6,4.5,195,1008.3,30,8.7,892,3.2,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54826099999,54836099999"
"36.463692,117.920564",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,9.4,4.5,233.8,1007,50,6.2,782,2.8,8,30,Partially cloudy,partly-cloudy-day,57993199999
"36.463692,117.920564",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,9.4,2.2,241.4,1006,50,6.2,640,2.3,6,30,Partially cloudy,partly-cloudy-day,57993199999
"36.463692,117.920564",2022-07-01T17:00:00,85.6,89.2,68.5,56.74,0,0,,0,0,15.1,4.5,241,1007,30,12,450,1.6,5,30,Partially cloudy,partly-cloudy-day,"57993199999,54826099999,54836099999"
"36.463692,117.920564",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,1.1,2.2,44.7,1006,30,6.2,130,0.5,1,30,Partially cloudy,partly-cloudy-day,57993199999
