name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.463692,117.920564",2022-11-28T00:00:00,51.9,51.9,49.5,91.7,0,0,,0,0,0.9,0.7,53.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.463692,117.920564",2022-11-28T01:00:00,50.8,50.8,47.9,89.82,0,0,,0,0,3.8,3.6,335,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.463692,117.920564",2022-11-28T02:00:00,49.4,48.8,46.8,90.99,0,0,,0,0,2.9,3.1,335.9,1012,100,15,0,,0,10,Overcast,cloudy,remote
"36.463692,117.920564",2022-11-28T03:00:00,49.2,49.2,46.7,90.98,0,0,,0,0,2.7,2.7,5.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.463692,117.920564",2022-11-28T04:00:00,48.1,46.3,46.1,92.82,0.008,100,rain,0,0,4.5,4.5,331.2,1012,100,7.6,0,,0,10,"Rain, Overcast",rain,remote
"36.463692,117.920564",2022-11-28T05:00:00,47,45.1,45.8,95.35,0.039,100,rain,0,0,4.9,4.5,351.4,1012,100,0.3,0,,0,10,"Rain, Overcast",rain,remote
"36.463692,117.920564",2022-11-28T06:00:00,47,45.2,45.9,96.01,0.031,100,rain,0,0,4.3,4.3,341.7,1011,100,0.3,0,,0,10,"Rain, Overcast",rain,remote
"36.463692,117.920564",2022-11-28T07:00:00,46.8,43.2,45.9,96.66,0.051,100,rain,0,0,8.3,7.4,339.4,1012,100,0.2,0,,0,10,"Rain, Overcast",rain,remote
"36.463692,117.920564",2022-11-28T08:00:00,45.8,42.9,44.5,95.33,0.004,100,rain,0,0,9.6,5.6,344.5,1013,100,0.1,4,0,0,10,"Rain, Overcast",rain,remote
"36.463692,117.920564",2022-11-28T09:00:00,45.6,43.4,44.3,95.32,0.012,66.7,rain,0,0,7.2,4.5,353.1,1014,100,0.3,4,0,0,10,"Rain, Overcast",rain,
