name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.18,118.19",2022-07-01T00:00:00,68.3,68.3,66.1,92.82,0,0,,0,0,4.7,3.8,251.6,1007,25.9,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"36.18,118.19",2022-07-01T01:00:00,67.6,67.6,64.8,91.07,0,0,,0,0,2.7,2.7,167.8,1007,6.9,15,0,,0,10,Clear,clear-night,remote
"36.18,118.19",2022-07-01T02:00:00,70.4,70.4,70.4,100,0.004,100,rain,0,0,15.7,0,168.1,1007.8,3.6,1.2,0,,0,10,Rain,rain,54836099999
"36.18,118.19",2022-07-01T03:00:00,66.8,66.8,63.6,89.34,0,0,,0,0,2.7,2.9,168.5,1008,7.9,15,0,,0,10,Clear,clear-night,remote
"36.18,118.19",2022-07-01T04:00:00,66.3,66.3,63.9,92.18,0,0,,0,0,2,2,149.5,1008,0.1,15,0,,0,10,Clear,clear-night,remote
"36.18,118.19",2022-07-01T05:00:00,70.1,70.1,70.1,100,0,0,,0,0,13.4,0,173.6,1007.8,0,1.2,0,,0,10,Clear,clear-day,54836099999
"36.18,118.19",2022-07-01T06:00:00,68.4,68.4,65,88.85,0,0,,0,0,0.4,0.4,275,1008,0,15,47,0.2,0,10,Clear,clear-day,remote
"36.18,118.19",2022-07-01T07:00:00,71.3,71.3,65.7,82.57,0,0,,0,0,0.7,0.7,195.2,1009,0.3,15,209,0.8,2,3,Clear,clear-day,remote
"36.18,118.19",2022-07-01T08:00:00,71.7,71.7,70.1,94.64,0.004,100,rain,0,0,6.7,4.5,130,1009.5,0.4,0.6,401,1.4,4,10,"Rain, Fog",rain,54836099999
"36.18,118.19",2022-07-01T09:00:00,77.3,77.3,68.6,74.75,0,0,,0,0,4,3.6,173.2,1009,11.8,15,585,2.1,6,30,Clear,clear-day,remote
"36.18,118.19",2022-07-01T10:00:00,79.6,79.6,68.8,69.63,0,0,,0,0,5.6,4.7,183.9,1009,24.4,15,742,2.7,7,30,Partially cloudy,partly-cloudy-day,remote
"36.18,118.19",2022-07-01T11:00:00,82.7,87.1,70.8,67.43,0,0,rain,0,0,6.7,2.2,30,1008.9,47.7,3.7,857,3.1,9,30,Partially cloudy,partly-cloudy-day,54836099999
"36.18,118.19",2022-07-01T12:00:00,84.3,87.6,68.1,58.36,0,0,rain,0,0,8.9,6.7,188.5,1008,38.7,15,850,3.1,9,30,Partially cloudy,partly-cloudy-day,remote
"36.18,118.19",2022-07-01T13:00:00,85.4,88.7,67.9,56.02,0,0,rain,0,0,9.4,7.6,195.2,1007,26.9,15,902,3.2,9,30,Partially cloudy,partly-cloudy-day,remote
"36.18,118.19",2022-07-01T14:00:00,85.7,91.7,71.7,63.01,0,0,,0,0,11.2,4.5,180,1007.7,52.5,11.2,827,3,8,30,Partially cloudy,partly-cloudy-day,54836099999
"36.18,118.19",2022-07-01T15:00:00,85.7,89.2,68.1,55.73,0,0,,0,0,11,10.1,210,1007,92.6,13.4,704,2.5,7,30,Overcast,cloudy,remote
"36.18,118.19",2022-07-01T16:00:00,82.7,86.2,69.2,63.81,0,0,,0,0,10.7,8.3,190.9,1007,24.6,15,341,1.2,3,60,Partially cloudy,partly-cloudy-day,remote
