name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.18,118.19",2022-11-28T00:00:00,52.2,52.2,51.5,97.38,0,0,,0,0,3.6,3.8,143.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.18,118.19",2022-11-28T01:00:00,52.2,52.2,51,95.46,0,0,,0,0,3.1,3.1,148.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.18,118.19",2022-11-28T02:00:00,51.7,51.7,50.4,95.45,0,0,,0,0,2.7,2.7,219.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.18,118.19",2022-11-28T03:00:00,51.7,51.7,50.4,95.45,0,0,,0,0,1.6,1.6,162.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.18,118.19",2022-11-28T04:00:00,51.7,51.7,50.4,95.45,0.004,100,rain,0,0,3.6,3.8,236.5,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.18,118.19",2022-11-28T05:00:00,51.9,51.9,50.6,95.45,0,0,,0,0,3.1,3.1,317.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.18,118.19",2022-11-28T06:00:00,51.7,51.7,50.3,94.81,0,0,,0,0,0.9,0.9,255.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.18,118.19",2022-11-28T07:00:00,51.5,51.5,50.3,95.44,0,0,,0,0,2.7,3.1,49.6,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.18,118.19",2022-11-28T08:00:00,51.2,51.2,50.1,96.08,0.012,100,rain,0,0,5.6,4.7,325.7,1012,100,4,5,0,0,10,"Rain, Overcast",rain,remote
"36.18,118.19",2022-11-28T09:00:00,49.5,47.6,48.5,96.05,0.071,66.7,rain,0,0,6.5,5.1,352.8,1012,100,2.6,6,0,0,10,"Rain, Overcast",rain,
"36.18,118.19",2022-11-28T10:00:00,49.4,47.5,46.5,89.76,0.028,66.7,rain,0,0,6.3,4.9,343.6,1013,100,15,58,0.2,1,10,"Rain, Overcast",rain,
"36.18,118.19",2022-11-28T11:00:00,49,46.6,45.2,86.74,0,66.7,rain,0,0,7.8,5.8,337.8,1013,100,15,48,0.2,0,10,"Rain, Overcast",rain,
"36.18,118.19",2022-11-28T12:00:00,47.6,44.5,44.5,89.07,0.004,66.7,rain,0,0,8.9,6.5,342.1,1013,100,1.9,21,0.1,0,10,"Rain, Overcast",rain,
"36.18,118.19",2022-11-28T13:00:00,46.7,43.1,44.3,91.51,0.004,66.7,rain,0,0,12.5,7.2,355.8,1013,98.2,1.4,16,0.1,0,10,"Rain, Overcast",rain,
"36.18,118.19",2022-11-28T14:00:00,46.3,42.7,44.5,93.4,0,66.7,rain,0,0,19.2,7.2,353.1,1014,100,0.3,37,0.1,0,10,"Rain, Overcast",rain,
"36.18,118.19",2022-11-28T15:00:00,45.9,42.2,44.3,94.03,0,0,,0,0,21.3,7.2,353.2,1015,100,0.2,49,0.2,0,10,Overcast,fog,
"36.18,118.19",2022-11-28T16:00:00,45.4,41.3,44,94.67,0,0,,0,0,23.5,7.8,351.6,1015,100,0.1,14,0.1,0,10,Overcast,fog,
"36.18,118.19",2022-11-28T17:00:00,45.2,39.7,43.2,92.73,0,0,,0,0,24.6,11.2,4.5,1016,100,2.4,2,0,0,10,Overcast,cloudy,
"36.18,118.19",2022-11-28T18:00:00,44,38.1,41.6,91.41,0,0,,0,0,28.9,11.2,8.5,1017,100,2.6,0,,0,10,Overcast,cloudy,
"36.18,118.19",2022-11-28T19:00:00,43.8,37.6,40.9,89.52,0,0,,0,0,30.9,12.1,10.8,1018,100,15,0,,0,10,Overcast,cloudy,
"36.18,118.19",2022-11-28T20:00:00,43.8,37.2,38.2,80.59,0,0,,0,0,30.2,13.2,8.2,1019,100,15,0,,0,10,Overcast,cloudy,
"36.18,118.19",2022-11-28T21:00:00,43.2,37.5,35.5,73.96,0,0,,0,0,32.2,10.5,9.9,1019,100,15,0,,0,10,Overcast,cloudy,
