name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.6,117.7",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,10.3,2.2,188.8,1007,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.6,117.7",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,9.2,0,206.3,1007,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.6,117.7",2022-07-01T02:00:00,69.2,69.2,68.6,97.77,0.001,100,rain,0,0,21.3,4.2,168,1007.7,0,1.5,0,,0,3,Rain,rain,"57993199999,54823099999,54826099999,54836099999"
"36.6,117.7",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,rain,0,0,3.8,2.2,215,1007,0,1.2,0,,0,3,Clear,clear-night,57993199999
"36.6,117.7",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.3,0,187.5,1007,0,1.2,0,,0,5,Clear,clear-night,57993199999
"36.6,117.7",2022-07-01T05:00:00,67.3,67.3,66,95.68,0,0,,0,0,21.7,6.8,260,1008.1,0,3.7,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.6,117.7",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,4.5,10,1008,0,1.2,44,0.2,0,5,Clear,clear-day,57993199999
"36.6,117.7",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,2.2,180.8,1008,0,1.2,204,0.7,2,3,Clear,clear-day,57993199999
"36.6,117.7",2022-07-01T08:00:00,70.4,70.4,67.6,90.97,0.002,100,rain,0,0,18.1,4.7,199,1009.8,50,5.1,396,1.4,4,10,"Rain, Partially cloudy",rain,"57993199999,54826099999,54836099999"
"36.6,117.7",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.1,2.2,207.8,1009,50,1.9,579,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,4,2.2,211.6,1008,30,2.5,738,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T11:00:00,82.6,88.5,73.4,73.96,0,0,,0,0,6.7,2.2,30,1008.9,50,3.4,858,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54836099999"
"36.6,117.7",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,7.2,4.5,211.3,1008,30,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,7.8,2.2,209.8,1007,30,6.2,942,3.4,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T14:00:00,82.1,86.2,70.5,67.87,0,0,,0,0,19.4,4.9,221,1009.3,30,6.3,895,3.2,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54826099999,54836099999"
"36.6,117.7",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,8.7,4.5,215.6,1007,50,6.2,704,2.5,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,8.5,2.2,222.3,1006,50,6.2,585,2.1,6,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T17:00:00,85.7,89.3,68.4,56.32,0,0,,0,0,15.5,4.5,258,1007.1,30,10.4,309,1.1,3,30,Partially cloudy,partly-cloudy-day,"57993199999,54823099999,54826099999,54836099999"
"36.6,117.7",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,6.5,2.2,242.2,1006,30,6.2,118,0.4,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,6,2.2,60,1007,30,6.2,81,0.3,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-01T20:00:00,79.8,79.8,70.7,73.78,0,0,,0,0,13.4,4.6,174,1008.3,0.6,8.1,5,0,0,30,Clear,clear-night,"57993199999,54823099999,54826099999,54836099999"
"36.6,117.7",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,3.1,4.5,110,1008,0,6.2,0,,0,30,Clear,clear-night,57993199999
"36.6,117.7",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,4.7,4.5,100,1008,1.1,6.2,0,,0,30,Clear,clear-night,57993199999
"36.6,117.7",2022-07-01T23:00:00,79.1,79.1,72.3,79.77,0,0,,0,0,12.4,3.1,102,1008.7,45.1,8.6,0,,0,30,Partially cloudy,partly-cloudy-night,"57993199999,54823099999,54836099999"
"36.6,117.7",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,3.8,2.2,90,1009,96,6.2,0,,0,30,Overcast,cloudy,57993199999
"36.6,117.7",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,4.9,2.2,180.3,1008,0,5,0,,0,30,Clear,clear-night,57993199999
"36.6,117.7",2022-07-02T02:00:00,72.2,72.2,71.1,96.39,0,0,,0,0,17.6,4.8,203,1009.4,0,2.5,0,,0,30,Clear,clear-night,"57993199999,54826099999,54836099999"
"36.6,117.7",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.3,2.2,178.4,1008,0,2.5,0,,0,30,Clear,clear-night,57993199999
"36.6,117.7",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,3.1,2.2,110,1008,0,2.5,0,,0,10,Clear,clear-night,57993199999
"36.6,117.7",2022-07-02T05:00:00,71.4,71.4,69.1,92.24,0,0,,0,0,17.4,5.8,173,1009.9,0,4.3,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.6,117.7",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,3.8,4.5,80,1009,0,2.5,44,0.2,0,10,Clear,clear-day,57993199999
"36.6,117.7",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,3.4,2.2,178.4,1009,0,2.5,204,0.7,2,30,Clear,clear-day,57993199999
"36.6,117.7",2022-07-02T08:00:00,83.1,89.8,74.2,74.61,0,0,,0,0,10.1,3.9,118,1008.8,0,4.9,395,1.4,4,30,Clear,clear-day,"57993199999,54823099999,54836099999"
"36.6,117.7",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,3.1,2.2,181.1,1009,0,6.2,580,2.1,6,30,Clear,clear-day,57993199999
"36.6,117.7",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,4.7,4.5,160,1008,30,6.2,742,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-02T11:00:00,85.4,91.5,72.1,64.56,0,0,,0,0,15.4,2.8,145,1009.4,50,6.6,858,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54823099999,54826099999,54836099999"
"36.6,117.7",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4.9,2.2,198,1008,50,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,6.5,4.5,197.8,1007,50,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-02T14:00:00,93.2,102.7,73.3,52.73,0,0,,0,0,11.2,3.9,150,1006.6,50,9.6,825,3,8,10,Partially cloudy,partly-cloudy-day,"57993199999,54823099999,54836099999"
"36.6,117.7",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,7.6,6.7,90,1006,90,6.2,688,2.5,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,8.3,4.5,70,1006,90,6.2,562,2,6,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-02T17:00:00,90.1,101.2,75.5,62.3,0.002,100,rain,0,0,13.5,4.5,76,1005.4,90,8.2,332,1.2,3,30,"Rain, Partially cloudy",rain,"57993199999,54823099999,54836099999"
"36.6,117.7",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,7.4,4.5,270,1006,90,6.2,198,0.7,2,30,Partially cloudy,partly-cloudy-day,57993199999
"36.6,117.7",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,8.3,0,180,1006,90,6.2,91,0.3,1,30,Partially cloudy,partly-cloudy-day,57993199999
