name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.6,117.7",2022-11-28T00:00:00,49.9,49.9,47.7,92.25,0,0,,0,0,1.8,1.8,17.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,117.7",2022-11-28T01:00:00,49.5,48.7,46.8,90.38,0,0,,0,0,3.6,3.6,344,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,117.7",2022-11-28T02:00:00,49,49,45.9,89.14,0,0,,0,0,2.5,2.9,346.4,1012,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,117.7",2022-11-28T03:00:00,48.8,47.7,45.8,89.13,0.004,100,rain,0,0,3.6,3.8,349.8,1011,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"36.6,117.7",2022-11-28T04:00:00,47.4,45.1,45.4,92.8,0.031,100,rain,0,0,5.4,5.1,337.2,1012,100,0.5,0,,0,10,"Rain, Overcast",rain,remote
"36.6,117.7",2022-11-28T05:00:00,45.8,43.6,44.3,94.68,0.047,100,rain,0,0,4.7,4.5,17.9,1011,100,0.3,0,,0,10,"Rain, Overcast",rain,remote
"36.6,117.7",2022-11-28T06:00:00,45.4,43.4,44.3,95.98,0.071,100,rain,0,0,4.5,4.3,13,1011,100,0.2,0,,0,10,"Rain, Overcast",rain,remote
"36.6,117.7",2022-11-28T07:00:00,44.9,40.3,43.8,95.97,0.024,100,rain,0,0,11,8.5,341.8,1012,100,0.1,0,,0,10,"Rain, Overcast",rain,remote
"36.6,117.7",2022-11-28T08:00:00,44.1,40.7,43.1,95.96,0.004,100,rain,0,0,8.7,6,339.3,1013,100,0.1,2,0,0,10,"Rain, Overcast",rain,remote
"36.6,117.7",2022-11-28T09:00:00,44.3,41.5,43.2,95.96,0.012,47.6,rain,0,0,7.6,5.1,5.5,1014,100,0.1,3,0,0,10,"Rain, Overcast",rain,
"36.6,117.7",2022-11-28T10:00:00,44.3,40.2,43.1,95.3,0,47.6,rain,0,0,10.5,7.4,345.9,1015,100,0.1,9,0,0,10,"Rain, Overcast",rain,
"36.6,117.7",2022-11-28T11:00:00,44,40.3,42.7,95.29,0,47.6,rain,0,0,11.4,6.3,349.7,1015,100,0.1,15,0.1,0,10,"Rain, Overcast",rain,
"36.6,117.7",2022-11-28T12:00:00,44,40,42.7,95.29,0,47.6,rain,0,0,13,6.9,342.9,1015,100,0.1,34,0.1,0,10,"Rain, Overcast",rain,
"36.6,117.7",2022-11-28T13:00:00,44,39.8,42.7,95.29,0,47.6,rain,0,0,17,7.2,349.5,1015,100,0.1,54,0.2,1,10,"Rain, Overcast",rain,
"36.6,117.7",2022-11-28T14:00:00,43.8,39.1,42.5,95.29,0,47.6,rain,0,0,20.8,8.3,350.3,1015,100,0.1,37,0.1,0,10,"Rain, Overcast",rain,
"36.6,117.7",2022-11-28T15:00:00,43.6,39,42.3,95.28,0,0,,0,0,21,8.1,345.1,1016,100,0.1,22,0.1,0,10,Overcast,fog,
"36.6,117.7",2022-11-28T16:00:00,43.6,38.1,42.5,95.95,0,0,,0,0,22.1,10.1,342.4,1017,100,0.1,8,0,0,10,Overcast,fog,
"36.6,117.7",2022-11-28T17:00:00,43.8,38.1,42.5,95.29,0,0,,0,0,23.5,10.5,359.9,1017,100,0.1,1,0,0,10,Overcast,fog,
"36.6,117.7",2022-11-28T18:00:00,43.4,36.9,41.8,93.97,0,0,rain,0,0,26.4,12.8,358.1,1019,100,3.9,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-28T19:00:00,43.1,36.1,41.1,92.66,0,0,,0,0,28.4,13.9,8,1019,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-28T20:00:00,42.9,36.2,39.3,87.01,0.004,0,rain,0,0,28.9,13,11.6,1020,97.2,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-28T21:00:00,42.5,37.1,37.7,82.8,0,0,,0,0,28.6,9.2,8.9,1020,99.8,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-28T22:00:00,42.5,36.9,36.8,79.92,0,0,,0,0,26.4,9.6,353,1021,100,14.8,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-28T23:00:00,41.6,34.6,37.1,83.92,0,0,,0,0,24.8,13,353.3,1022,99.1,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T00:00:00,38.9,30.3,19.8,45.92,0,0,,0,0,28.6,15.7,6.5,1023,98.8,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T01:00:00,35.3,24.3,12.5,38.41,0,0,,0,0,32.4,20.1,7,1025,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T02:00:00,31.7,19.7,8.3,36.89,0,0,,0,0,35.6,19.7,7.9,1026,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T03:00:00,29.9,17.2,7.1,37.48,0,0,,0,0,35.8,20.1,8.4,1026,56.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.6,117.7",2022-11-29T04:00:00,28.3,14.7,6.9,39.72,0,0,,0,0,36.9,21.5,4.9,1027,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T05:00:00,27.2,13.2,7.4,42.55,0,0,,0,0,35.8,21.9,8,1028,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T06:00:00,26.3,12.1,6.7,42.74,0,0,,0,0,36.7,21.5,10.3,1029,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T07:00:00,25.2,10.9,5.6,42.56,0,0,,0,0,35.6,20.8,9.4,1030,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T08:00:00,24.9,10.5,4,40.11,0,0,,0,0,34.7,20.4,7.7,1032,100,15,36,0.1,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T09:00:00,26.3,11.9,5.6,40.69,0,0,,0,0,34,22.1,8.3,1032,46.3,15,147,0.5,1,10,Partially cloudy,partly-cloudy-day,
"36.6,117.7",2022-11-29T10:00:00,27.9,14,5.3,37.45,0,0,,0,0,31.5,22.4,10.5,1033,99.4,15,348,1.3,3,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T11:00:00,29.2,15.8,3.8,33.29,0,0,,0,0,29.3,21.7,6.6,1033,98.6,15,433,1.6,4,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T12:00:00,29.6,16.3,1.7,29.69,0,0,,0,0,27.3,21.7,1.8,1033,100,15,442,1.6,4,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T13:00:00,28.3,14.8,0.4,29.47,0.008,0,snow,0.04,0.04,27.3,21,0.9,1034,100,1.5,291,1,3,10,Overcast,snow,
"36.6,117.7",2022-11-29T14:00:00,27.8,14.3,0.2,29.88,0.008,0,snow,0.08,0.12,26.8,20.6,3.6,1033,79.3,2.7,267,1,3,10,Partially cloudy,snow,
"36.6,117.7",2022-11-29T15:00:00,27,13.6,-2.3,27.33,0.004,4.8,snow,0,0.12,25.7,19.7,359.7,1034,97.3,15,288,1,3,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T16:00:00,26.1,13.2,-0.9,30.36,0,4.8,,0,0.12,24.4,17.4,355.2,1035,100,15,155,0.6,2,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T17:00:00,23.1,8.3,-6.6,26.19,0,4.8,,0,0.12,26.2,20.1,357.3,1036,99.5,15,28,0.1,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T18:00:00,21.5,6.5,-9.1,24.8,0,4.8,,0,0.12,27.5,19,6,1038,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T19:00:00,20.6,5.8,-12,22.35,0,4.8,,0,0.12,27.3,17.9,13,1039,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T20:00:00,19.5,4.4,-13.3,21.97,0,4.8,,0,0.12,27.5,17.9,8.2,1040,99.5,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T21:00:00,18.8,3.7,-14.7,21.07,0,0,,0,0.12,27.3,17.2,359.1,1042,100,15,0,,0,10,Overcast,cloudy,
"36.6,117.7",2022-11-29T22:00:00,18,3.2,-17.6,18.77,0,0,,0,0.08,26.6,16.1,349.6,1042,17.8,15,0,,0,10,Clear,clear-night,
"36.6,117.7",2022-11-29T23:00:00,16.8,2.1,-17.2,20.19,0,0,,0,0.08,27.7,15,346.7,1043,0,15,0,,0,10,Clear,clear-night,
