name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.3,118.0",2022-07-01T00:00:00,68.3,68.3,65.6,91.09,0,0,,0,0,3.8,2.2,221.7,1007,5,15,0,,0,5,Clear,clear-night,remote
"36.3,118.0",2022-07-01T01:00:00,68.1,68.1,64.1,87.17,0,0,,0,0,1.6,1.6,139.1,1007,0,15,0,,0,10,Clear,clear-night,remote
"36.3,118.0",2022-07-01T02:00:00,70.4,70.4,70.4,100,0.004,100,rain,0,0,15.7,0,151.2,1007.8,0.1,1.2,0,,0,10,Rain,rain,54836099999
"36.3,118.0",2022-07-01T03:00:00,67.6,67.6,62.7,84.43,0,0,,0,0,2.5,2.5,164.3,1007,0.8,15,0,,0,10,Clear,clear-night,remote
"36.3,118.0",2022-07-01T04:00:00,67.2,67.2,62.7,85.49,0,0,,0,0,2.2,2.2,110.7,1007,0,15,0,,0,10,Clear,clear-night,remote
"36.3,118.0",2022-07-01T05:00:00,70.1,70.1,70.1,100,0,0,,0,0,13.4,0,114.8,1007.8,0.2,1.2,0,,0,10,Clear,clear-day,54836099999
"36.3,118.0",2022-07-01T06:00:00,68.8,68.8,63.6,83.45,0,0,,0,0,1.6,1.6,95.1,1008,0,15,46,0.2,0,10,Clear,clear-day,remote
"36.3,118.0",2022-07-01T07:00:00,71.3,71.3,64.8,80.03,0,0,,0,0,1.1,1.3,123.6,1009,0,15,206,0.7,2,3,Clear,clear-day,remote
"36.3,118.0",2022-07-01T08:00:00,71.7,71.7,70.1,94.64,0.004,100,rain,0,0,6.7,4.5,130,1009.5,4.2,0.6,399,1.4,4,10,"Rain, Fog",rain,54836099999
"36.3,118.0",2022-07-01T09:00:00,77.6,77.6,68.3,72.95,0,0,,0,0,3.8,2.9,192.9,1009,5,15,582,2.1,6,30,Clear,clear-day,remote
"36.3,118.0",2022-07-01T10:00:00,80.3,83,68.1,66.35,0,0,,0,0,5.4,4,202.7,1009,5.2,15,740,2.7,7,30,Clear,clear-day,remote
"36.3,118.0",2022-07-01T11:00:00,82.7,87.1,70.8,67.43,0,0,,0,0,6.7,2.2,30,1008.9,22,3.7,859,3.1,9,30,Partially cloudy,partly-cloudy-day,54836099999
"36.3,118.0",2022-07-01T12:00:00,84.6,87.6,67.4,56.28,0,0,rain,0,0,8.9,7.6,221,1008,9.3,15,918,3.3,9,30,Clear,clear-day,remote
