name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.84,118.3",2022-11-28T00:00:00,50.3,50.3,48.8,94.78,0.004,100,rain,0,0,15.2,8.1,15.5,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T01:00:00,49.9,46.5,48.6,95.41,0.016,100,rain,0,0,14.1,8.3,5.1,1012,100,9.4,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T02:00:00,50.1,50.1,48.6,94.77,0.004,100,rain,0,0,16.3,9.4,359.5,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T03:00:00,49.7,45.8,48.3,94.77,0.004,100,rain,0,0,17.2,9.6,345,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T04:00:00,50.1,50.1,48.8,95.41,0.035,100,rain,0,0,17,9.8,336.3,1011,100,4.3,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T05:00:00,49.9,45.4,48.1,93.5,0.051,100,rain,0,0,18.6,11.9,13.6,1011,100,14.2,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T06:00:00,49.7,46.2,47.9,93.5,0.008,100,rain,0,0,15.7,8.5,355.4,1011,100,11.2,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T07:00:00,50.4,50.4,48.6,93.52,0.024,100,rain,0,0,15.7,9.8,346,1012,100,10.8,0,,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T08:00:00,50.3,50.3,47.9,91.64,0.016,100,rain,0,0,17.2,11.9,5.6,1013,100,14.5,1,0,0,10,"Rain, Overcast",rain,remote
"37.84,118.3",2022-11-28T09:00:00,50.4,50.4,47.2,88.6,0.004,52.4,rain,0,0,18.1,12.1,12.9,1014,100,15,5,0,0,10,"Rain, Overcast",rain,
"37.84,118.3",2022-11-28T10:00:00,50.1,50.1,45.9,85.62,0,52.4,rain,0,0,19,14.1,15.9,1014,100,15,16,0.1,0,10,"Rain, Overcast",rain,
"37.84,118.3",2022-11-28T11:00:00,49.5,44.2,44.9,83.85,0,52.4,rain,0,0,19.5,14.3,22,1015,100,15,28,0.1,0,10,"Rain, Overcast",rain,
"37.84,118.3",2022-11-28T12:00:00,49.2,43.7,43.6,81,0,52.4,rain,0,0,17.4,14.5,22,1015,100,15,66,0.2,1,10,"Rain, Overcast",rain,
"37.84,118.3",2022-11-28T13:00:00,49,44,42.9,79.33,0,52.4,rain,0,0,15.9,12.8,17.5,1015,100,15,61,0.2,1,10,"Rain, Overcast",rain,
"37.84,118.3",2022-11-28T14:00:00,48.8,43.6,42.5,78.77,0,52.4,rain,0,0,17.2,13.4,10.9,1015,100,15,46,0.2,0,10,"Rain, Overcast",rain,
"37.84,118.3",2022-11-28T15:00:00,48.8,44.1,42.2,77.68,0,4.8,,0,0,16.8,11.6,0.5,1017,100,15,36,0.1,0,10,Overcast,cloudy,
"37.84,118.3",2022-11-28T16:00:00,48.8,44.7,42.2,77.68,0,4.8,,0,0,15.4,9.6,355.7,1017,100,15,24,0.1,0,10,Overcast,cloudy,
"37.84,118.3",2022-11-28T17:00:00,48.8,45.1,42,77.15,0,4.8,,0,0,15.2,8.7,340.1,1018,100,15,11,0,0,10,Overcast,cloudy,
"37.84,118.3",2022-11-28T18:00:00,48.6,45.3,41.3,75.54,0,4.8,,0,0,20.1,7.6,357.1,1019,100,15,0,,0,10,Overcast,cloudy,
