name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.81,117.95",2022-11-28T00:00:00,49.2,45.8,47.6,94.12,0.004,100,rain,0,0,14.8,7.8,3.8,1012,100,14.5,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T01:00:00,48.5,44.3,47,94.74,0.031,100,rain,0,0,17.2,9.6,8.3,1012,100,11.6,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T02:00:00,48.5,43.8,46.5,92.83,0.004,100,rain,0,0,18.3,11,2.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T03:00:00,47.9,43.3,45.9,92.81,0.004,100,rain,0,0,18.6,10.5,346.2,1012,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T04:00:00,47.9,43.1,46.5,94.73,0.047,100,rain,0,0,21.5,11,334.5,1012,100,4.7,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T05:00:00,49,44.5,47.6,94.75,0.039,100,rain,0,0,19.2,11,358.4,1012,100,11.7,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T06:00:00,49.2,45.4,47.4,93.48,0.016,100,rain,0,0,16.8,8.9,353.1,1012,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T07:00:00,49.4,45.2,47.4,92.86,0.008,100,rain,0,0,17.4,10.3,332.6,1013,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T08:00:00,49.5,45.4,47,90.99,0.008,100,rain,0,0,18.3,10.3,2.6,1013,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"37.81,117.95",2022-11-28T09:00:00,50.1,50.1,46.8,88.58,0,33.3,,0,0,18.1,11.2,15.8,1014,100,15,6,0,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T10:00:00,49.9,45,45.6,85.03,0,33.3,,0,0,17.9,13.2,13.8,1015,100,15,21,0.1,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T11:00:00,49,43.7,44.1,83.25,0,33.3,,0,0,18.8,13.6,26.7,1015,100,15,25,0.1,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T12:00:00,49.5,44.5,43.2,78.83,0,33.3,,0,0,15.7,13.4,24.8,1015,100,15,105,0.4,1,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T13:00:00,49.2,44.4,42.7,78.26,0,33.3,,0,0,14.3,11.9,15.6,1016,100,15,58,0.2,1,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T14:00:00,48.8,44,42.7,79.31,0,33.3,,0,0,16.1,11.9,9.4,1016,100,15,30,0.1,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T15:00:00,48.8,44.4,42,77.15,0.004,0,rain,0,0,16.3,10.5,350.3,1017,100,15,38,0.1,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T16:00:00,49,45,42.2,77.16,0,0,,0,0,15,9.4,352.3,1017,100,15,34,0.1,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T17:00:00,49,45.1,41.6,75.58,0,0,,0,0,15.2,9.2,336.8,1019,99.9,15,14,0.1,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T18:00:00,48.1,46.2,41.4,77.62,0,0,,0,0,10.5,4.7,351.6,1019,100,15,0,,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T19:00:00,47.2,45.5,41.6,80.85,0,0,,0,0,4.3,4.3,304.9,1020,100,15,0,,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T20:00:00,47.4,43.9,40.9,78.1,0,0,,0,0,18.3,7.4,313.8,1020,100,15,0,,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T21:00:00,48.3,41.8,18,29.72,0,0,,0,0,31.1,17.9,344.1,1021,100,15,0,,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T22:00:00,44.9,36,14.1,28.48,0,0,,0,0,36.2,24.2,352.1,1022,100,15,0,,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-28T23:00:00,42.2,32.3,8.5,24.65,0,0,,0,0,37.8,25.1,352.3,1023,100,15,0,,0,10,Overcast,cloudy,
"37.81,117.95",2022-11-29T00:00:00,39.3,28,6.7,25.4,0,0,,0,0,39.6,27.3,349.5,1024,100,15,0,,0,10,Overcast,cloudy,
