name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.65,117.69",2022-07-01T00:00:00,74.7,74.7,67.6,78.32,0,0,,0,0,9.6,5.6,187.4,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.65,117.69",2022-07-01T01:00:00,74,74,67.9,81.23,0,0,,0,0,7.4,5.1,247.7,1006,99.6,15,0,,0,5,Overcast,cloudy,remote
"37.65,117.69",2022-07-01T02:00:00,71.3,71.3,71.3,100,0.004,100,rain,0,0,20.1,0,274.8,1006.8,99.7,2.5,0,,0,3,"Rain, Overcast",rain,54725099999
"37.65,117.69",2022-07-01T03:00:00,74,74,67.6,80.23,0,0,,0,0,0.7,0.2,150.6,1006,98.6,15,0,,0,3,Overcast,cloudy,remote
"37.65,117.69",2022-07-01T04:00:00,73.5,73.5,67.6,81.7,0,0,,0,0,2.7,2.7,158.2,1007,88.1,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.65,117.69",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,20.1,0,169.2,1007.2,81.9,1.9,0,,0,3,Partially cloudy,partly-cloudy-day,54725099999
"37.65,117.69",2022-07-01T06:00:00,74.4,74.4,67.2,78.29,0,0,,0,0,0.9,1.1,129,1007,100,15,50,0.2,1,10,Overcast,cloudy,remote
"37.65,117.69",2022-07-01T07:00:00,76,76,66.8,73.25,0,0,,0,0,0.7,1.6,163.2,1007,92.5,15,184,0.7,2,3,Overcast,cloudy,remote
"37.65,117.69",2022-07-01T08:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,11.2,2.2,270,1008.2,16.1,4.3,376,1.4,4,3,Clear,clear-day,54725099999
"37.65,117.69",2022-07-01T09:00:00,80.9,83,65.9,60.5,0,0,,0,0,1.1,1.6,161.7,1008,5,15,580,2.1,6,10,Clear,clear-day,remote
"37.65,117.69",2022-07-01T10:00:00,83.2,85.4,66.1,56.43,0,0,,0,0,0.9,0.7,310,1008,5,15,738,2.7,7,10,Clear,clear-day,remote
"37.65,117.69",2022-07-01T11:00:00,83.9,90.3,73.1,70.08,0,0,,0,0,11.2,2.2,350,1008.5,4.3,9.9,854,3.1,9,10,Clear,clear-day,54725099999
"37.65,117.69",2022-07-01T12:00:00,87.3,89.8,66.1,49.43,0,0,,0,0,1.6,0.9,116,1007,0.9,15,922,3.3,9,10,Clear,clear-day,remote
"37.65,117.69",2022-07-01T13:00:00,89,91.3,65.7,46.37,0,0,,0,0,3.6,2.2,165.9,1007,25.1,15,934,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"37.65,117.69",2022-07-01T14:00:00,87.9,94.1,71.3,58.11,0,0,,0,0,8.9,4.5,150,1007.3,60.6,16.8,866,3.1,9,10,Partially cloudy,partly-cloudy-day,54725099999
"37.65,117.69",2022-07-01T15:00:00,88.8,91.1,65.7,46.64,0,0,,0,0,5.6,6,188.1,1006,99.9,15,489,1.8,5,10,Overcast,cloudy,remote
"37.65,117.69",2022-07-01T16:00:00,87.2,89.7,66.3,50.02,0,0,,0,0,4.9,6.7,196.8,1006,100,15,193,0.7,2,10,Overcast,cloudy,remote
"37.65,117.69",2022-07-01T17:00:00,89.9,95.4,70.1,52.3,0,0,,0,0,8.9,0,220.8,1006,91.6,16.8,107,0.4,1,10,Overcast,cloudy,54725099999
"37.65,117.69",2022-07-01T18:00:00,86.6,88.8,65.7,49.94,0,0,,0,0,3.6,2.9,334.9,1005,68.2,15,128,0.5,1,10,Partially cloudy,partly-cloudy-day,remote
"37.65,117.69",2022-07-01T19:00:00,84.8,88.2,68.1,57.36,0,0,,0,0,6,4.9,14.2,1006,11.5,15,70,0.3,1,30,Clear,clear-day,remote
"37.65,117.69",2022-07-01T20:00:00,81.2,87.7,75.8,83.72,0,0,,0,0,8.9,0,33.6,1006.9,0.5,9.9,8,0,0,30,Clear,clear-night,54725099999
"37.65,117.69",2022-07-01T21:00:00,81.8,85.1,69,65.3,0,0,,0,0,4.7,4,41,1007,0,15,0,,0,30,Clear,clear-night,remote
"37.65,117.69",2022-07-01T22:00:00,81.2,84.5,69.2,66.86,0,0,,0,0,3.4,3.4,56.7,1007,0.1,15,0,,0,30,Clear,clear-night,remote
