name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.65,117.69",2022-11-28T00:00:00,47.6,43.4,45.9,94.08,0.016,100,rain,0,0,14.8,8.9,353.9,1013,100,7.3,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T01:00:00,46.7,42.1,44.9,93.41,0.028,100,rain,0,0,17.9,9.6,10.8,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T02:00:00,47,42.3,44.5,90.9,0.004,100,rain,0,0,17,10.1,357.1,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T03:00:00,46.5,41.6,44.5,92.77,0.016,100,rain,0,0,16.6,10.3,342.3,1013,100,9.1,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T04:00:00,46.3,41.4,44.9,94.69,0.051,100,rain,0,0,17.9,10.3,335.1,1012,100,6.3,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T05:00:00,45.9,40.6,44.1,93.39,0.031,100,rain,0,0,20.6,11.2,334.6,1012,100,10.1,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T06:00:00,45.6,40.4,43.6,92.74,0.016,100,rain,0,0,18.6,10.5,334.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T07:00:00,44.5,38.2,42,90.8,0.004,100,rain,0,0,21.3,13,321.3,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T08:00:00,45.4,40.1,43.2,92.1,0.008,100,rain,0,0,20.6,10.7,342,1014,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"37.65,117.69",2022-11-28T09:00:00,48.5,44,45.4,89.11,0,9.5,,0,0,19,10.5,3.6,1014,100,15,6,0,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T10:00:00,48.6,43.6,45,87.31,0,9.5,,0,0,19.7,12.3,357.8,1015,100,15,19,0.1,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T11:00:00,48.6,43.7,44.3,84.95,0,9.5,,0,0,16.8,12.1,18.2,1015,100,15,22,0.1,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T12:00:00,49.2,44.5,43.4,80.44,0,9.5,,0,0,14.1,11.6,21.8,1016,100,15,76,0.3,1,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T13:00:00,48.8,44.5,42.9,79.86,0,9.5,,0,0,12.3,10.3,7.4,1016,100,15,48,0.2,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T14:00:00,48.5,44,42.7,80.39,0,9.5,,0,0,14.8,10.5,5.7,1016,100,15,23,0.1,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T15:00:00,48.8,45,42.7,79.31,0,0,,0,0,14.5,8.9,337.1,1018,100,15,38,0.1,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T16:00:00,49,45.1,42.5,78.24,0,0,,0,0,15,9.2,343.6,1018,100,15,51,0.2,1,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T17:00:00,47.7,44.6,42.2,80.89,0,0,,0,0,11.9,6.7,325.7,1019,98.6,15,20,0.1,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T18:00:00,46.5,45.4,41.6,83.07,0,0,,0,0,3.8,3.4,323.5,1019,100,15,0,,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T19:00:00,46.7,44.7,41.3,81.37,0,0,,0,0,4.5,4.5,290.4,1020,100,15,0,,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T20:00:00,47.7,43,36,63.71,0,0,,0,0,27.3,10.7,324.8,1020,100,15,0,,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T21:00:00,46.1,39,8.7,21.36,0,0,,0,0,33.8,17.7,344.1,1021,100,15,0,,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T22:00:00,44.1,35.4,11,25.57,0,0,,0,0,36,22.6,0.1,1022,100,15,0,,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-28T23:00:00,40,29.7,5.6,23.52,0,0,,0,0,37.8,23.7,354.2,1023,100,15,0,,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-29T00:00:00,37.5,25.8,4.2,24.29,0,0,,0,0,39.8,25.9,351.9,1025,100,15,0,,0,10,Overcast,cloudy,
"37.65,117.69",2022-11-29T01:00:00,35.5,23.7,3.3,25.2,0,0,,0,0,38.5,23.5,352.6,1026,12.6,15,0,,0,10,Clear,clear-night,
"37.65,117.69",2022-11-29T02:00:00,33.9,22.1,4.4,28.25,0,0,,0,0,36.2,21.5,358.8,1027,0,15,0,,0,10,Clear,clear-night,
"37.65,117.69",2022-11-29T03:00:00,32.6,20,5.3,30.96,0,0,,0,0,36,23.3,357,1028,0,15,0,,0,10,Clear,clear-night,
"37.65,117.69",2022-11-29T04:00:00,31.2,18.2,4.2,31.23,0,0,,0,0,35.6,22.8,353.7,1029,0,15,0,,0,10,Clear,clear-night,
