name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"38.1,117.8",2022-07-01T00:00:00,76.4,76.4,69.3,78.93,0,0,,0,0,13.9,8.5,179.1,1006,100,15,0,,0,10,Overcast,cloudy,remote
"38.1,117.8",2022-07-01T01:00:00,75.5,75.5,67.9,77.41,0,0,,0,0,6.5,4.5,227.3,1006,91.3,15,0,,0,3,Overcast,cloudy,remote
"38.1,117.8",2022-07-01T02:00:00,71.3,71.3,71.3,100,0.004,100,rain,0,0,20.1,0,268.1,1006.8,98,2.5,0,,0,3,"Rain, Overcast",rain,54725099999
"38.1,117.8",2022-07-01T03:00:00,73.8,73.8,67.2,79.72,0,0,rain,0,0,2.5,2.2,229.4,1006,66.7,6.8,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"38.1,117.8",2022-07-01T04:00:00,73.7,73.7,67.2,80.2,0,0,,0,0,1.3,1.6,174.7,1006,100,15,0,,0,3,Overcast,cloudy,remote
"38.1,117.8",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,20.1,0,149.6,1007.2,100,1.9,0,,0,10,Overcast,cloudy,54725099999
"38.1,117.8",2022-07-01T06:00:00,75.1,75.1,66.1,73.62,0,0,,0,0,0.7,0.4,198.8,1007,100,15,51,0.2,1,10,Overcast,cloudy,remote
"38.1,117.8",2022-07-01T07:00:00,76.7,76.7,65.6,68.47,0,0,,0,0,0.9,1.3,154.5,1007,89.6,15,197,0.7,2,3,Partially cloudy,partly-cloudy-day,remote
"38.1,117.8",2022-07-01T08:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,11.2,2.2,270,1008.2,65.4,4.3,354,1.3,4,3,Partially cloudy,partly-cloudy-day,54725099999
"38.1,117.8",2022-07-01T09:00:00,80.9,83,66.1,60.88,0,0,,0,0,2.5,1.3,82,1008,54.1,15,564,2,6,10,Partially cloudy,partly-cloudy-day,remote
"38.1,117.8",2022-07-01T10:00:00,82.8,85.1,66.3,57.45,0,0,,0,0,1.8,0.9,85.2,1008,5,15,730,2.6,7,10,Clear,clear-day,remote
"38.1,117.8",2022-07-01T11:00:00,83.9,90.3,73.1,70.08,0,0,,0,0,11.2,2.2,350,1008.5,5,9.9,852,3.1,9,10,Clear,clear-day,54725099999
"38.1,117.8",2022-07-01T12:00:00,86.6,89.1,66.3,50.89,0,0,,0,0,0.9,0.9,72.9,1007,2.3,15,920,3.3,9,10,Clear,clear-day,remote
"38.1,117.8",2022-07-01T13:00:00,88.2,90.5,65.7,47.44,0,0,,0,0,2,1.3,118.7,1006,22,15,932,3.4,9,10,Partially cloudy,partly-cloudy-day,remote
"38.1,117.8",2022-07-01T14:00:00,87.9,94.1,71.3,58.11,0,0,,0,0,8.9,4.5,150,1007.3,88.5,16.8,883,3.2,9,10,Partially cloudy,partly-cloudy-day,54725099999
"38.1,117.8",2022-07-01T15:00:00,89,90.7,64.7,44.66,0,0,,0,0,2.9,0.9,272.6,1006,96.9,15,398,1.4,4,10,Overcast,cloudy,remote
"38.1,117.8",2022-07-01T16:00:00,87.7,89.9,65.6,47.96,0,0,,0,0,4.5,4.9,7.7,1006,100,15,124,0.4,1,10,Overcast,cloudy,remote
"38.1,117.8",2022-07-01T17:00:00,89.9,95.4,70.1,52.3,0,0,,0,0,8.9,0,33.9,1006,94.5,16.8,76,0.3,1,30,Overcast,cloudy,54725099999
"38.1,117.8",2022-07-01T18:00:00,82.7,85.6,67.9,61.11,0,0,,0,0,9.8,9.4,43,1006,85.3,15,88,0.3,1,30,Partially cloudy,partly-cloudy-day,remote
"38.1,117.8",2022-07-01T19:00:00,82.5,85.8,68.6,63.01,0,0,,0,0,10.3,8.9,50.2,1006,88.3,15,46,0.2,0,30,Partially cloudy,partly-cloudy-day,remote
"38.1,117.8",2022-07-01T20:00:00,81.2,87.7,75.8,83.72,0,0,,0,0,8.9,0,61,1006.9,0,9.9,5,0,0,30,Clear,clear-night,54725099999
"38.1,117.8",2022-07-01T21:00:00,80.5,83.6,69.2,68.45,0,0,,0,0,7.6,5.4,57.3,1007,0,15,0,,0,30,Clear,clear-night,remote
"38.1,117.8",2022-07-01T22:00:00,80,80,69.3,70.1,0,0,,0,0,6,4.9,55.8,1007,0,15,0,,0,30,Clear,clear-night,remote
"38.1,117.8",2022-07-01T23:00:00,79.8,79.8,69.5,70.95,0,0,,0,0,4,4,67,1008,3.6,15,0,,0,30,Clear,clear-night,remote
"38.1,117.8",2022-07-02T00:00:00,79.6,79.6,69.5,71.37,0,0,,0,0,3.1,2.9,83.8,1008,22,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"38.1,117.8",2022-07-02T01:00:00,79.2,79.2,69.5,72.22,0,0,,0,0,2.5,2.5,94.9,1007,5,15,0,,0,30,Clear,clear-night,remote
"38.1,117.8",2022-07-02T02:00:00,73.5,73.5,73.5,100,0,0,,0,0,13.4,0,41.3,1007.8,17.6,1.9,0,,0,10,Clear,clear-night,54725099999
"38.1,117.8",2022-07-02T03:00:00,77.8,77.8,69,74.34,0,0,,0,0,4,3.8,52.2,1007,100,15,0,,0,10,Overcast,cloudy,remote
"38.1,117.8",2022-07-02T04:00:00,77.4,77.4,68.8,74.76,0,0,,0,0,2.7,2.7,73.6,1007,6.6,15,0,,0,10,Clear,clear-night,remote
"38.1,117.8",2022-07-02T05:00:00,74,74,74,100,0,0,,0,0,13.4,2.2,100,1008.4,4.9,1.2,0,,0,10,Clear,clear-day,54725099999
"38.1,117.8",2022-07-02T06:00:00,78.3,78.3,69.2,73.47,0,0,,0,0,3.1,2.9,40.9,1008,69.2,15,53,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"38.1,117.8",2022-07-02T07:00:00,80.3,83.1,68.4,67.18,0,0,,0,0,2.7,2.9,33.1,1008,7.3,15,197,0.7,2,10,Clear,clear-day,remote
"38.1,117.8",2022-07-02T08:00:00,82.7,90.9,76.4,81.34,0,0,,0,0,13.4,2.2,190,1008.5,0,3.1,404,1.5,4,30,Clear,clear-day,54725099999
"38.1,117.8",2022-07-02T09:00:00,85,88.2,67.7,56.32,0,0,,0,0,2.7,3.1,84.3,1008,0,15,587,2.1,6,10,Clear,clear-day,remote
"38.1,117.8",2022-07-02T10:00:00,87,90.1,67.4,52.22,0,0,,0,0,2.9,3.4,102.2,1008,0,15,744,2.7,7,10,Clear,clear-day,remote
"38.1,117.8",2022-07-02T11:00:00,90.8,98.1,71.9,54.05,0,0,,0,0,8.9,4.5,180,1008.3,0,9.9,861,3.1,9,10,Clear,clear-day,54725099999
"38.1,117.8",2022-07-02T12:00:00,90.8,93.8,66.5,44.93,0,0,,0,0,2.9,3.8,121.4,1007,0.6,15,928,3.3,9,10,Clear,clear-day,remote
"38.1,117.8",2022-07-02T13:00:00,92.4,95.3,65.9,41.92,0,0,,0,0,3.4,4,120.9,1006,2.3,15,940,3.4,9,10,Clear,clear-day,remote
"38.1,117.8",2022-07-02T14:00:00,93.5,101,71.3,48.79,0,0,,0,0,8.9,2.2,90,1006.5,5.4,10.6,895,3.2,9,10,Clear,clear-day,54725099999
"38.1,117.8",2022-07-02T15:00:00,93.6,96.7,65.9,40.32,0,0,,0,0,5.4,6.9,71.4,1005,5,15,798,2.9,8,10,Clear,clear-day,remote
"38.1,117.8",2022-07-02T16:00:00,93.3,97,67,42.32,0,0,,0,0,8.3,8.7,58.9,1005,5.6,15,660,2.4,7,10,Clear,clear-day,remote
"38.1,117.8",2022-07-02T17:00:00,93.8,100.2,70.1,46.23,0,0,,0,0,8.9,2.2,120,1004.8,39.2,11.2,486,1.7,5,30,Partially cloudy,partly-cloudy-day,54725099999
"38.1,117.8",2022-07-02T18:00:00,86.4,91.5,70.2,58.64,0,0,,0,0,13.2,13.4,58.4,1005,75.4,15,295,1.1,3,30,Partially cloudy,partly-cloudy-day,remote
"38.1,117.8",2022-07-02T19:00:00,85.4,90.3,70.4,61.07,0,0,,0,0,14.8,12.1,70.3,1005,100,15,108,0.4,1,30,Overcast,cloudy,remote
"38.1,117.8",2022-07-02T20:00:00,87.5,97.7,75.5,67.56,0,0,,0,0,8.9,4.5,90,1005.5,99.7,6.8,9,0,0,30,Overcast,cloudy,54725099999
"38.1,117.8",2022-07-02T21:00:00,84.5,90.3,72.1,66.41,0,0,,0,0,20.1,12.3,83.5,1006,100,15,0,,0,30,Overcast,cloudy,remote
"38.1,117.8",2022-07-02T22:00:00,84.6,90.3,71.7,65.23,0.004,100,rain,0,0,19.9,11.6,97.3,1006,100,13.7,0,,0,30,"Rain, Overcast",rain,remote
"38.1,117.8",2022-07-02T23:00:00,83.4,88.7,71.9,68.34,0.008,100,rain,0,0,21.5,11.6,111.2,1006,100,15,0,,0,30,"Rain, Overcast",rain,remote
"38.1,117.8",2022-07-03T00:00:00,83,89.2,73.3,72.58,0,0,,0,0,18.1,9.8,116.5,1006,100,15,0,,0,30,Overcast,cloudy,remote
"38.1,117.8",2022-07-03T01:00:00,83,89.8,74.2,74.81,0,0,,0,0,16.8,9.6,127.1,1005,100,15,0,,0,60,Overcast,cloudy,remote
