name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"38.1,118.5",2022-07-01T00:00:00,77.6,77.6,68.6,73.86,0,0,,0,0,11.4,8.7,230.2,1006,100,15,0,,0,10,Overcast,cloudy,remote
"38.1,118.5",2022-07-01T01:00:00,77.6,77.6,65.9,67.29,0,0,,0,0,8.1,5.4,251.8,1006,100,15,0,,0,3,Overcast,cloudy,remote
"38.1,118.5",2022-07-01T02:00:00,77.3,77.3,65.6,67.25,0,0,,0,0,11.6,5.4,198.9,1006,71.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"38.1,118.5",2022-07-01T03:00:00,75.3,75.3,65.6,71.82,0,0,,0,0,12.5,6.7,168.8,1007,100,15,0,,0,3,Overcast,cloudy,remote
"38.1,118.5",2022-07-01T04:00:00,74.7,74.7,65.4,72.68,0,0,,0,0,10.7,6.3,157.4,1006,94.1,15,0,,0,10,Overcast,cloudy,remote
"38.1,118.5",2022-07-01T05:00:00,74.2,74.2,66.5,76.83,0,0,,0,0,8.3,5.1,176.7,1007,6.5,15,0,,0,10,Clear,clear-day,remote
"38.1,118.5",2022-07-01T06:00:00,74.7,74.7,67,76.87,0,0,,0,0,8.5,6.5,183,1007,81.2,15,61,0.2,1,3,Partially cloudy,partly-cloudy-day,remote
"38.1,118.5",2022-07-01T07:00:00,76.2,76.2,66.6,72.36,0,0,,0,0,6.9,5.6,187.6,1007,13.5,15,208,0.7,2,3,Clear,clear-day,remote
"38.1,118.5",2022-07-01T08:00:00,78.7,78.7,65.9,64.94,0,0,,0,0,7.6,6.3,172.9,1008,46.4,15,411,1.5,4,3,Partially cloudy,partly-cloudy-day,remote
"38.1,118.5",2022-07-01T09:00:00,81.1,82.9,65.2,58.66,0,0,,0,0,7.2,6,173.6,1008,17.3,15,587,2.1,6,10,Clear,clear-day,remote
"38.1,118.5",2022-07-01T10:00:00,83.2,85.1,65.4,55.04,0,0,,0,0,6.5,5.4,166.3,1008,5,15,742,2.7,7,10,Clear,clear-day,remote
"38.1,118.5",2022-07-01T11:00:00,85,87.1,65.7,52.6,0,0,,0,0,6,4.7,168.5,1007,5.4,15,857,3.1,9,10,Clear,clear-day,remote
"38.1,118.5",2022-07-01T12:00:00,86.8,89.1,65.9,49.97,0,0,,0,0,6,3.4,189.1,1007,66.2,15,918,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"38.1,118.5",2022-07-01T13:00:00,88.2,90.9,66.3,48.34,0.004,100,rain,0,0,7.4,4,228.6,1006,92.5,13.8,796,2.9,8,10,"Rain, Overcast",rain,remote
"38.1,118.5",2022-07-01T14:00:00,89.1,92.2,66.8,47.87,0,0,,0,0,8.7,7.2,271.3,1006,97.5,13.6,504,1.8,5,30,Overcast,cloudy,remote
"38.1,118.5",2022-07-01T15:00:00,87.3,90.6,67.6,51.95,0,0,,0,0,9.2,8.5,325.4,1006,94.2,15,385,1.4,4,30,Overcast,cloudy,remote
"38.1,118.5",2022-07-01T16:00:00,85.7,89.3,68.3,56.07,0,0,,0,0,8.1,10.3,345.3,1006,31.6,15,377,1.4,4,30,Partially cloudy,partly-cloudy-day,remote
