name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.6,117.56",2022-07-01T00:00:00,73.5,73.5,68.6,84.79,0,0,,0,0,8.1,4.3,154,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.6,117.56",2022-07-01T01:00:00,73.5,73.5,68.6,84.79,0,0,,0,0,7.8,4.3,233.6,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.6,117.56",2022-07-01T02:00:00,71.3,71.3,71.3,100,0.004,100,rain,0,0,20.1,0,252.1,1006.8,100,2.5,0,,0,3,"Rain, Overcast",rain,54725099999
"37.6,117.56",2022-07-01T03:00:00,73.8,73.8,69.9,87.46,0,0,,0,0,6.3,3.6,269.5,1006,98.7,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-01T04:00:00,73.5,73.5,69.9,88.52,0,0,,0,0,0.9,0.4,36.4,1007,67.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.6,117.56",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,20.1,0,59.3,1007.2,99.8,1.9,0,,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-01T06:00:00,74.6,74.6,69.3,83.81,0,0,,0,0,0.9,0.9,121.7,1007,62.3,15,43,0.2,0,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-01T07:00:00,76.4,76.4,69,77.97,0,0,,0,0,0.4,0.9,131,1007,23.5,15,192,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-01T08:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,11.2,2.2,270,1008.2,12.2,4.3,389,1.4,4,10,Clear,clear-day,54725099999
"37.6,117.56",2022-07-01T09:00:00,81.2,83.9,67.7,63.64,0,0,,0,0,2.2,2.9,184.1,1008,5,15,572,2.1,6,10,Clear,clear-day,remote
"37.6,117.56",2022-07-01T10:00:00,83.9,86.8,67.4,57.59,0,0,,0,0,1.8,2.2,225.6,1008,2.2,15,731,2.6,7,10,Clear,clear-day,remote
"37.6,117.56",2022-07-01T11:00:00,83.9,90.3,73.1,70.08,0,0,,0,0,11.2,2.2,350,1008.5,1.7,9.9,851,3.1,9,10,Clear,clear-day,54725099999
"37.6,117.56",2022-07-01T12:00:00,88.1,91.3,67.4,50.46,0,0,,0,0,3.4,2.7,181.7,1007,24.6,15,919,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-01T13:00:00,89.1,92.3,67,48.17,0,0,,0,0,4.9,4,196.6,1006,42.6,15,929,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-01T14:00:00,87.9,94.1,71.3,58.11,0,0,,0,0,8.9,4.5,150,1007.3,97.3,16.8,864,3.1,9,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-01T15:00:00,87.9,89.9,65.2,47.09,0,0,,0,0,4.5,1.6,231.5,1006,91.9,15,207,0.7,2,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-01T16:00:00,88.4,90,64.5,45.15,0,0,,0,0,4.3,1.8,41.5,1006,28.4,15,314,1.1,3,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-01T17:00:00,89.9,95.4,70.1,52.3,0,0,,0,0,8.9,0,34.4,1006,21.8,16.8,462,1.7,5,10,Partially cloudy,partly-cloudy-day,54725099999
"37.6,117.56",2022-07-01T18:00:00,88.8,90.2,64.1,44.08,0,0,,0,0,4.3,2.5,30.5,1005,0.4,15,284,1,3,10,Clear,clear-day,remote
"37.6,117.56",2022-07-01T19:00:00,86.1,88.5,66.3,51.77,0,0,,0,0,4.3,4,59.4,1006,4.9,15,115,0.4,1,10,Clear,clear-day,remote
"37.6,117.56",2022-07-01T20:00:00,81.2,87.7,75.8,83.72,0,0,,0,0,8.9,0,72.4,1006.9,2.8,9.9,9,0,0,10,Clear,clear-night,54725099999
"37.6,117.56",2022-07-01T21:00:00,81.4,83.9,67.2,62.1,0,0,,0,0,5.1,4.9,67.3,1007,1.3,15,0,,0,10,Clear,clear-night,remote
"37.6,117.56",2022-07-01T22:00:00,80.5,83,67.4,64.35,0,0,,0,0,4.5,4.5,76.7,1007,0.1,15,0,,0,10,Clear,clear-night,remote
"37.6,117.56",2022-07-01T23:00:00,80,80,67.6,65.9,0,0,,0,0,4.3,4.3,101.3,1008,0,15,0,,0,10,Clear,clear-night,remote
"37.6,117.56",2022-07-02T00:00:00,78.5,78.5,67.9,69.95,0.028,100,rain,0,0,3.8,3.8,154.1,1008,1.8,15,0,,0,10,Rain,rain,remote
"37.6,117.56",2022-07-02T01:00:00,78.3,78.3,67.9,70.37,0,0,,0,0,3.6,3.4,147.6,1007,3.1,15,0,,0,3,Clear,clear-night,remote
"37.6,117.56",2022-07-02T02:00:00,73.5,73.5,73.5,100,0,0,,0,0,13.4,0,77.3,1007.8,4.8,1.9,0,,0,3,Clear,clear-night,54725099999
"37.6,117.56",2022-07-02T03:00:00,77.4,77.4,67.6,71.59,0,0,,0,0,2.5,2.5,95.6,1007,2.2,15,0,,0,3,Clear,clear-night,remote
"37.6,117.56",2022-07-02T04:00:00,76.9,76.9,67.6,72.88,0,0,,0,0,2,2,87.9,1007,0,15,0,,0,10,Clear,clear-night,remote
"37.6,117.56",2022-07-02T05:00:00,74,74,74,100,0,0,,0,0,13.4,2.2,100,1008.4,0,1.2,0,,0,3,Clear,clear-day,54725099999
"37.6,117.56",2022-07-02T06:00:00,77.6,77.6,68.6,73.86,0,0,,0,0,4,3.4,76.3,1008,0,15,48,0.2,0,3,Clear,clear-day,remote
"37.6,117.56",2022-07-02T07:00:00,80.5,83.4,68.6,67.2,0,0,,0,0,3.6,3.4,74.4,1008,0,15,210,0.8,2,10,Clear,clear-day,remote
"37.6,117.56",2022-07-02T08:00:00,82.7,90.9,76.4,81.34,0,0,,0,0,13.4,2.2,190,1008.5,0,3.1,400,1.4,4,30,Clear,clear-day,54725099999
"37.6,117.56",2022-07-02T09:00:00,85.9,89.8,68.8,56.79,0,0,,0,0,2.7,3.6,114.3,1008,0,15,584,2.1,6,10,Clear,clear-day,remote
"37.6,117.56",2022-07-02T10:00:00,88.8,93,68.6,51.51,0,0,,0,0,1.3,2,119,1008,0.2,15,742,2.7,7,10,Clear,clear-day,remote
"37.6,117.56",2022-07-02T11:00:00,90.8,98.1,71.9,54.05,0,0,,0,0,8.9,4.5,180,1008.3,0,9.9,860,3.1,9,10,Clear,clear-day,54725099999
"37.6,117.56",2022-07-02T12:00:00,92.9,96.9,67.4,43.33,0,0,,0,0,2.2,2.7,137.7,1007,2.4,15,929,3.3,9,10,Clear,clear-day,remote
"37.6,117.56",2022-07-02T13:00:00,94.4,97.9,66.5,40.17,0,0,,0,0,3.1,3.4,148.3,1006,5.8,15,943,3.4,9,10,Clear,clear-day,remote
"37.6,117.56",2022-07-02T14:00:00,93.5,101,71.3,48.79,0,0,,0,0,8.9,2.2,90,1006.5,5,10.6,900,3.2,9,10,Clear,clear-day,54725099999
"37.6,117.56",2022-07-02T15:00:00,95.4,98,64.7,36.5,0,0,,0,0,2.7,2.5,151.8,1005,11,15,804,2.9,8,10,Clear,clear-day,remote
"37.6,117.56",2022-07-02T16:00:00,95.1,97.2,64.1,36.22,0,0,,0,0,3.6,3.1,191,1005,99.2,15,662,2.4,7,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-02T17:00:00,93.8,100.2,70.1,46.23,0,0,,0,0,8.9,2.2,120,1004.8,69,11.2,465,1.7,5,10,Partially cloudy,partly-cloudy-day,54725099999
"37.6,117.56",2022-07-02T18:00:00,93.6,95.8,64.5,38.35,0,0,,0,0,4,1.1,122.1,1004,100,15,292,1.1,3,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-02T19:00:00,91.5,94.8,66.8,44.48,0,0,,0,0,2,1.3,357.2,1004,100,15,94,0.3,1,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-02T20:00:00,87.5,97.7,75.5,67.56,0,0,,0,0,8.9,4.5,90,1005.5,100,6.8,8,0,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-02T21:00:00,87.3,91.4,68.6,53.91,0,0,,0,0,6.3,3.6,77,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-02T22:00:00,86.8,91.2,69.3,56.22,0,0,,0,0,2.9,2.5,98.6,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-02T23:00:00,86.3,90.1,68.6,55.8,0,0,,0,0,7.2,5.8,131.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T00:00:00,84.6,89,69.9,61.36,0,0,,0,0,10.1,6.5,132.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T01:00:00,84.1,88.7,70.4,63.59,0,0,,0,0,12.3,6.3,161,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T02:00:00,81.8,89.7,77.1,85.77,0,0,,0,0,11.2,4.5,140,1005.7,100,5,0,,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-03T03:00:00,83,88,71.5,68.3,0,0,,0,0,13.2,5.8,188.9,1005,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T04:00:00,81.8,86.2,71.3,70.72,0,0,,0,0,6.7,4.3,217.5,1005,100,10.9,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T05:00:00,79.4,79.4,77.6,94.25,0,0,,0,0,11.2,4.5,150,1005.5,100,3.7,0,,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-03T06:00:00,79.8,79.8,72.2,77.77,0,0,,0,0,14.3,5.6,235.6,1005,100,15,34,0.1,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T07:00:00,81.6,86.6,72.8,74.68,0,0,,0,0,8.9,4.7,267.5,1005,100,15,76,0.3,1,30,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T08:00:00,80.9,87.5,76.7,87.27,0,0,rain,0,0,11.2,4.5,280,1005.7,100,3.1,155,0.6,2,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-03T09:00:00,81.9,86.9,72.2,72.48,0,0,,0,0,3.6,2.9,329.7,1006,100,15,118,0.4,1,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T10:00:00,83.6,88.8,71.7,67.53,0,0,,0,0,1.8,1.6,47.4,1006,100,15,222,0.8,2,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T11:00:00,83.4,93.7,78,83.85,0,0,,0,0,11.2,2.2,90,1005.9,100,3.1,96,0.3,1,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-03T12:00:00,83.2,88.6,72.1,69.16,0,0,,0,0,1.1,0.7,189.6,1005,100,15,129,0.5,1,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T13:00:00,84.3,90.1,72.1,66.8,0,0,,0,0,1.6,1.6,155.9,1005,100,15,265,1,3,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T14:00:00,83.9,96.3,79.4,86.4,0,0,,0,0,8.9,2.2,140,1005.2,100,3.1,345,1.2,3,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-03T15:00:00,83.9,89.3,71.7,66.76,0,0,,0,0,6.7,5.8,116.1,1004,100,15,126,0.5,1,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T16:00:00,81.9,86.7,71.9,71.6,0,0,,0,0,8.3,5.1,105.7,1004,100,15,61,0.2,1,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T17:00:00,84.5,96.7,78.9,83.42,0.004,100,rain,0,0,8.9,2.2,70,1003.3,100,3.1,58,0.2,1,10,"Rain, Overcast",rain,54725099999
"37.6,117.56",2022-07-03T18:00:00,80.7,85.4,73.1,77.84,0,0,,0,0,15.4,7.4,119,1004,99.2,15,23,0.1,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T19:00:00,79.8,79.8,74,82.62,0,0,,0,0,14.5,7.4,122.9,1004,74.9,15,14,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-03T20:00:00,82.7,93.6,79.4,89.98,0,0,,0,0,8.9,2.2,80,1003.3,53.4,3.1,8,0,0,10,Partially cloudy,partly-cloudy-night,54725099999
"37.6,117.56",2022-07-03T21:00:00,79.2,79.2,72.6,80.12,0,0,,0,0,8.5,5.4,126.4,1003,79.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.6,117.56",2022-07-03T22:00:00,78.9,78.9,72.1,79.61,0,0,,0,0,8.5,5.4,139.2,1003,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-03T23:00:00,77.8,77.8,72.8,84.52,0,0,rain,0,0,10.3,5.4,132.7,1003,99.6,9.9,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T00:00:00,77.8,77.8,73.8,87.65,0,0,,0,0,6.5,3.6,130.3,1003,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T01:00:00,77.4,77.4,74,89.24,0,0,,0,0,5.1,3.6,134.4,1003,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T02:00:00,79.8,79.8,75.8,87.75,0,0,rain,0,0,11.2,4.5,150,1002.5,100,13,0,,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-04T03:00:00,76.9,76.9,74.4,91.95,0,0,,0,0,8.3,5.6,95.7,1001,100,13.4,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T04:00:00,76.6,76.6,74.2,92.49,0,0,,0,0,10.7,6.3,123.7,1001,100,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T05:00:00,78.2,78.2,75.8,92.54,0,0,,0,0,11.2,2.2,190,1002.4,99.4,8.1,0,,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-04T06:00:00,76.7,76.7,73.7,90.29,0,0,,0,0,15.2,8.3,125.9,1001,100,15,41,0.1,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T07:00:00,77.8,77.8,73.5,86.6,0,0,,0,0,9.6,4.9,133.3,1002,45.8,15,66,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-04T08:00:00,78.2,78.2,77.3,97.07,0.079,100,rain,0,0,11.2,2.2,130,1003,13,4.3,328,1.2,3,10,Rain,rain,54725099999
"37.6,117.56",2022-07-04T09:00:00,83,89.7,74,74.36,0,0,,0,0,12.1,10.1,137.9,1002,32,15,555,2,6,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-04T10:00:00,85.6,93.4,74,68.57,0,0,,0,0,15.2,11.9,169.1,1002,99.7,15,683,2.5,7,30,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T11:00:00,84.8,96.5,78.2,80.53,0,0,rain,0,0,11.2,4.5,120,1003,100,3.1,118,0.4,1,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-04T12:00:00,77.8,77.8,73.8,87.65,0,0,rain,0,0,9.8,5.4,137.5,1002,81.4,11.6,40,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-04T13:00:00,82.5,88.1,72.9,72.97,0,0,,0,0,12.3,6.9,149.1,1001,6.7,15,484,1.7,5,10,Clear,clear-day,remote
"37.6,117.56",2022-07-04T14:00:00,87.5,102.9,79.4,77.01,0,0,,0,0,13.4,2.2,210,1002,0,6.8,874,3.1,9,10,Clear,clear-day,54725099999
"37.6,117.56",2022-07-04T15:00:00,89.7,97.3,72.4,56.95,0,0,,0,0,13.2,8.5,188,1001,10.9,15,787,2.8,8,10,Clear,clear-day,remote
"37.6,117.56",2022-07-04T16:00:00,90.4,99,73.1,57.04,0,0,rain,0,0,11,8.7,209.4,1000,45.2,13.5,638,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-04T17:00:00,90.2,104.3,77.6,66.65,0,0,rain,0,0,13.4,4.5,120,1001,28.4,8.1,417,1.5,4,30,Partially cloudy,partly-cloudy-day,54725099999
"37.6,117.56",2022-07-04T18:00:00,87.2,95.8,74.2,65.52,0,0,rain,0,0,6.7,4,204.5,1000,27.6,4.3,249,0.9,2,30,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-04T19:00:00,84.5,92.2,74.4,71.85,0,0,,0,0,4.9,4.5,196.6,1000,21.9,11.6,99,0.4,1,10,Partially cloudy,partly-cloudy-day,remote
"37.6,117.56",2022-07-04T20:00:00,85.4,96.4,77.3,76.83,0,0,,0,0,13.4,4.5,120,1001.7,64,7.5,8,0,0,10,Partially cloudy,partly-cloudy-night,54725099999
"37.6,117.56",2022-07-04T21:00:00,81.9,87.7,73.7,76.08,0,0,,0,0,6.7,5.8,157.3,1002,97.7,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T22:00:00,81.6,87.1,73.7,76.98,0,0,,0,0,9.2,5.8,175.4,1002,93,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-04T23:00:00,80.7,85.7,73.8,79.75,0,0,,0,0,10.5,6,179.2,1003,63.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.6,117.56",2022-07-05T00:00:00,80,80,74.4,83.14,0,0,rain,0,0,9.6,5.6,182.9,1003,91.5,15,0,,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-05T01:00:00,80.3,85.4,74.7,83.16,0.004,100,rain,0,0,7.4,5.4,174.9,1003,92.4,14.2,0,,0,10,"Rain, Overcast",rain,remote
"37.6,117.56",2022-07-05T02:00:00,79.4,79.4,76.2,89.86,0,0,rain,0,0,11.2,2.2,160,1003.5,100,6.2,0,,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-05T03:00:00,79.8,79.8,73.8,82.13,0.016,100,rain,0,0,3.4,3.1,178.3,1002,100,14.5,0,,0,10,"Rain, Overcast",rain,remote
"37.6,117.56",2022-07-05T04:00:00,78.2,78.2,73.7,86.09,0.055,100,rain,0,0,5.4,4.5,181.1,1003,94.8,13.4,0,,0,10,"Rain, Overcast",rain,remote
"37.6,117.56",2022-07-05T05:00:00,76.7,76.7,76.2,98.22,0,0,,0,0,8.9,2.2,150,1003.4,100,3.1,0,,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-05T06:00:00,78.7,78.7,74.2,86.12,0,0,,0,0,2.7,2.2,183,1003,100,15,24,0.1,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-05T07:00:00,79.8,79.8,74.6,84.13,0,0,,0,0,2.5,1.8,206.6,1003,91.3,15,79,0.3,1,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-05T08:00:00,81.6,89.7,77.6,87.83,0,0,,0,0,8.9,2.2,130,1003.3,100,3.7,300,1.1,3,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-05T09:00:00,84.3,91.6,74,71.4,0,0,,0,0,4,4.3,149.9,1003,100,15,466,1.7,5,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-05T10:00:00,86.3,94.4,74,67.02,0.004,100,rain,0,0,4.5,4.5,142.8,1003,100,15,650,2.3,7,30,"Rain, Overcast",rain,remote
"37.6,117.56",2022-07-05T11:00:00,87.5,98.5,76.2,69.2,0,0,,0,0,6.7,2.2,120,1002.7,100,9.3,743,2.7,7,30,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-05T12:00:00,87.9,96.4,73.8,63.27,0.02,100,rain,0,0,6.5,6.5,150.3,1002,100,9.7,554,2,6,10,"Rain, Overcast",rain,remote
"37.6,117.56",2022-07-05T13:00:00,88.2,96.9,73.8,62.55,0.004,100,rain,0,0,6.3,5.6,153.7,1002,100,15,537,1.9,5,10,"Rain, Overcast",rain,remote
"37.6,117.56",2022-07-05T14:00:00,89,101.3,76.7,67.31,0,0,,0,0,11.2,6.7,130,1001.3,100,8.1,562,2,6,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-05T15:00:00,87.3,95.2,73.3,63.2,0,0,,0,0,9.6,9.2,168,1001,100,11.8,324,1.2,3,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-05T16:00:00,82.8,89.5,74.2,75.25,0.039,100,rain,0,0,15.4,10.3,178.3,1002,100,15,152,0.5,2,10,"Rain, Overcast",rain,remote
"37.6,117.56",2022-07-05T17:00:00,88.4,99.4,75.8,66.45,0,0,,0,0,13.4,4.5,150,1000.3,100,8.1,21,0.1,0,10,Overcast,cloudy,54725099999
"37.6,117.56",2022-07-05T18:00:00,80,80,74.4,83.14,0,0,,0,0,16.6,8.1,188.8,1002,100,15,20,0.1,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-05T19:00:00,79.4,79.4,74.4,84.62,0,0,,0,0,16.1,7.8,182.8,1002,100,15,11,0,0,10,Overcast,cloudy,remote
"37.6,117.56",2022-07-05T20:00:00,83.6,94.6,78.5,84.86,0,0,rain,0,0,13.4,6.7,150,1001.8,100,9.3,1,0,0,10,Overcast,cloudy,54725099999
