name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.88,118.19",2022-07-01T00:00:00,77.6,77.6,68.4,73.41,0,0,,0,0,12.5,8.3,205.7,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T01:00:00,76.9,76.9,66.1,69.35,0,0,,0,0,7.6,4.9,244.8,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T02:00:00,71.3,71.3,71.3,100,0.004,100,rain,0,0,20.1,0,205.1,1006.8,49.1,2.5,0,,0,3,"Rain, Partially cloudy",rain,54725099999
"37.88,118.19",2022-07-01T03:00:00,74.9,74.9,66.5,75,0,0,,0,0,7.6,5.1,165.4,1007,82,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.88,118.19",2022-07-01T04:00:00,74,74,66.8,78.26,0,0,,0,0,6.3,4.5,161.5,1006,94.2,15,0,,0,3,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,20.1,0,185.3,1007.2,68.2,1.9,0,,0,3,Partially cloudy,partly-cloudy-day,54725099999
"37.88,118.19",2022-07-01T06:00:00,74.2,74.2,67.2,78.76,0,0,,0,0,3.8,3.8,187,1007,96.5,15,51,0.2,1,3,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T07:00:00,76,76,66.8,73.25,0,0,,0,0,3.4,3.1,203.2,1007,87.9,15,202,0.7,2,3,Partially cloudy,partly-cloudy-day,remote
"37.88,118.19",2022-07-01T08:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,11.2,2.2,270,1008.2,46.6,4.3,376,1.4,4,3,Partially cloudy,partly-cloudy-day,54725099999
"37.88,118.19",2022-07-01T09:00:00,80.7,82.7,65.6,60.1,0,0,,0,0,5.1,4.5,189.4,1008,5,15,582,2.1,6,10,Clear,clear-day,remote
"37.88,118.19",2022-07-01T10:00:00,83.2,85,65,54.35,0,0,,0,0,5.1,4.7,194.5,1008,5,15,742,2.7,7,10,Clear,clear-day,remote
"37.88,118.19",2022-07-01T11:00:00,83.9,90.3,73.1,70.08,0,0,,0,0,11.2,2.2,350,1008.5,5,9.9,857,3.1,9,10,Clear,clear-day,54725099999
"37.88,118.19",2022-07-01T12:00:00,87.2,88.6,64.3,46.69,0,0,,0,0,4.7,4,200.5,1007,5.9,15,921,3.3,9,10,Clear,clear-day,remote
"37.88,118.19",2022-07-01T13:00:00,88.4,90,64.5,45.15,0,0,,0,0,4,2.5,211.7,1006,18.2,15,931,3.4,9,10,Clear,clear-day,remote
"37.88,118.19",2022-07-01T14:00:00,87.9,94.1,71.3,58.11,0,0,,0,0,8.9,4.5,150,1007.3,76.2,16.8,878,3.2,9,10,Partially cloudy,partly-cloudy-day,54725099999
"37.88,118.19",2022-07-01T15:00:00,88.1,90.6,66.1,48.31,0,0,,0,0,6.5,4,29.3,1006,96.3,15,611,2.2,6,10,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T16:00:00,85.2,88.3,67.6,55.65,0,0,,0,0,6.7,9.8,36.5,1006,99.6,15,248,0.9,2,30,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T17:00:00,89.9,95.4,70.1,52.3,0,0,,0,0,8.9,0,39.2,1006,98.2,16.8,171,0.6,2,10,Overcast,cloudy,54725099999
"37.88,118.19",2022-07-01T18:00:00,82.8,86.3,68.8,62.66,0,0,,0,0,7.6,8.9,39.5,1006,95.5,15,143,0.5,1,30,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T19:00:00,82.8,86.6,69.3,63.83,0,0,,0,0,6.5,6.9,27.8,1006,99.2,15,43,0.2,0,30,Overcast,cloudy,remote
"37.88,118.19",2022-07-01T20:00:00,81.2,87.7,75.8,83.72,0,0,,0,0,8.9,0,30.2,1006.9,63.5,9.9,3,0,0,30,Partially cloudy,partly-cloudy-night,54725099999
"37.88,118.19",2022-07-01T21:00:00,83,86.8,69.3,63.46,0,0,,0,0,1.6,2.2,3,1007,3.6,15,0,,0,30,Clear,clear-night,remote
"37.88,118.19",2022-07-01T22:00:00,81.9,85.6,69.7,66.53,0,0,,0,0,3.1,3.1,311.2,1007,3.4,15,0,,0,30,Clear,clear-night,remote
"37.88,118.19",2022-07-01T23:00:00,81.6,85.3,70.1,68.15,0,0,,0,0,2.2,2,315.4,1008,3.4,15,0,,0,30,Clear,clear-night,remote
"37.88,118.19",2022-07-02T00:00:00,81.2,84.9,70.2,69.37,0,0,,0,0,1.1,0.9,222.1,1008,5,15,0,,0,30,Clear,clear-night,remote
"37.88,118.19",2022-07-02T01:00:00,80.5,83.8,69.9,70.16,0,0,,0,0,2.2,2,195,1007,61.1,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.88,118.19",2022-07-02T02:00:00,73.5,73.5,73.5,100,0,0,,0,0,13.4,0,321.4,1007.8,4.8,1.9,0,,0,30,Clear,clear-night,54725099999
"37.88,118.19",2022-07-02T03:00:00,79.1,79.1,69.5,72.64,0,0,,0,0,2.9,2.7,358.4,1007,30.6,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.88,118.19",2022-07-02T04:00:00,78.3,78.3,69.7,74.84,0,0,,0,0,1.8,1.6,353.1,1007,99.2,15,0,,0,30,Overcast,cloudy,remote
"37.88,118.19",2022-07-02T05:00:00,74,74,74,100,0,0,,0,0,13.4,2.2,100,1008.4,49.5,1.2,0,,0,10,Partially cloudy,partly-cloudy-day,54725099999
"37.88,118.19",2022-07-02T06:00:00,79.2,79.2,69.3,71.77,0,0,,0,0,3.8,3.6,5.7,1008,10.1,15,57,0.2,1,10,Clear,clear-day,remote
"37.88,118.19",2022-07-02T07:00:00,81.1,83.9,68.3,65.21,0,0,,0,0,3.4,3.6,7.5,1008,33,15,220,0.8,2,10,Partially cloudy,partly-cloudy-day,remote
"37.88,118.19",2022-07-02T08:00:00,82.7,90.9,76.4,81.34,0,0,,0,0,13.4,2.2,190,1008.5,1.4,3.1,406,1.5,4,30,Clear,clear-day,54725099999
