name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"38.00294,118.061665",2022-07-01T00:00:00,76.9,76.9,68.6,75.64,0,0,,0,0,13.9,10.1,192.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-01T01:00:00,76,76,66.8,73.25,0,0,,0,0,5.4,4.5,232.5,1006,76.1,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"38.00294,118.061665",2022-07-01T02:00:00,71.3,71.3,71.3,100,0.004,100,rain,0,0,20.1,0,257.8,1006.8,73,2.5,0,,0,3,"Rain, Partially cloudy",rain,54725099999
"38.00294,118.061665",2022-07-01T03:00:00,75.5,75.5,67.2,75.51,0,0,,0,0,2.2,2.5,182.1,1006,97.9,15,0,,0,3,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-01T04:00:00,75.1,75.1,67.2,76.43,0,0,,0,0,1.1,1.6,178.2,1006,94.3,15,0,,0,3,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-01T05:00:00,71.7,71.7,71.7,100,0,0,,0,0,20.1,0,217.2,1007.2,100,1.9,0,,0,3,Overcast,cloudy,54725099999
"38.00294,118.061665",2022-07-01T06:00:00,75.6,75.6,66.8,74.14,0,0,,0,0,1.1,0.9,245.7,1007,86.9,15,51,0.2,1,3,Partially cloudy,partly-cloudy-day,remote
"38.00294,118.061665",2022-07-01T07:00:00,76.9,76.9,66.8,71.1,0,0,,0,0,1.1,0.4,228.4,1007,89.6,15,202,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"38.00294,118.061665",2022-07-01T08:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,11.2,2.2,270,1008.2,57.6,4.3,378,1.4,4,10,Partially cloudy,partly-cloudy-day,54725099999
"38.00294,118.061665",2022-07-01T09:00:00,80.5,82.5,65.7,60.84,0,0,,0,0,1.6,0,62.2,1008,7,15,572,2.1,6,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-01T10:00:00,82.3,84.2,65.2,56.31,0,0,,0,0,1.3,0.9,270.2,1008,12.4,15,739,2.7,7,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-01T11:00:00,83.9,90.3,73.1,70.08,0,0,,0,0,11.2,2.2,350,1008.5,5,9.9,854,3.1,9,10,Clear,clear-day,54725099999
"38.00294,118.061665",2022-07-01T12:00:00,86.1,87.7,64.7,48.94,0,0,,0,0,1.6,0.4,264.3,1007,4.9,15,921,3.3,9,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-01T13:00:00,87.7,89.3,64.5,46.19,0,0,,0,0,2.2,0.2,107.9,1007,4.3,15,932,3.4,9,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-01T14:00:00,87.9,94.1,71.3,58.11,0,0,,0,0,8.9,4.5,150,1007.3,75.1,16.8,886,3.2,9,10,Partially cloudy,partly-cloudy-day,54725099999
"38.00294,118.061665",2022-07-01T15:00:00,88.8,90.8,65.2,45.77,0,0,,0,0,3.6,0.7,127.3,1006,95.8,15,543,2,5,10,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-01T16:00:00,87.7,89.8,65.4,47.66,0,0,,0,0,4.9,4.3,23.3,1006,99,15,169,0.6,2,10,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-01T17:00:00,89.9,95.4,70.1,52.3,0,0,,0,0,8.9,0,39,1006,86.4,16.8,126,0.5,1,10,Partially cloudy,partly-cloudy-day,54725099999
"38.00294,118.061665",2022-07-01T18:00:00,84.8,87.9,67.6,56.3,0,0,,0,0,7.6,9.6,42.1,1006,51.9,15,156,0.6,2,30,Partially cloudy,partly-cloudy-day,remote
"38.00294,118.061665",2022-07-01T19:00:00,83.4,86.8,68.6,61.2,0,0,,0,0,9.6,10.1,44.8,1006,38.7,15,79,0.3,1,30,Partially cloudy,partly-cloudy-day,remote
"38.00294,118.061665",2022-07-01T20:00:00,81.2,87.7,75.8,83.72,0,0,,0,0,8.9,0,61.3,1006.9,2.4,9.9,7,0,0,30,Clear,clear-night,54725099999
"38.00294,118.061665",2022-07-01T21:00:00,81.9,85.5,69.3,65.72,0,0,,0,0,5.1,5.1,51.3,1007,0,15,0,,0,30,Clear,clear-night,remote
"38.00294,118.061665",2022-07-01T22:00:00,81.8,85.3,69.5,66.51,0,0,,0,0,3.4,3.8,22.3,1007,0,15,0,,0,30,Clear,clear-night,remote
"38.00294,118.061665",2022-07-01T23:00:00,81.4,85.1,70.1,68.55,0,0,,0,0,3.4,3.6,33.2,1008,0.3,15,0,,0,30,Clear,clear-night,remote
"38.00294,118.061665",2022-07-02T00:00:00,81.2,85,70.4,69.8,0,0,,0,0,2.2,2.2,62.9,1008,5,15,0,,0,30,Clear,clear-night,remote
"38.00294,118.061665",2022-07-02T01:00:00,80.9,84.5,70.4,70.62,0,0,,0,0,1.8,1.8,85.7,1007,5.7,15,0,,0,30,Clear,clear-night,remote
"38.00294,118.061665",2022-07-02T02:00:00,73.5,73.5,73.5,100,0,0,,0,0,13.4,0,25.8,1007.8,3.1,1.9,0,,0,30,Clear,clear-night,54725099999
"38.00294,118.061665",2022-07-02T03:00:00,79.2,79.2,69.7,72.66,0,0,,0,0,3.6,3.6,38.5,1007,100,15,0,,0,30,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-02T04:00:00,78.9,78.9,69.7,73.53,0,0,,0,0,2.2,2,57.1,1007,96.6,15,0,,0,30,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-02T05:00:00,74,74,74,100,0,0,,0,0,13.4,2.2,100,1008.4,35.3,1.2,0,,0,10,Partially cloudy,partly-cloudy-day,54725099999
"38.00294,118.061665",2022-07-02T06:00:00,79.2,79.2,69,70.89,0,0,,0,0,2.9,2.9,18.3,1008,42.7,15,54,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"38.00294,118.061665",2022-07-02T07:00:00,80.9,83.7,68.3,65.6,0,0,,0,0,2.9,3.4,16.5,1008,30.4,15,210,0.8,2,10,Partially cloudy,partly-cloudy-day,remote
"38.00294,118.061665",2022-07-02T08:00:00,82.7,90.9,76.4,81.34,0,0,,0,0,13.4,2.2,190,1008.5,0,3.1,401,1.4,4,10,Clear,clear-day,54725099999
"38.00294,118.061665",2022-07-02T09:00:00,84.8,88,67.7,56.65,0,0,,0,0,2.2,2.9,63.8,1008,0,15,588,2.1,6,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-02T10:00:00,86.6,89.6,67.2,52.5,0,0,,0,0,2,2.5,68.2,1008,0,15,744,2.7,7,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-02T11:00:00,90.8,98.1,71.9,54.05,0,0,,0,0,8.9,4.5,180,1008.3,0,9.9,860,3.1,9,10,Clear,clear-day,54725099999
"38.00294,118.061665",2022-07-02T12:00:00,90.2,93.2,66.5,45.7,0,0,,0,0,3.1,2.7,70.1,1007,0,15,927,3.3,9,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-02T13:00:00,91.8,94.8,66.1,42.9,0,0,,0,0,3.6,2.9,60.1,1007,0,15,939,3.4,9,10,Clear,clear-day,remote
"38.00294,118.061665",2022-07-02T14:00:00,93.5,101,71.3,48.79,0,0,,0,0,8.9,2.2,90,1006.5,5,10.6,892,3.2,9,30,Clear,clear-day,54725099999
"38.00294,118.061665",2022-07-02T15:00:00,92.9,96.9,67.4,43.33,0,0,,0,0,8.1,9.6,39.6,1006,5,15,794,2.9,8,30,Clear,clear-day,remote
"38.00294,118.061665",2022-07-02T16:00:00,91.1,96.2,69.2,48.76,0,0,,0,0,8.3,12.8,41.7,1005,5,15,655,2.4,7,30,Clear,clear-day,remote
"38.00294,118.061665",2022-07-02T17:00:00,93.8,100.2,70.1,46.23,0,0,,0,0,8.9,2.2,120,1004.8,6.3,11.2,482,1.7,5,30,Clear,clear-day,54725099999
"38.00294,118.061665",2022-07-02T18:00:00,86.3,91.4,70.4,59.34,0,0,,0,0,13,14.1,57.5,1005,28.3,15,292,1.1,3,30,Partially cloudy,partly-cloudy-day,remote
"38.00294,118.061665",2022-07-02T19:00:00,85.7,91,70.8,61.12,0,0,,0,0,14.5,13.9,66.7,1005,100,15,114,0.4,1,30,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-02T20:00:00,87.5,97.7,75.5,67.56,0,0,,0,0,8.9,4.5,90,1005.5,97.2,6.8,8,0,0,30,Overcast,cloudy,54725099999
"38.00294,118.061665",2022-07-02T21:00:00,85.6,91.6,71.9,63.76,0,0,,0,0,18.3,14.3,93.8,1006,100,15,0,,0,30,Overcast,cloudy,remote
"38.00294,118.061665",2022-07-02T22:00:00,84.8,90.4,71.5,64.46,0,0,,0,0,18.3,12.3,102.8,1006,100,15,0,,0,30,Overcast,cloudy,remote
