name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.007239,119.398601",2022-11-28T00:00:00,57.1,57.1,55.5,94.31,0,0,,0,0,13.4,6.9,163,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.007239,119.398601",2022-11-28T01:00:00,56.6,56.6,55.1,94.92,0,0,,0,0,15,7.6,159.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.007239,119.398601",2022-11-28T02:00:00,55.5,55.5,54.6,96.78,0,0,,0,0,9.8,6,163.2,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.007239,119.398601",2022-11-28T03:00:00,55.3,55.3,54.4,96.78,0,0,,0,0,10.3,7.6,243.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.007239,119.398601",2022-11-28T04:00:00,55.3,55.3,54.4,96.78,0,0,,0,0,8.3,6,272.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.007239,119.398601",2022-11-28T05:00:00,54.4,54.4,53.1,95.5,0.004,100,rain,0,0,12.1,8.5,308.9,1011,100,13.3,0,,0,10,"Rain, Overcast",rain,remote
"37.007239,119.398601",2022-11-28T06:00:00,53.5,53.5,52.2,95.48,0.028,100,rain,0,0,9.4,5.8,323.5,1010,100,5.7,0,,0,10,"Rain, Overcast",rain,remote
"37.007239,119.398601",2022-11-28T07:00:00,53.3,53.3,52.4,96.75,0.031,100,rain,0,0,3.4,2.9,292.5,1010,100,8.9,0,,0,10,"Rain, Overcast",rain,remote
"37.007239,119.398601",2022-11-28T08:00:00,53,53,52.2,97.39,0.087,100,rain,0,0,13.9,10.1,283.1,1012,100,8,2,0,0,10,"Rain, Overcast",rain,remote
"37.007239,119.398601",2022-11-28T09:00:00,53,53,51.2,93.59,0.016,95.2,rain,0,0,15.9,10.5,286.3,1012,100,15,10,0,0,10,"Rain, Overcast",rain,
"37.007239,119.398601",2022-11-28T10:00:00,52.8,52.8,51.3,94.83,0.028,95.2,rain,0,0,16.6,9.8,301.2,1012,100,15,13,0,0,10,"Rain, Overcast",rain,
"37.007239,119.398601",2022-11-28T11:00:00,53.5,53.5,51.9,94.22,0.004,95.2,rain,0,0,16.6,12.5,324.1,1013,100,15,57,0.2,1,10,"Rain, Overcast",rain,
"37.007239,119.398601",2022-11-28T12:00:00,52.2,52.2,50.4,93.57,0.004,95.2,rain,0,0,18.1,13.9,347.4,1013,100,15,23,0.1,0,10,"Rain, Overcast",rain,
"37.007239,119.398601",2022-11-28T13:00:00,51.7,51.7,49.2,91.08,0.004,95.2,rain,0,0,20.4,15.7,2.1,1013,100,15,15,0.1,0,10,"Rain, Overcast",rain,
"37.007239,119.398601",2022-11-28T14:00:00,50.4,50.4,47.2,88.6,0,95.2,rain,0,0,22.6,18.3,7.6,1013,100,15,25,0.1,0,10,"Rain, Overcast",rain,
"37.007239,119.398601",2022-11-28T15:00:00,49.9,43.9,45,83.31,0.004,0,rain,0,0,23,17.7,3.3,1014,100,15,50,0.2,1,10,Overcast,cloudy,
"37.007239,119.398601",2022-11-28T16:00:00,49,42.4,43.6,81.55,0,0,,0,0,25.1,19.7,0.2,1016,100,15,37,0.1,0,10,Overcast,cloudy,
"37.007239,119.398601",2022-11-28T17:00:00,48.1,41.2,43.6,84.34,0,0,,0,0,27.7,19.7,0.2,1017,100,15,4,0,0,10,Overcast,cloudy,
"37.007239,119.398601",2022-11-28T18:00:00,48.1,41.7,42.9,82.04,0,0,,0,0,25.7,17,1.4,1018,100,15,0,,0,10,Overcast,cloudy,
"37.007239,119.398601",2022-11-28T19:00:00,48.3,41.7,41.8,78.18,0,0,,0,0,25.9,18.3,5.2,1018,100,15,0,,0,10,Overcast,cloudy,
