name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.169754,118.501535",2022-11-28T00:00:00,53.1,53.1,52.1,96.11,0,0,,0,0,3.1,3.4,144.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T01:00:00,53.3,53.3,51.9,94.85,0,0,,0,0,3.8,4,159.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T02:00:00,52.6,52.6,51,94.2,0,0,,0,0,2.7,2.7,198.7,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T03:00:00,52.1,52.1,50.6,94.82,0,0,,0,0,1.3,1.3,180.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T04:00:00,51.9,51.9,50.6,95.45,0,0,,0,0,1.8,2,232.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T05:00:00,51.9,51.9,50.8,96.09,0,0,,0,0,4,4,8.8,1010,90.5,15,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T06:00:00,50.4,50.4,49.9,98.01,0,0,,0,0,2.5,2.5,52.6,1011,100,1.7,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T07:00:00,49.5,48.3,49.2,98.67,0,0,,0,0,4,4,42.8,1011,100,2,0,,0,10,Overcast,cloudy,remote
"36.169754,118.501535",2022-11-28T08:00:00,49.7,48.5,49.2,98.01,0.012,100,rain,0,0,4.3,4,11.5,1012,100,6.3,6,0,0,10,"Rain, Overcast",rain,remote
"36.169754,118.501535",2022-11-28T09:00:00,49,46.5,48.5,98,0.067,81,rain,0,0,7.4,6,19.8,1013,100,0.3,5,0,0,10,"Rain, Overcast",rain,
"36.169754,118.501535",2022-11-28T10:00:00,48.6,46.3,47.6,96.03,0.063,81,rain,0,0,7.2,5.6,350.5,1013,100,1.2,21,0.1,0,10,"Rain, Overcast",rain,
"36.169754,118.501535",2022-11-28T11:00:00,49.2,46.8,46.8,91.6,0.008,81,rain,0,0,6.9,5.8,1.6,1013,100,14.9,53,0.2,1,10,"Rain, Overcast",rain,
"36.169754,118.501535",2022-11-28T12:00:00,48.6,45.5,45.6,89.12,0.004,81,rain,0,0,12.5,7.2,355,1013,100,15,28,0.1,0,10,"Rain, Overcast",rain,
"36.169754,118.501535",2022-11-28T13:00:00,47.4,43.6,45,91.54,0.004,81,rain,0,0,18.6,8.1,353.9,1013,100,15,15,0.1,0,10,"Rain, Overcast",rain,
"36.169754,118.501535",2022-11-28T14:00:00,46.8,42.9,45.4,94.7,0,81,rain,0,0,21,8.1,355.2,1013,100,5.6,13,0,0,10,"Rain, Overcast",rain,
"36.169754,118.501535",2022-11-28T15:00:00,46.5,42,45.2,95.34,0,4.8,,0,0,22.4,9.2,353.9,1015,100,0.2,18,0.1,0,10,Overcast,fog,
"36.169754,118.501535",2022-11-28T16:00:00,45.9,40.4,44.7,95.33,0,4.8,,0,0,23,11.6,356.9,1015,100,0.2,10,0,0,10,Overcast,fog,
"36.169754,118.501535",2022-11-28T17:00:00,45.6,39.1,43.8,93.38,0,4.8,,0,0,25.5,14.8,7.1,1017,100,14.8,1,0,0,10,Overcast,cloudy,
"36.169754,118.501535",2022-11-28T18:00:00,44.7,37.9,42,90.18,0,4.8,,0,0,28.9,14.8,9.3,1017,100,15,0,,0,10,Overcast,cloudy,
"36.169754,118.501535",2022-11-28T19:00:00,44.1,37.1,41.8,91.42,0,4.8,,0,0,30,15.2,7.8,1018,100,15,0,,0,10,Overcast,cloudy,
"36.169754,118.501535",2022-11-28T20:00:00,44,37.1,40.5,87.67,0.004,4.8,rain,0,0,28,14.5,6.7,1019,100,15,0,,0,10,Overcast,cloudy,
"36.169754,118.501535",2022-11-28T21:00:00,44,37.6,38.9,82.32,0,0,,0,0,32,12.8,7.5,1019,100,15,0,,0,10,Overcast,cloudy,
