name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.861922,118.797415",2022-07-01T00:00:00,72.2,72.2,68.8,89.01,0,0,,0,0,10.3,6,168,1006,100,15,0,,0,5,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-01T01:00:00,72.1,72.1,69,90.11,0,0,,0,0,11.2,5.1,165,1006,18.4,15,0,,0,3,Clear,clear-night,remote
"36.861922,118.797415",2022-07-01T02:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,33.6,2.2,110,1007.2,5,3.7,0,,0,5,Clear,clear-night,54843099999
"36.861922,118.797415",2022-07-01T03:00:00,70.8,70.8,68.1,91.18,0,0,,0,0,9.4,5.1,185.6,1007,45.4,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"36.861922,118.797415",2022-07-01T04:00:00,70.6,70.6,67.7,90.61,0,0,,0,0,5.8,4.5,202.2,1007,13.2,15,0,,0,5,Clear,clear-night,remote
"36.861922,118.797415",2022-07-01T05:00:00,71.3,71.3,71,98.79,0,0,,0,0,17.9,2.2,140,1007.4,0.7,1.9,0,,0,5,Clear,clear-day,54843099999
"36.861922,118.797415",2022-07-01T06:00:00,72.4,72.4,68.1,86.31,0,0,,0,0,4.9,3.8,176.3,1008,0,15,54,0.2,1,5,Clear,clear-day,remote
"36.861922,118.797415",2022-07-01T07:00:00,75.1,75.1,68.1,78.83,0,0,,0,0,3.6,3.4,201.7,1008,27.9,15,216,0.8,2,3,Partially cloudy,partly-cloudy-day,remote
"36.861922,118.797415",2022-07-01T08:00:00,78,78,72.8,84.02,0,0,,0,0,13.4,6.7,180,1008.4,9.3,4.3,405,1.5,4,10,Clear,clear-day,54843099999
"36.861922,118.797415",2022-07-01T09:00:00,80.7,83.8,69.2,68.05,0,0,,0,0,3.8,3.8,132.1,1008,0,15,585,2.1,6,10,Clear,clear-day,remote
"36.861922,118.797415",2022-07-01T10:00:00,83,87.1,69.9,64.64,0,0,,0,0,4,4,141.1,1008,4.9,15,740,2.7,7,30,Clear,clear-day,remote
"36.861922,118.797415",2022-07-01T11:00:00,86.3,93.1,72.6,63.85,0,0,,0,0,11.2,4.5,160,1008.6,16.2,9.9,854,3.1,9,30,Clear,clear-day,54843099999
"36.861922,118.797415",2022-07-01T12:00:00,87.5,93.2,70.8,57.71,0,0,,0,0,7.6,4.5,182.1,1007,55.5,15,909,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"36.861922,118.797415",2022-07-01T13:00:00,88.4,94,70.4,55.41,0,0,,0,0,8.1,5.4,187.5,1007,76.1,14.1,801,2.9,8,30,Partially cloudy,partly-cloudy-day,remote
"36.861922,118.797415",2022-07-01T14:00:00,89.9,96.2,71,53.93,0,0,,0,0,11.2,4.5,200,1006.9,53.9,18,541,1.9,5,30,Partially cloudy,partly-cloudy-day,54843099999
"36.861922,118.797415",2022-07-01T15:00:00,90.1,95.5,69.9,51.69,0,0,,0,0,11.9,5.1,174.9,1006,84.4,15,644,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
"36.861922,118.797415",2022-07-01T16:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,9.4,5.6,159.7,1005,98.9,15,338,1.2,3,60,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-01T17:00:00,91.1,97.2,70.4,50.9,0,0,,0,0,11.2,4.5,260,1005.9,100,18.6,149,0.5,1,75,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-01T18:00:00,84.5,91.3,73.3,69.29,0,0,,0,0,5.1,2.2,225.1,1005,6.9,15,53,0.2,1,60,Clear,clear-day,remote
"36.861922,118.797415",2022-07-01T19:00:00,82.7,88.7,73.5,73.88,0,0,,0,0,4.7,2.7,320.3,1006,1.5,15,93,0.3,1,60,Clear,clear-day,remote
"36.861922,118.797415",2022-07-01T20:00:00,71.9,71.9,69,90.66,1.929,100,rain,0,0,29.1,4.5,60,1009,0.3,18.6,5,0,0,60,Rain,rain,54843099999
"36.861922,118.797415",2022-07-01T21:00:00,78.9,78.9,72.2,80.1,0,0,,0,0,1.8,0.9,107.7,1007,0,15,0,,0,60,Clear,clear-night,remote
"36.861922,118.797415",2022-07-01T22:00:00,78.3,78.3,72.2,81.53,0,0,,0,0,2.7,2.5,163,1007,0,15,0,,0,30,Clear,clear-night,remote
"36.861922,118.797415",2022-07-01T23:00:00,75.8,75.8,73.7,93.03,0.591,100,rain,0,0,29.1,2.2,90,1008.1,3.5,5.6,0,,0,60,Rain,rain,54843099999
"36.861922,118.797415",2022-07-02T00:00:00,78.2,78.2,72.1,81.52,0,0,,0,0,4.7,4.5,197.4,1008,4.7,15,0,,0,30,Clear,clear-night,remote
"36.861922,118.797415",2022-07-02T01:00:00,77.6,77.6,71.5,81.48,0,0,,0,0,5.4,4.9,183.1,1008,1.9,15,0,,0,30,Clear,clear-night,remote
"36.861922,118.797415",2022-07-02T02:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,29.1,4.5,150,1008.5,0,12.4,0,,0,30,Clear,clear-night,54843099999
"36.861922,118.797415",2022-07-02T03:00:00,76.4,76.4,70.4,81.9,0,0,,0,0,3.8,3.8,187.7,1007,4.1,15,0,,0,30,Clear,clear-night,remote
"36.861922,118.797415",2022-07-02T04:00:00,75.8,75.8,70.1,82.36,0,0,,0,0,4,4,200.7,1007,5,15,0,,0,30,Clear,clear-night,remote
"36.861922,118.797415",2022-07-02T05:00:00,74,74,71,90.19,0,0,,0,0,29.1,2.2,170,1008.6,2.9,9.9,0,,0,8,Clear,clear-day,54843099999
"36.861922,118.797415",2022-07-02T06:00:00,77.1,77.1,71.3,82.45,0.012,100,rain,0,0,3.4,2.7,222,1008,0,15,52,0.2,1,8,Rain,rain,remote
"36.861922,118.797415",2022-07-02T07:00:00,80.1,83.9,71.5,75.01,0,0,,0,0,2.5,2,206.5,1008,0,15,212,0.8,2,30,Clear,clear-day,remote
"36.861922,118.797415",2022-07-02T08:00:00,79.4,79.4,72.8,80.14,0,0,,0,0,15.7,4.5,170,1009.1,0,14.9,401,1.4,4,60,Clear,clear-day,54843099999
"36.861922,118.797415",2022-07-02T09:00:00,85.9,92.6,72.6,64.58,0,0,,0,0,3.6,3.1,151,1008,0,15,584,2.1,6,60,Clear,clear-day,remote
"36.861922,118.797415",2022-07-02T10:00:00,88.1,94.9,72.1,59.21,0,0,,0,0,5.1,4.9,144.9,1008,0,15,740,2.7,7,60,Clear,clear-day,remote
"36.861922,118.797415",2022-07-02T11:00:00,86.6,93,71.9,61.6,0,0,,0,0,13.4,4.5,160,1009.1,3.1,18.6,855,3.1,9,60,Clear,clear-day,54843099999
"36.861922,118.797415",2022-07-02T12:00:00,91.7,98.6,71.1,51.29,0.008,100,rain,0,0,6.7,5.8,129.6,1007,25.2,15,916,3.3,9,60,"Rain, Partially cloudy",rain,remote
"36.861922,118.797415",2022-07-02T13:00:00,93.1,100,70.8,48.44,0,0,,0,0,8.5,6.9,120.8,1006,54.6,15,920,3.3,9,60,Partially cloudy,partly-cloudy-day,remote
"36.861922,118.797415",2022-07-02T14:00:00,89.9,101.9,76.2,64.27,0,0,,0,0,15.7,8.9,120,1007.5,99.8,18.6,750,2.7,8,30,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-02T15:00:00,88.4,95.7,72.4,59.25,0,0,,0,0,9.2,6.5,96.2,1006,100,15,86,0.3,1,60,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-02T16:00:00,87,95.4,74,65.5,0,0,,0,0,15.9,8.9,108.2,1006,99.9,15,142,0.5,1,75,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-02T17:00:00,88.1,97.8,74.9,65.23,0,0,,0,0,17.9,8.9,140,1006.4,100,18.6,200,0.7,2,75,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-02T18:00:00,87,96,74.6,66.69,0,0,,0,0,19,11.2,140.9,1005,100,15,143,0.5,1,75,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-02T19:00:00,84.5,92.2,74.4,71.85,0,0,,0,0,22.8,13.9,153.4,1005,100,15,55,0.2,1,60,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-02T20:00:00,80.9,86.8,75.5,83.69,0,0,,0,0,17.9,6.7,150,1007.6,100,13.7,5,0,0,60,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-02T21:00:00,80,80,74.2,82.64,0,0,,0,0,22.6,11.9,155,1007,99.7,15,0,,0,30,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-02T22:00:00,78.5,78.5,73.5,84.57,0,0,,0,0,22.4,11.9,152.1,1007,99.3,15,0,,0,8,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-02T23:00:00,78.2,78.2,72.6,83.02,0,0,,0,0,17.9,8.9,150,1008.6,96.4,13.7,0,,0,3,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T00:00:00,77.4,77.4,71.9,82.97,0,0,,0,0,22.8,11.6,155.7,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T01:00:00,77.1,77.1,71.7,83.46,0,0,,0,0,22.6,11.4,157.4,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T02:00:00,76.7,76.7,72.2,86.02,0,0,,0,0,17.9,8.9,150,1007.9,100,11.8,0,,0,3,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T03:00:00,76,76,71.5,85.98,0,0,,0,0,18.8,9.2,154.1,1006,83.9,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.861922,118.797415",2022-07-03T04:00:00,75.3,75.3,71.5,88.06,0,0,,0,0,15.7,7.8,150.2,1006,100,15,0,,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T05:00:00,75.3,75.3,72.8,91.9,0,0,,0,0,17.9,4.5,140,1007.4,100,8.7,0,,0,3,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T06:00:00,76.2,76.2,72.2,87.57,0,0,,0,0,15.2,7.6,154.1,1006,100,15,33,0.1,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T07:00:00,77.4,77.4,72.8,85.54,0,0,,0,0,13.6,7.6,160.7,1006,100,15,79,0.3,1,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T08:00:00,78,78,74,87.66,0,0,,0,0,17.9,8.9,150,1007.1,99.9,8.1,140,0.5,1,10,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T09:00:00,82.8,89.1,73.7,73.9,0,0,,0,0,8.5,8.1,151.9,1006,100,15,428,1.5,4,30,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T10:00:00,81.6,87.3,74,77.91,0,0,,0,0,12.5,8.7,148.4,1006,100,15,127,0.5,1,30,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T11:00:00,80,80,74.9,84.65,0,0,,0,0,17.9,6.7,160,1007,100,10.6,297,1.1,3,30,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T12:00:00,88.1,96,73.1,61.41,0,0,,0,0,10.5,9.2,145,1005,100,15,703,2.5,7,30,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T13:00:00,89.7,97.9,72.9,57.99,0.004,100,rain,0,0,11.4,11.6,152.2,1005,100,15,834,3,8,30,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-07-03T14:00:00,84.5,91.9,74,70.99,0,0,,0,0,17.9,6.7,160,1006.1,100,17.4,442,1.6,4,30,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T15:00:00,83,89.8,74.2,74.81,0.008,100,rain,0,0,15.9,8.7,159.3,1005,100,9.3,177,0.6,2,30,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-07-03T16:00:00,81.1,86.3,73.8,78.82,0.043,100,rain,0,0,12.3,6.3,170.8,1005,100,3.3,69,0.2,1,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-07-03T17:00:00,82.7,88.9,73.7,74.33,0,0,rain,0,0,17.9,8.9,140,1004.3,100,18.6,61,0.2,1,10,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T18:00:00,78,78,74.7,89.8,0.008,100,rain,0,0,7.8,3.6,171.5,1004,100,15,14,0.1,0,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-07-03T19:00:00,78.3,78.3,74.4,87.68,0,0,,0,0,14.5,6.3,141,1004,100,15,22,0.1,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T20:00:00,79.8,79.8,74.6,84.13,0,0,,0,0,17.9,6.7,140,1005,100,14.3,1,0,0,10,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-03T21:00:00,77.6,77.6,73.1,86.07,0,0,,0,0,20.4,9.8,145.5,1004,99.6,15,0,,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-03T22:00:00,76.6,76.6,72.9,88.66,0,0,,0,0,18.3,9.2,146.2,1004,78.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.861922,118.797415",2022-07-03T23:00:00,78,78,73.7,86.61,0,0,,0,0,15.7,8.9,150,1005.1,100,10.6,0,,0,3,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-04T00:00:00,75.5,75.5,72.4,90.24,0,0,,0,0,20.8,10.5,146.3,1004,93.2,15,0,,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-04T01:00:00,74.9,74.9,72.2,91.33,0,0,,0,0,20.1,10.3,150.1,1004,71.1,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.861922,118.797415",2022-07-04T02:00:00,77.6,77.6,73.1,86.07,0,0,,0,0,15.7,4.5,160,1004.4,100,12.4,0,,0,3,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-04T03:00:00,74.7,74.7,72.2,91.88,0,0,,0,0,16.8,7.8,153.1,1003,100,15,0,,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-04T04:00:00,74.6,74.6,72.2,92.43,0,0,,0,0,15.2,7.4,149,1002,100,15,0,,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-04T05:00:00,76.7,76.7,72.8,87.6,0,0,,0,0,15.7,6.7,150,1003.6,89.7,11.8,0,,0,3,Partially cloudy,partly-cloudy-day,54843099999
"36.861922,118.797415",2022-07-04T06:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,13,6,157.1,1002,100,15,34,0.1,0,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-04T07:00:00,77.4,77.4,72.8,85.54,0,0,,0,0,12.1,7.6,160.1,1002,100,15,107,0.4,1,3,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-04T08:00:00,78.5,78.5,73.7,85.08,0,0,,0,0,15.7,6.7,150,1004.2,100,9.9,151,0.5,2,10,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-04T09:00:00,79.8,79.8,74.4,83.63,0.004,100,rain,0,0,12.3,8.1,184.6,1003,100,15,154,0.6,2,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-07-04T10:00:00,79.1,79.1,74.6,86.14,0.008,100,rain,0,0,11,7.6,202.4,1003,100,14.7,146,0.5,1,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-07-04T11:00:00,79.8,79.8,74.9,85.15,0,0,,0,0,15.7,4.5,170,1004.3,100,5.6,101,0.4,1,10,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-04T12:00:00,78,78,73.5,86.08,0.004,100,rain,0,0,15.9,8.1,160.4,1002,100,15,56,0.2,1,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-07-04T13:00:00,78.2,78.2,73.3,85.06,0,0,,0,0,19.7,8.7,171.9,1002,96.1,15,61,0.2,1,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-04T14:00:00,82.1,89.2,75.5,80.33,0,0,,0,0,15.7,6.7,150,1003.6,27.2,9.3,190,0.7,2,10,Partially cloudy,partly-cloudy-day,54843099999
"36.861922,118.797415",2022-07-04T15:00:00,90.1,96.7,71.3,54.29,0,0,,0,0,16.6,13.9,179.9,1001,1.9,15,762,2.7,8,10,Clear,clear-day,remote
"36.861922,118.797415",2022-07-04T16:00:00,89.5,97.6,72.9,58.32,0,0,,0,0,15.7,11.9,188,1001,1.4,15,628,2.3,6,30,Clear,clear-day,remote
"36.861922,118.797415",2022-07-04T17:00:00,83,90.8,75.5,78.03,0,0,rain,0,0,15.7,6.7,140,1002.6,18.9,9.3,450,1.6,5,30,Clear,clear-day,54843099999
"36.861922,118.797415",2022-07-04T18:00:00,85.2,93.6,74.7,71.06,0.028,100,rain,0,0,18.1,10.5,184.7,1001,6.7,9.9,258,0.9,3,30,Rain,rain,remote
"36.861922,118.797415",2022-07-04T19:00:00,80.1,85,74.6,83.15,0.059,100,rain,0,0,18.1,8.7,174.5,1001,0.2,9.3,91,0.3,1,10,Rain,rain,remote
"36.861922,118.797415",2022-07-04T20:00:00,80,80,75.3,85.67,0,0,,0,0,15.7,4.5,130,1003.3,0,11.2,4,0,0,10,Clear,clear-night,54843099999
"36.861922,118.797415",2022-07-04T21:00:00,76.9,76.9,73.3,88.68,0,0,,0,0,13.9,7.4,154.7,1003,0,15,0,,0,10,Clear,clear-night,remote
"36.861922,118.797415",2022-07-04T22:00:00,76.2,76.2,73.3,90.82,0,0,,0,0,14.3,7.6,159.1,1003,0,15,0,,0,10,Clear,clear-night,remote
"36.861922,118.797415",2022-07-04T23:00:00,77.6,77.6,74.9,91.42,0,0,,0,0,13.4,4.5,140,1004.9,4.2,9.3,0,,0,10,Clear,clear-night,54843099999
"36.861922,118.797415",2022-07-05T00:00:00,75.6,75.6,73.3,92.47,0,0,,0,0,15,7.2,163.2,1004,23.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.861922,118.797415",2022-07-05T01:00:00,75.6,75.6,73.3,92.47,0,0,,0,0,14.1,6.9,160.7,1003,41.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.861922,118.797415",2022-07-05T02:00:00,75.8,75.8,72.8,90.26,0,0,,0,0,13.4,6.7,150,1004.6,8.5,6.8,0,,0,10,Clear,clear-night,54843099999
"36.861922,118.797415",2022-07-05T03:00:00,75.1,75.1,72.9,93.01,0,0,,0,0,10.1,5.8,154.9,1003,91.7,15,0,,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-05T04:00:00,75.1,75.1,72.8,92.45,0,0,,0,0,10.5,6,158.8,1003,98.6,15,0,,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-07-05T05:00:00,76.2,76.2,72.8,89.18,0,0,,0,0,13.4,4.5,150,1004.4,100,10.6,0,,0,10,Overcast,cloudy,54843099999
"36.861922,118.797415",2022-07-05T06:00:00,76.4,76.4,73.3,90.28,0,0,,0,0,11,5.6,159,1003,100,15,43,0.2,0,10,Overcast,cloudy,remote
