name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.861922,118.797415",2022-11-28T00:00:00,52.8,52.8,49.4,88.12,0,0,,0,0,0.9,0.7,234.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-11-28T01:00:00,51.3,51.3,49,91.68,0,0,,0,0,4.5,4.3,314.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-11-28T02:00:00,51,51,48.6,91.66,0,0,,0,0,6.7,5.4,308.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-11-28T03:00:00,50.8,50.8,47.9,89.82,0,0,,0,0,6.7,4,295.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.861922,118.797415",2022-11-28T04:00:00,50.4,50.4,47.7,90.42,0.004,100,rain,0,0,12.3,6.5,309.4,1011,100,14.7,0,,0,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-11-28T05:00:00,49.9,46.3,48.1,93.5,0.028,100,rain,0,0,16.1,8.9,303.5,1011,100,4.8,0,,0,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-11-28T06:00:00,49.7,48.1,48.5,95.41,0.051,100,rain,0,0,8.1,4.7,298.8,1010,100,12.8,0,,0,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-11-28T07:00:00,49.5,46.4,48.5,96.05,0.071,100,rain,0,0,13,7.6,285.4,1011,100,4.5,0,,0,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-11-28T08:00:00,49.5,45,47.9,94.13,0.02,100,rain,0,0,19.2,11.6,298.7,1012,100,15,7,0,0,10,"Rain, Overcast",rain,remote
"36.861922,118.797415",2022-11-28T09:00:00,49,44.5,47.2,93.48,0.016,76.2,rain,0,0,19,11,294.1,1013,100,9.7,12,0,0,10,"Rain, Overcast",rain,
"36.861922,118.797415",2022-11-28T10:00:00,48.5,44.1,46.7,93.46,0.012,76.2,rain,0,0,16.8,10.1,301.2,1013,100,15,12,0,0,10,"Rain, Overcast",rain,
"36.861922,118.797415",2022-11-28T11:00:00,48.5,43.5,46.5,92.83,0.004,76.2,rain,0,0,19.5,11.9,298.4,1014,100,15,14,0.1,0,10,"Rain, Overcast",rain,
"36.861922,118.797415",2022-11-28T12:00:00,48.6,44.2,46.5,92.21,0,76.2,rain,0,0,18.1,10.5,296,1014,100,15,21,0.1,0,10,"Rain, Overcast",rain,
"36.861922,118.797415",2022-11-28T13:00:00,49.2,44.9,46.8,91.6,0.004,76.2,rain,0,0,19,10.3,309.8,1014,100,15,22,0.1,0,10,"Rain, Overcast",rain,
"36.861922,118.797415",2022-11-28T14:00:00,50.6,50.6,47.7,89.81,0,76.2,rain,0,0,16.3,9.6,345.5,1014,100,15,23,0.1,0,10,"Rain, Overcast",rain,
"36.861922,118.797415",2022-11-28T15:00:00,49,43.8,45.2,86.74,0,9.5,,0,0,19.2,13.4,7.9,1015,100,15,19,0.1,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-28T16:00:00,49.2,43.9,44.3,83.26,0,9.5,,0,0,20.8,13.6,352.6,1017,100,15,14,0.1,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-28T17:00:00,48.5,43.3,43.6,83.21,0,9.5,,0,0,20.4,12.5,1,1017,100,15,2,0,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-28T18:00:00,47.9,43.1,42.9,82.6,0,9.5,,0,0,20.8,11.2,357.1,1018,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-28T19:00:00,47.6,42.8,42.3,82.01,0,9.5,,0,0,21.5,10.7,356.1,1019,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-28T20:00:00,47.6,43.9,41.6,79.76,0,9.5,,0,0,18.8,7.8,346.3,1019,14,15,0,,0,10,Clear,clear-night,
"36.861922,118.797415",2022-11-28T21:00:00,45.2,41.2,41.4,86.53,0,0,,0,0,15.2,7.4,341.7,1019,93.8,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-28T22:00:00,44.5,40.1,41.6,89.55,0,0,,0,0,18.8,8.1,322.3,1020,99.1,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-28T23:00:00,45,40.3,41.3,86.52,0,0,,0,0,21.7,8.9,311.2,1021,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T00:00:00,44.9,38.7,39.1,80.11,0,0,,0,0,24.8,13,318.5,1022,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T01:00:00,42.9,34.9,24.9,48.71,0,0,,0,0,30.6,17.2,340.2,1023,99.4,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T02:00:00,41.1,32.5,25.2,52.99,0,0,,0,0,30,17.7,350.7,1024,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T03:00:00,39.5,31.1,20.6,46.36,0,0,,0,0,27.3,15.2,351.4,1025,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T04:00:00,37.1,26.9,17,43.55,0,0,,0,0,29.5,19.2,356.4,1026,98,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T05:00:00,35.1,24.8,15.5,44.24,0,0,,0,0,28,17.7,355.7,1028,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T06:00:00,33.7,22.8,15,45.76,0,0,,0,0,28.4,18.1,360,1028,100,15,0,,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T07:00:00,32.4,21.5,14.4,47.01,0,0,,0,0,27.3,17,358.8,1030,80.4,15,0,,0,10,Partially cloudy,partly-cloudy-day,
"36.861922,118.797415",2022-11-29T08:00:00,31.9,20.7,13.9,46.92,0,0,,0,0,27.1,17.2,358.5,1031,100,15,45,0.2,0,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T09:00:00,32.8,21.5,12.8,43.16,0,0,,0,0,27.3,18.6,0.1,1032,100,15,157,0.6,2,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T10:00:00,33.5,21.8,9.6,36.31,0,0,,0,0,26.8,20.6,356.4,1033,99.8,15,325,1.2,3,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T11:00:00,34.6,23,8.3,32.87,0,0,,0,0,27.3,21.5,353.9,1033,97.1,15,439,1.6,4,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T12:00:00,35.3,24.2,7.6,30.92,0,0,,0,0,25.5,20.6,353.3,1032,99.8,15,479,1.7,5,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T13:00:00,35.1,24,7.4,30.89,0.004,0,snow,0,0,24.6,20.4,351.3,1033,100,11.2,446,1.6,4,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T14:00:00,33.3,22,8.9,35.41,0.008,0,snow,0.08,0.08,24.2,19.2,350.9,1033,100,2,240,0.9,2,10,Overcast,snow,
"36.861922,118.797415",2022-11-29T15:00:00,33.5,22.5,8.1,34.04,0.008,0,"rain,snow",0,0.08,24.4,18.1,345.4,1033,100,15,197,0.7,2,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T16:00:00,31.9,20.2,7.6,35.45,0,0,,0,0.08,24.8,18.8,340.3,1035,100,15,124,0.4,1,10,Overcast,cloudy,
"36.861922,118.797415",2022-11-29T17:00:00,30.1,18.5,4.9,33.72,0,0,,0,0.08,24.8,16.8,342.1,1036,48.8,15,23,0.1,0,10,Partially cloudy,partly-cloudy-night,
