name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.19,119.05",2022-11-28T00:00:00,53.7,53.7,52.8,96.76,0,0,,0,0,1.6,1.6,155.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-11-28T01:00:00,54.4,54.4,53.3,96.13,0,0,,0,0,4.5,4.3,152.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-11-28T02:00:00,54.6,54.6,53.3,95.5,0,0,,0,0,6.7,4.7,183,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-11-28T03:00:00,54.1,54.1,52.6,94.86,0,0,,0,0,2,2,252.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-11-28T04:00:00,54.1,54.1,52.2,93.61,0,0,,0,0,3.4,3.6,274,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-11-28T05:00:00,53.3,53.3,51.9,94.85,0,0,,0,0,5.8,5.4,340,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-11-28T06:00:00,51.3,51.3,50.3,96.08,0,0,,0,0,9.4,5.8,4.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-11-28T07:00:00,50.4,50.4,49.2,95.42,0,0,,0,0,6.3,4.7,3.3,1011,82.5,15,0,,0,10,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-11-28T08:00:00,51.3,51.3,49,91.68,0.004,100,rain,0,0,4,3.4,357.4,1011,100,10.2,33,0.1,0,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-11-28T09:00:00,50.4,50.4,48.5,92.89,0.028,90.5,rain,0,0,16.1,9.8,328.3,1013,100,9.6,12,0,0,10,"Rain, Overcast",rain,
"36.19,119.05",2022-11-28T10:00:00,49.2,45.4,47.2,92.85,0.067,90.5,rain,0,0,18.1,8.9,330.1,1012,100,6.9,6,0,0,10,"Rain, Overcast",rain,
"36.19,119.05",2022-11-28T11:00:00,49.7,45.6,47.2,91,0.031,90.5,rain,0,0,20.4,10.3,322.1,1013,100,7.8,23,0.1,0,10,"Rain, Overcast",rain,
"36.19,119.05",2022-11-28T12:00:00,49.2,44.1,47,92.22,0.043,90.5,rain,0,0,23.9,13,324.7,1013,100,6.1,13,0,0,10,"Rain, Overcast",rain,
"36.19,119.05",2022-11-28T13:00:00,48.6,43.6,46.5,92.21,0.016,90.5,rain,0,0,25.1,12.3,327.9,1013,100,15,9,0,0,10,"Rain, Overcast",rain,
"36.19,119.05",2022-11-28T14:00:00,48.3,43.2,46.7,94.09,0.004,90.5,rain,0,0,25.3,12.1,331.1,1013,100,15,27,0.1,0,10,"Rain, Overcast",rain,
"36.19,119.05",2022-11-28T15:00:00,48.3,43,46.5,93.46,0,28.6,,0,0,23.7,13,332.6,1014,100,14.7,8,0,0,10,Overcast,cloudy,
"36.19,119.05",2022-11-28T16:00:00,48.5,42.8,46.1,91.58,0,28.6,,0,0,23.7,14.5,356.2,1015,100,15,5,0,0,10,Overcast,cloudy,
"36.19,119.05",2022-11-28T17:00:00,47.4,40.8,44.1,88.45,0,28.6,,0,0,28.4,17,352.9,1016,100,15,2,0,0,10,Overcast,cloudy,
"36.19,119.05",2022-11-28T18:00:00,46.7,40.2,43.1,87.21,0,28.6,,0,0,28.4,15.7,356.6,1018,100,15,0,,0,10,Overcast,cloudy,
