name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.029868,119.556688",2022-07-01T00:00:00,71.3,71.3,66.5,84.66,0,0,,0,0,8.3,4,196.7,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.029868,119.556688",2022-07-01T01:00:00,71.7,71.7,67.2,85.74,0,0,,0,0,11.4,6,167.6,1007,100,15,0,,0,3,Overcast,cloudy,remote
"37.029868,119.556688",2022-07-01T02:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,33.6,2.2,110,1007.2,91.4,3.7,0,,0,10,Overcast,cloudy,54843099999
"37.029868,119.556688",2022-07-01T03:00:00,71.3,71.3,68.6,91.2,0,0,,0,0,11.2,5.1,162.9,1007,54.1,15,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"37.029868,119.556688",2022-07-01T04:00:00,71.3,71.3,68.4,90.64,0,0,,0,0,12.3,5.4,173.4,1007,5,15,0,,0,3,Clear,clear-night,remote
"37.029868,119.556688",2022-07-01T05:00:00,71.3,71.3,71,98.79,0,0,,0,0,17.9,2.2,140,1007.4,4.9,1.9,1,0,0,10,Clear,clear-day,54843099999
"37.029868,119.556688",2022-07-01T06:00:00,72.2,72.2,68.3,87.38,0,0,,0,0,12.5,7.4,153.3,1008,75,15,61,0.2,1,3,Partially cloudy,partly-cloudy-day,remote
"37.029868,119.556688",2022-07-01T07:00:00,74.7,74.7,68.4,80.78,0,0,,0,0,10.1,8.1,160,1008,17.2,15,212,0.8,2,3,Clear,clear-day,remote
"37.029868,119.556688",2022-07-01T08:00:00,78,78,72.8,84.02,0,0,,0,0,13.4,6.7,180,1008.4,100,4.3,410,1.5,4,10,Overcast,cloudy,54843099999
"37.029868,119.556688",2022-07-01T09:00:00,80,80,70.6,73.18,0,0,,0,0,9.6,8.9,172.9,1008,91.5,15,539,1.9,5,10,Overcast,cloudy,remote
"37.029868,119.556688",2022-07-01T10:00:00,82.5,87.1,71.1,68.66,0,0,,0,0,8.5,7.8,170.3,1008,0,15,723,2.6,7,30,Clear,clear-day,remote
"37.029868,119.556688",2022-07-01T11:00:00,86.3,93.1,72.6,63.85,0,0,,0,0,11.2,4.5,160,1008.6,0.1,9.9,857,3.1,9,30,Clear,clear-day,54843099999
"37.029868,119.556688",2022-07-01T12:00:00,87.2,93.2,71.3,59.45,0,0,,0,0,8.7,7.4,179.2,1007,4.8,15,919,3.3,9,30,Clear,clear-day,remote
"37.029868,119.556688",2022-07-01T13:00:00,88.8,95,71.1,56.14,0,0,,0,0,10.7,8.7,184,1007,4.9,15,922,3.3,9,30,Clear,clear-day,remote
"37.029868,119.556688",2022-07-01T14:00:00,89.9,96.2,71,53.93,0,0,,0,0,11.2,4.5,200,1006.9,29.1,18,869,3.1,9,30,Partially cloudy,partly-cloudy-day,54843099999
"37.029868,119.556688",2022-07-01T15:00:00,90.8,97,70.6,51.79,0,0,,0,0,13.6,10.1,203.3,1006,99.4,15,759,2.7,8,30,Overcast,cloudy,remote
"37.029868,119.556688",2022-07-01T16:00:00,87.7,94,71.5,58.8,0,0,rain,0,0,11.4,7.2,191,1006,99.8,8.5,228,0.8,2,60,Overcast,cloudy,remote
"37.029868,119.556688",2022-07-01T17:00:00,91.1,97.2,70.4,50.9,0,0,rain,0,0,11.2,4.5,260,1005.9,97.8,18.6,62,0.2,1,60,Overcast,cloudy,54843099999
"37.029868,119.556688",2022-07-01T18:00:00,83.6,90.2,73.7,72.2,0,0,,0,0,14.1,7.8,151.3,1006,97.7,15,58,0.2,1,60,Overcast,cloudy,remote
"37.029868,119.556688",2022-07-01T19:00:00,82.5,88.2,73.1,73.42,0,0,,0,0,17.2,10.1,152.6,1006,99.5,15,26,0.1,0,60,Overcast,cloudy,remote
"37.029868,119.556688",2022-07-01T20:00:00,71.9,71.9,69,90.66,1.929,100,rain,0,0,29.1,4.5,60,1009,42.3,18.6,1,0,0,60,"Rain, Partially cloudy",rain,54843099999
"37.029868,119.556688",2022-07-01T21:00:00,78.7,78.7,73.7,84.58,0,0,rain,0,0,21.7,12.8,155.7,1007,0,4.9,0,,0,60,Clear,clear-night,remote
"37.029868,119.556688",2022-07-01T22:00:00,78.2,78.2,73.7,86.09,0,0,,0,0,19.9,11.6,147.9,1008,0,15,0,,0,60,Clear,clear-night,remote
"37.029868,119.556688",2022-07-01T23:00:00,75.8,75.8,73.7,93.03,0.591,100,rain,0,0,29.1,2.2,90,1008.1,0,5.6,0,,0,60,Rain,rain,54843099999
"37.029868,119.556688",2022-07-02T00:00:00,76,76,74,93.6,0.004,100,rain,0,0,20.6,11.4,149.8,1008,8.4,15,0,,0,60,Rain,rain,remote
"37.029868,119.556688",2022-07-02T01:00:00,75.1,75.1,73.8,95.87,0.028,100,rain,0,0,20.6,11.6,154.1,1008,100,13.7,0,,0,30,"Rain, Overcast",rain,remote
"37.029868,119.556688",2022-07-02T02:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,29.1,4.5,150,1008.5,23.2,12.4,0,,0,30,Partially cloudy,partly-cloudy-night,54843099999
"37.029868,119.556688",2022-07-02T03:00:00,74.6,74.6,73.5,96.44,0,0,,0,0,12.3,7.4,147.2,1007,12,12.6,0,,0,30,Clear,clear-night,remote
"37.029868,119.556688",2022-07-02T04:00:00,74.2,74.2,73.3,97.02,0.016,100,rain,0,0,12.1,7.4,151.5,1007,8.7,15,0,,0,30,Rain,rain,remote
"37.029868,119.556688",2022-07-02T05:00:00,74,74,71,90.19,0,0,,0,0,29.1,2.2,170,1008.6,7.5,9.9,1,0,0,8,Clear,clear-day,54843099999
