name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.8,119.54",2022-07-01T00:00:00,71.1,71.1,66.6,85.71,0,0,,0,0,6.5,4.3,139.1,1007,97.7,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-07-01T01:00:00,70.2,70.2,66.8,88.93,0,0,,0,0,9.8,5.4,146.8,1007,99.7,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-07-01T02:00:00,72.6,72.6,71.7,97,0,0,,0,0,20.1,2.2,270,1007,1.2,8.1,0,,0,10,Clear,clear-night,54945099999
"35.8,119.54",2022-07-01T03:00:00,69.3,69.3,67.6,94.01,0,0,rain,0,0,3.6,3.1,169.1,1007,4.2,3.3,0,,0,10,Clear,clear-night,remote
"35.8,119.54",2022-07-01T04:00:00,69,69,67.6,95.17,0,0,rain,0,0,2.9,2.7,178.5,1007,6,4.7,0,,0,10,Clear,clear-night,remote
"35.8,119.54",2022-07-01T05:00:00,73.7,73.7,73.7,100,0,0,,0,0,15.7,2.2,60,1008.1,81.4,2.5,0,,0,10,Partially cloudy,partly-cloudy-day,54945099999
"35.8,119.54",2022-07-01T06:00:00,70.8,70.8,69.2,94.62,0,0,,0,0,6.5,3.6,150.8,1008,99.9,15,51,0.2,1,3,Overcast,cloudy,remote
"35.8,119.54",2022-07-01T07:00:00,72.2,72.2,69.9,92.36,0,0,rain,0,0,4.3,3.1,219.6,1009,100,4.7,175,0.6,2,3,Overcast,cloudy,remote
"35.8,119.54",2022-07-01T08:00:00,78.5,78.5,75.5,90.36,0,0,,0,0,13.4,4.5,210,1009.1,100,9.3,230,0.8,2,10,Overcast,cloudy,54945099999
"35.8,119.54",2022-07-01T09:00:00,77.1,77.1,72.1,84.48,0,0,,0,0,4.5,3.6,168.3,1009,40.8,15,411,1.5,4,30,Partially cloudy,partly-cloudy-day,remote
"35.8,119.54",2022-07-01T10:00:00,81.2,86.2,72.9,76.02,0,0,,0,0,5.6,4.5,170.7,1009,4.1,15,729,2.6,7,30,Clear,clear-day,remote
